Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kovyrshin Evgeny,BEL,Player,05:16,1,1,0,2,0,0,2,0,1287,184
Sharangovich Yegor,BEL,Player,03:06,0,0,0,-1,0,0,0,1,1810,200
Sushko Maxim,BEL,Player,01:22,0,0,0,1,0,0,0,0,1972,224
Stepanov Andrei,BEL,Player,06:01,1,1,0,3,0,0,1,1,4520,235
Kostitsyn Andrei,BEL,Player,03:06,0,0,0,-1,0,0,1,0,3366,342
Belevich Andrey,BEL,Player,00:00,0,0,0,0,0,0,0,0,449,352
Stasenko Nikolai,BEL,Player,03:06,0,0,0,-1,0,0,0,0,2998,899
Platt Geoff,BEL,Player,02:07,1,0,0,2,0,0,2,0,3405,923
Yeryomenko Vladislav,BEL,Player,01:22,0,0,0,1,0,0,0,0,754,977
Pavlovich Alexander,BEL,Player,00:00,0,0,0,0,0,0,0,0,2363,1023
Korobov Dmitri,BEL,Player,06:01,1,1,0,3,0,0,1,1,3904,1705
Stas Andrei,BEL,Player,00:00,0,0,0,0,0,0,0,0,1036,2356
Bailen Nick,BEL,Player,03:06,0,0,0,-1,0,0,0,1,2755,2685
Kodola Vladislav,BEL,Player,03:06,0,0,0,-1,0,0,0,1,6089,2950
Stefanovich Mikhail,BEL,Player,02:06,0,0,0,2,0,0,0,0,2615,3051
Demkov Artyom,BEL,Player,05:17,0,2,0,2,0,0,1,1,2249,3080
Yevenko Oleg,BEL,Player,01:22,0,0,0,1,0,0,0,0,817,3556
Graborenko Roman,BEL,Player,06:01,0,1,0,3,0,0,0,0,3003,4321
Kulbakov Ivan,BEL,Goalie,00:00,-,0,0,-,0,0,0,-,6364,333
Shostak Konstantin,BEL,Goalie,10:29,-,0,0,-,1,0,2,-,6351,1062
Andrighetto Sven,SWI,Player,00:00,0,0,0,0,0,0,0,0,302,35
Josi Roman,SWI,Player,04:56,0,0,0,-3,0,0,0,1,2438,266
Siegenthaler Jonas,SWI,Player,04:30,0,0,0,-1,0,0,0,2,3442,512
Kurashev Philipp,SWI,Player,01:03,1,0,0,1,0,0,1,0,1698,542
Niderreiter Nino,SWI,Player,01:46,0,0,0,-1,0,0,0,0,4867,689
Fiala Kevin,SWI,Player,07:40,0,0,0,-3,0,0,0,0,2511,803
Moser Simon,SWI,Player,00:00,0,0,0,0,0,0,0,0,6371,1167
Martschini Lino,SWI,Player,01:03,0,1,0,1,0,0,0,1,5896,1169
