Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,21:47,1,0,2,1,0,0,2,2,6553,22
Shattenkirk Kevin,ANA,Player,19:27,0,0,0,0,0,0,0,4,4438,172
Kulikov Dmitry,ANA,Player,20:51,0,0,0,0,0,0,0,6,4685,272
Groulx Benoit-Olivier,ANA,Player,13:59,0,0,0,1,0,0,1,1,1457,295
Comtois Maxime,ANA,Player,19:21,0,1,0,0,0,0,0,1,4341,303
Henrique Adam,ANA,Player,15:51,1,1,0,1,0,0,2,0,837,320
Drysdale Jamie,ANA,Player,19:25,0,1,0,3,0,0,0,3,6570,406
Protas Alexei,ANA,Player,04:52,0,0,0,1,0,0,1,0,6357,1086
Terry Troy,ANA,Player,20:32,0,1,0,0,0,0,1,1,1967,2146
Fowler Cam,ANA,Player,19:18,0,0,0,1,0,0,0,4,4436,2371
Grant Derek,ANA,Player,13:00,1,0,0,1,0,0,1,0,5353,2392
Leason Brett,ANA,Player,16:35,1,0,0,1,0,0,1,1,6600,2466
McTavish Mason,ANA,Player,20:18,0,1,0,0,0,0,1,5,6601,2491
Benoit Simon,ANA,Player,19:51,0,1,0,2,0,0,0,7,3723,2670
Klingberg John,ANA,Player,21:08,0,0,0,0,0,0,0,5,2537,2843
Silfverberg Jakob,ANA,Player,14:11,0,1,0,1,0,0,0,1,1362,3143
Strome Ryan,ANA,Player,09:38,0,1,0,1,0,0,0,2,396,3219
Vatrano Frank,ANA,Player,04:57,1,0,0,1,0,0,1,1,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,2,0,41,-,2104,2896
Pacioretty Max,ATL,Player,15:05,0,0,0,-1,0,0,0,0,762,42
Ehlers Nikolaj,ATL,Player,16:25,0,0,0,-1,0,0,3,2,4141,257
Harkins Jansen,ATL,Player,16:53,0,0,0,-1,0,0,3,1,2944,569
Scheifele Mark,ATL,Player,15:33,1,0,0,-1,0,0,5,1,5341,581
Lowry Adam,ATL,Player,15:39,0,0,0,-1,0,0,3,0,2504,624
Stenlund Kevin,ATL,Player,11:42,0,0,0,0,0,0,1,1,6164,660
Barron Morgan,ATL,Player,11:20,0,0,0,0,0,0,4,0,6631,708
Morrissey Josh,ATL,Player,22:14,0,0,0,-3,0,0,0,3,6077,878
Skeji Brady,ATL,Player,21:37,0,0,0,0,0,0,1,2,1132,1228
Stanley Logan,ATL,Player,16:54,0,1,0,0,0,0,1,6,6539,2259
Pionk Neal,ATL,Player,23:15,0,1,0,-3,0,0,1,5,2102,2267
Veleno Joe,ATL,Player,15:31,0,0,0,-1,0,0,7,2,5059,2363
Raymond Lucas,ATL,Player,15:44,0,1,0,-2,0,0,3,1,6568,2364
Pysyk Mark,ATL,Player,19:37,0,0,0,0,0,0,1,8,4406,2433
Perfetti Cole,ATL,Player,17:28,0,1,0,-1,0,0,3,1,6602,2495
Pettersson Elias,ATL,Player,17:14,1,0,0,0,0,0,3,1,6254,2525
Beaulieu Nathan,ATL,Player,16:23,0,0,0,0,0,0,1,4,4220,3179
Appleton Mason,ATL,Player,11:26,0,0,0,0,0,0,1,1,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,5,0,11,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
