Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,20:07,0,0,0,-1,0,0,3,0,6553,22
Shattenkirk Kevin,ANA,Player,20:52,0,1,0,3,0,0,1,4,4438,172
Kulikov Dmitry,ANA,Player,14:36,0,0,0,-1,0,0,0,2,4685,272
Groulx Benoit-Olivier,ANA,Player,11:45,0,0,0,0,0,0,1,1,1457,295
Comtois Maxime,ANA,Player,12:28,1,2,0,2,0,1,3,2,4341,303
Henrique Adam,ANA,Player,06:30,1,1,0,1,0,1,4,0,837,320
Drysdale Jamie,ANA,Player,18:23,0,0,0,0,0,0,0,10,6570,406
Terry Troy,ANA,Player,19:58,0,0,0,-1,0,0,0,1,1967,2146
Fowler Cam,ANA,Player,20:55,0,2,0,3,0,0,0,5,4436,2371
Grant Derek,ANA,Player,20:17,0,0,0,0,0,0,3,1,5353,2392
Leason Brett,ANA,Player,16:15,1,1,0,1,0,0,5,0,6600,2466
De Leo Chase,ANA,Player,05:18,0,0,0,0,0,0,0,0,545,2482
McTavish Mason,ANA,Player,18:08,0,0,2,-1,0,0,4,0,6601,2491
Benoit Simon,ANA,Player,20:03,0,0,0,0,0,0,1,3,3723,2670
Klingberg John,ANA,Player,24:10,0,0,4,-1,0,0,3,6,2537,2843
Silfverberg Jakob,ANA,Player,11:32,0,0,0,0,0,0,1,0,1362,3143
Strome Ryan,ANA,Player,13:06,1,1,0,2,0,1,4,0,396,3219
Vatrano Frank,ANA,Player,10:07,0,0,0,0,0,0,1,1,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,2,-,5,0,29,-,2104,2896
Krejci David,BOS,Player,22:09,1,2,0,2,0,0,1,2,3959,46
Bergeron Patrice,BOS,Player,18:24,0,1,0,-3,0,0,1,1,320,48
Marchand Brad,BOS,Player,12:42,1,1,0,-1,1,0,7,0,5691,51
Pastrnak David,BOS,Player,13:47,0,0,0,-1,0,0,1,0,274,59
DeBrusk Jake,BOS,Player,17:17,0,1,0,-2,0,0,2,2,1211,371
Foligno Nick,BOS,Player,15:12,1,1,0,2,0,0,4,2,5155,454
Clifton Connor,BOS,Player,26:46,0,0,0,-1,0,0,1,5,264,613
Zacha Pavel,BOS,Player,07:22,0,0,0,-1,0,0,1,0,5127,2013
Forbort Derek,BOS,Player,18:42,0,0,2,1,0,0,0,5,4985,2139
Grzelcyk Matthew,BOS,Player,18:29,0,0,0,-2,0,0,0,0,1074,2231
Coyle Charlie,BOS,Player,12:28,0,0,0,0,0,0,0,1,2149,2342
Renouf Dan,BOS,Player,24:08,1,1,0,1,1,0,2,4,6580,2398
Greer A.J.,BOS,Player,13:01,0,0,0,0,0,0,3,1,5975,2473
Hall Taylor,BOS,Player,10:21,0,2,0,2,0,0,1,0,1918,3131
Carrick Connor,BOS,Player,11:45,0,0,0,-2,0,0,0,1,2369,3394
Smith Craig,BOS,Player,19:45,1,0,0,-3,1,0,3,0,4429,3750
Nosek Tomas,BOS,Player,11:16,0,0,0,0,0,0,1,0,3757,4102
McAvoy Charlie,BOS,Player,21:50,0,1,0,-2,0,0,1,2,6142,4367
Swayman Jeremy,BOS,Goalie,00:00,-,0,0,-,0,0,0,-,6554,84
Ullmark Linus,BOS,Goalie,59:37,-,0,0,-,4,0,34,-,4488,3736
