Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,15:07,4,0,0,4,0,0,5,0,6553,22
Shattenkirk Kevin,ANA,Player,15:54,0,1,2,3,0,0,0,4,4438,172
Kulikov Dmitry,ANA,Player,23:58,0,1,0,6,0,0,0,9,4685,272
Groulx Benoit-Olivier,ANA,Player,13:44,1,2,0,4,0,0,2,1,1457,295
Comtois Maxime,ANA,Player,15:13,0,2,0,3,0,0,1,3,4341,303
Henrique Adam,ANA,Player,06:32,0,1,0,2,0,0,0,0,837,320
Drysdale Jamie,ANA,Player,21:09,0,1,0,4,0,0,3,4,6570,406
Terry Troy,ANA,Player,15:15,0,2,0,3,0,0,2,0,1967,2146
Fowler Cam,ANA,Player,18:03,0,1,0,3,0,0,0,1,4436,2371
Grant Derek,ANA,Player,17:48,1,2,0,4,0,1,2,2,5353,2392
Leason Brett,ANA,Player,09:46,2,1,0,3,0,0,6,0,6600,2466
De Leo Chase,ANA,Player,11:46,1,0,0,1,0,0,3,0,545,2482
McTavish Mason,ANA,Player,15:43,0,2,2,3,0,0,5,1,6601,2491
Benoit Simon,ANA,Player,17:59,0,0,0,3,0,0,1,4,3723,2670
Klingberg John,ANA,Player,23:37,0,0,0,5,0,0,1,3,2537,2843
Silfverberg Jakob,ANA,Player,13:35,2,2,0,4,0,0,2,0,1362,3143
Strome Ryan,ANA,Player,20:33,2,0,0,2,0,1,5,1,396,3219
Vatrano Frank,ANA,Player,12:48,0,0,2,1,0,0,3,3,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,2,0,27,-,2104,2896
Dahlin Rasmus,BUF,Player,26:35,0,0,0,-3,0,0,1,5,2121,73
Skinner Jeff,BUF,Player,21:37,0,1,0,-2,0,0,3,1,2848,77
Thompson  Tage,BUF,Player,20:30,1,1,0,-2,0,0,1,3,3781,297
Bjork Anders,BUF,Player,10:52,0,0,0,-4,0,0,5,1,2164,356
Olofsson Victor,BUF,Player,16:31,0,0,0,-4,0,0,3,3,5859,396
Okposo Kyle,BUF,Player,18:52,0,0,0,-4,0,0,2,2,5379,410
Davidson Brandon,BUF,Player,19:05,0,0,0,-5,0,0,0,6,1828,591
Cozens Dylan,BUF,Player,20:32,1,1,0,-2,1,0,3,3,6522,2191
Bryson Jacob,BUF,Player,16:20,0,0,0,-4,0,0,0,4,6573,2377
Power Owen,BUF,Player,24:15,0,1,0,-2,0,0,2,5,6603,2501
Krebs Peyton,BUF,Player,11:36,0,0,0,-3,0,0,2,3,6604,2502
Peterka JJ,BUF,Player,17:30,0,0,0,-4,0,0,2,2,6605,2509
Quinn Jack,BUF,Player,10:36,0,0,0,-3,0,0,1,2,6606,2510
Mittelstadt Casey,BUF,Player,10:28,0,0,0,-3,0,0,0,3,5502,2747
Girgensons Zemgus,BUF,Player,10:02,0,0,0,-3,0,0,1,1,2830,2987
Lyubushkin Ilya,BUF,Player,14:20,0,0,0,-4,0,0,0,1,3772,3452
Tuch Alex,BUF,Player,11:00,0,0,0,-2,0,0,1,0,6176,4434
Butcher Will,BUF,Player,19:25,0,0,0,-6,0,0,0,7,6187,4532
Anderson Craig,BUF,Goalie,59:54,-,0,0,-,13,0,41,-,234,265
Subban Malcolm,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,2505,1139
