Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,19:48,0,1,0,-3,0,0,4,1,6553,22
Shattenkirk Kevin,ANA,Player,13:41,0,0,0,1,0,0,0,1,4438,172
Kulikov Dmitry,ANA,Player,22:08,0,0,0,-5,0,0,0,3,4685,272
Groulx Benoit-Olivier,ANA,Player,16:08,0,0,0,-1,0,0,0,0,1457,295
Comtois Maxime,ANA,Player,14:46,0,0,0,0,0,0,3,0,4341,303
Henrique Adam,ANA,Player,15:05,1,0,0,0,0,0,2,1,837,320
Drysdale Jamie,ANA,Player,22:30,0,0,0,-2,0,0,0,5,6570,406
Protas Alexei,ANA,Player,12:36,1,0,0,0,0,0,2,3,6357,1086
Terry Troy,ANA,Player,20:02,0,2,0,-4,0,0,2,0,1967,2146
Fowler Cam,ANA,Player,14:29,0,0,0,1,0,0,1,1,4436,2371
Grant Derek,ANA,Player,15:24,0,0,0,-2,0,0,1,1,5353,2392
Leason Brett,ANA,Player,14:03,0,0,0,0,0,0,2,0,6600,2466
McTavish Mason,ANA,Player,21:01,2,0,0,-4,1,0,11,0,6601,2491
Benoit Simon,ANA,Player,20:34,0,1,0,-1,0,0,0,3,3723,2670
Klingberg John,ANA,Player,23:21,0,0,0,-3,0,0,1,2,2537,2843
Silfverberg Jakob,ANA,Player,14:44,0,0,0,-1,0,0,3,0,1362,3143
Strome Ryan,ANA,Player,09:49,0,0,0,0,0,0,3,0,396,3219
Vatrano Frank,ANA,Player,09:57,0,1,0,-1,0,0,0,2,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:54,-,1,0,-,8,0,32,-,2104,2896
Forsling Gustav,FLA,Player,19:14,1,0,0,3,0,1,1,5,4628,3
Staal Eric,FLA,Player,15:14,1,2,0,1,0,0,3,1,1882,121
Reinhart Sam,FLA,Player,16:19,0,2,0,2,0,0,0,0,2477,379
Bennett Sam,FLA,Player,16:05,1,1,0,2,0,0,2,0,2478,393
Rasmussen Michael,FLA,Player,10:36,1,0,0,1,0,0,2,1,6556,399
Staal Marc,FLA,Player,19:13,0,0,0,1,0,0,1,3,5158,433
Barkov Aleksander,FLA,Player,19:17,0,3,0,2,0,0,0,1,1405,699
Lundell Anton,FLA,Player,14:26,0,1,0,0,0,0,2,2,6572,848
Ekblad Aaron,FLA,Player,20:06,0,1,0,3,0,0,1,6,2485,1106
Luostarinen Eetu,FLA,Player,10:19,0,0,0,1,0,0,0,2,2136,1245
Hornqvist Patric,FLA,Player,13:02,1,1,0,0,0,0,4,1,3077,1411
Montour Brandon,FLA,Player,20:13,0,0,0,1,0,0,1,6,6124,2226
Tkachuk Matthew,FLA,Player,20:03,1,2,0,2,0,0,6,1,5951,2362
Duclair Anthony,FLA,Player,15:19,0,0,0,1,0,0,4,1,2495,2393
Gudas Radko,FLA,Player,21:33,0,1,0,1,0,0,0,8,3632,2409
Verhaeghe Carter,FLA,Player,16:41,2,0,2,2,0,0,4,1,1035,2641
Mahura Josh,FLA,Player,19:41,0,0,0,1,0,0,0,5,466,2667
Cousins Nick,FLA,Player,09:24,0,0,0,0,0,0,1,1,4665,4041
Francouz Pavel,FLA,Goalie,60:00,-,0,2,-,4,0,35,-,2460,341
Bobrovsky Sergei,FLA,Goalie,00:00,-,0,0,-,0,0,0,-,5639,3160
