Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,16:24,1,2,0,2,0,0,3,1,6553,22
Shattenkirk Kevin,ANA,Player,19:59,0,0,0,1,0,0,0,6,4438,172
Kulikov Dmitry,ANA,Player,17:36,0,1,0,2,0,0,0,3,4685,272
Groulx Benoit-Olivier,ANA,Player,15:18,0,0,0,0,0,0,4,0,1457,295
Comtois Maxime,ANA,Player,14:54,2,0,0,0,0,0,6,0,4341,303
Henrique Adam,ANA,Player,15:15,0,2,0,1,0,0,1,0,837,320
Drysdale Jamie,ANA,Player,21:00,0,1,0,1,0,0,0,6,6570,406
Protas Alexei,ANA,Player,15:03,0,0,0,0,0,0,2,0,6357,1086
Terry Troy,ANA,Player,16:19,2,1,0,2,0,0,6,1,1967,2146
Fowler Cam,ANA,Player,18:13,0,0,0,2,0,0,0,4,4436,2371
Grant Derek,ANA,Player,14:50,0,0,0,0,0,0,4,4,5353,2392
Leason Brett,ANA,Player,14:50,1,2,0,2,0,0,3,1,6600,2466
McTavish Mason,ANA,Player,18:47,1,2,0,3,1,0,7,0,6601,2491
Benoit Simon,ANA,Player,22:41,0,0,0,0,0,0,0,5,3723,2670
Klingberg John,ANA,Player,19:01,0,0,0,2,0,0,2,4,2537,2843
Silfverberg Jakob,ANA,Player,14:17,0,0,0,0,0,0,0,0,1362,3143
Strome Ryan,ANA,Player,13:31,1,0,0,1,0,0,2,1,396,3219
Vatrano Frank,ANA,Player,12:02,0,0,0,1,0,0,2,1,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,3,0,32,-,2104,2896
Smith Brendan,NJ,Player,15:01,0,0,2,1,0,0,0,0,1851,38
Haula Erik,NJ,Player,17:19,0,0,0,0,0,0,7,1,5356,74
Sharangovich Yegor,NJ,Player,17:03,0,1,0,-2,0,0,5,3,1810,200
Hamilton Dougie,NJ,Player,19:59,0,1,0,-2,0,0,0,4,782,212
Zetterlund Fabian,NJ,Player,16:57,0,0,0,-2,0,0,2,0,6629,375
Siegenthaler Jonas,NJ,Player,16:50,0,1,0,1,0,0,0,3,3442,512
Bratt Jesper,NJ,Player,14:43,0,1,0,-2,0,0,1,0,375,636
Graves Ryan,NJ,Player,23:11,1,0,0,-3,0,0,2,6,4126,684
Tatar Tomas,NJ,Player,13:37,0,0,0,1,0,0,2,1,5524,695
Marino John,NJ,Player,24:17,0,1,0,-3,0,0,2,4,3769,932
Hughes Jack,NJ,Player,15:55,0,0,0,-2,0,0,2,1,916,1222
Severson Damon,NJ,Player,20:42,0,0,0,-2,0,0,0,0,2492,1685
Bastian Nathan,NJ,Player,15:48,1,0,0,1,0,0,2,1,6514,2063
Mercer Dawson,NJ,Player,13:56,0,0,0,-1,0,0,1,0,6563,2223
Palat Ondrej,NJ,Player,15:15,1,0,0,-2,0,0,3,3,2871,2416
McLeod Michael,NJ,Player,11:31,0,0,0,0,0,0,1,1,4939,3240
Wood Miles,NJ,Player,12:41,0,0,0,-1,0,0,1,1,5940,4242
Hischier Nico,NJ,Player,13:45,0,0,0,-2,0,0,1,1,6163,4410
Blackwood Mackenzie,NJ,Goalie,60:00,-,0,0,-,8,0,42,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
