Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,17:41,0,1,0,-2,0,0,7,0,6553,22
Shattenkirk Kevin,ANA,Player,19:32,0,0,0,-3,0,0,0,3,4438,172
Kulikov Dmitry,ANA,Player,18:42,0,0,0,-3,0,0,0,3,4685,272
Groulx Benoit-Olivier,ANA,Player,12:15,0,0,0,-1,0,0,0,0,1457,295
Comtois Maxime,ANA,Player,14:46,0,0,0,-2,0,0,1,1,4341,303
Henrique Adam,ANA,Player,13:20,0,0,0,-3,0,0,0,2,837,320
Drysdale Jamie,ANA,Player,20:08,0,0,0,0,0,0,0,4,6570,406
Protas Alexei,ANA,Player,14:45,0,1,0,-1,0,0,1,1,"",1086
Terry Troy,ANA,Player,17:34,1,0,2,-1,1,0,3,1,1967,2146
Fowler Cam,ANA,Player,18:04,0,0,0,-3,0,0,1,4,4436,2371
Grant Derek,ANA,Player,17:01,2,0,0,0,0,0,6,1,5353,2392
Leason Brett,ANA,Player,16:50,0,1,0,-2,0,0,3,0,6600,2466
McTavish Mason,ANA,Player,18:15,0,0,0,-3,0,0,1,2,6601,2491
Benoit Simon,ANA,Player,20:55,0,0,0,0,0,0,0,4,3723,2670
Klingberg John,ANA,Player,20:20,0,0,0,-3,0,0,0,5,2537,2843
Silfverberg Jakob,ANA,Player,11:11,0,0,0,-1,0,0,2,1,1362,3143
Strome Ryan,ANA,Player,12:12,0,0,0,-1,0,0,0,1,396,3219
Vatrano Frank,ANA,Player,11:43,0,0,0,-1,0,0,1,1,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:46,-,1,0,-,8,0,29,-,2104,2896
Barzal Mathew,NYI,Player,16:22,1,1,0,2,0,0,4,0,6065,296
Parise Zach,NYI,Player,17:36,1,1,2,3,0,0,4,1,3395,387
Palmieri Kyle,NYI,Player,16:29,0,1,0,2,0,0,0,1,4569,498
Dobson Noah,NYI,Player,26:08,0,0,0,2,0,0,0,7,2160,667
Martin Matt,NYI,Player,09:46,0,0,0,0,0,0,0,0,5357,850
Mayfield Scott,NYI,Player,18:59,0,0,0,2,0,0,2,1,6058,1148
Cizikas Casey,NYI,Player,14:46,1,2,0,2,0,0,2,0,3210,1532
Romanov Alexander,NYI,Player,15:38,0,1,0,2,0,0,0,3,5790,1579
Bailey Josh,NYI,Player,13:57,1,1,0,1,0,0,1,0,3269,1649
Nelson Brock,NYI,Player,16:22,2,1,0,2,0,0,7,1,3021,1736
Pageau Jean-Gabriel,NYI,Player,19:06,1,1,0,2,0,0,3,1,4952,1808
Lee Anders,NYI,Player,16:22,0,2,0,2,0,0,2,1,2493,1895
Beauvillier Anthony,NYI,Player,09:46,0,0,0,0,0,0,0,1,6066,2074
Hickey Thomas,NYI,Player,18:14,0,0,0,2,0,0,0,4,4517,2097
Wahlstrom Oliver,NYI,Player,15:04,1,1,0,2,0,0,1,0,5065,2234
Pelech Adam,NYI,Player,26:08,0,1,0,2,0,0,0,6,5645,4007
Pulock Ryan,NYI,Player,14:53,0,0,0,2,0,0,2,5,2748,4152
Clutterbuck Cal,NYI,Player,12:05,0,0,0,0,0,0,1,2,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,1,0,-,3,0,26,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
