Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,16:18,1,0,2,-1,0,0,4,0,6553,22
Shattenkirk Kevin,ANA,Player,18:48,0,1,0,3,0,0,0,6,4438,172
Kulikov Dmitry,ANA,Player,23:48,0,0,0,-2,0,0,0,6,4685,272
Groulx Benoit-Olivier,ANA,Player,11:21,1,0,0,1,0,0,3,2,1457,295
Comtois Maxime,ANA,Player,15:44,1,1,2,2,0,0,4,2,4341,303
Henrique Adam,ANA,Player,12:44,0,1,0,1,0,0,2,0,837,320
Drysdale Jamie,ANA,Player,17:50,0,0,0,-2,0,0,0,2,6570,406
Moore John,ANA,Player,18:22,0,0,0,3,0,0,1,3,4267,617
Terry Troy,ANA,Player,14:57,0,0,0,-2,0,0,1,1,1967,2146
Fowler Cam,ANA,Player,17:50,0,0,0,-2,0,0,0,1,4436,2371
Grant Derek,ANA,Player,15:51,0,0,0,1,0,0,3,0,5353,2392
Leason Brett,ANA,Player,19:28,0,1,0,1,0,0,4,1,6600,2466
De Leo Chase,ANA,Player,11:37,0,0,0,-2,0,0,2,0,545,2482
McTavish Mason,ANA,Player,16:04,0,0,0,-2,0,0,1,0,6601,2491
Klingberg John,ANA,Player,23:22,0,0,0,-2,0,0,0,7,2537,2843
Silfverberg Jakob,ANA,Player,11:14,0,0,0,0,0,0,1,1,1362,3143
Strome Ryan,ANA,Player,16:29,0,1,0,-1,0,0,0,2,396,3219
Vatrano Frank,ANA,Player,10:20,0,0,0,-1,0,0,1,2,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:58,-,0,0,-,5,0,26,-,2104,2896
Schneider Braden,NYR,Player,15:51,0,0,0,0,0,0,0,5,6627,64
Zibanejad Mika,NYR,Player,25:28,3,0,0,2,0,0,7,3,2170,108
Harpur Ben,NYR,Player,13:12,0,0,0,1,0,0,0,2,6628,575
Blais Sam,NYR,Player,05:05,0,1,0,0,0,0,0,0,6207,639
Lindgren Ryan,NYR,Player,17:46,0,0,0,2,0,0,0,2,3870,855
Kakko Kaapo,NYR,Player,00:00,0,0,0,0,0,0,0,0,4419,863
Kravtsov Vitali,NYR,Player,18:21,0,2,0,1,0,0,4,1,6192,948
Fox Adam,NYR,Player,25:05,0,1,0,2,0,0,1,7,1181,1227
Gauthier Julien,NYR,Player,11:54,0,0,0,0,0,0,0,2,5991,1314
Vesey Jimmy,NYR,Player,04:26,0,1,0,0,0,0,0,0,6032,1596
Miller K’andre,NYR,Player,29:02,0,1,0,-2,0,0,1,3,2796,2118
Lafreniere Alexis,NYR,Player,29:49,0,0,0,-1,0,0,1,3,6516,2135
Chytil Filip,NYR,Player,04:35,1,0,0,0,0,0,1,0,2026,2350
Trouba Jacob,NYR,Player,19:04,0,0,0,-1,0,0,0,5,1743,2659
Panarin Artemi,NYR,Player,25:06,1,1,0,2,1,0,3,1,1917,3139
Goodrow Barclay,NYR,Player,15:39,0,0,0,0,0,0,0,1,2539,3211
Trocheck Vincent,NYR,Player,14:22,0,0,0,-1,0,0,2,1,3671,3527
Kreider Chris,NYR,Player,25:19,0,1,0,0,0,0,6,4,2968,3752
Halak Jaroslav,NYR,Goalie,00:00,-,0,0,-,0,0,0,-,1277,326
Shestyorkin Igor,NYR,Goalie,59:56,-,0,0,-,3,0,27,-,5584,2237
