Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,20:14,1,0,0,1,0,0,6,0,6553,22
Shattenkirk Kevin,ANA,Player,18:36,0,0,0,-1,0,0,0,3,4438,172
Kulikov Dmitry,ANA,Player,20:23,0,1,0,3,0,0,1,7,4685,272
Groulx Benoit-Olivier,ANA,Player,17:29,0,0,0,0,0,0,0,1,1457,295
Comtois Maxime,ANA,Player,19:31,0,0,0,-1,0,0,4,2,4341,303
Henrique Adam,ANA,Player,18:41,0,1,0,0,0,0,2,0,837,320
Drysdale Jamie,ANA,Player,19:28,1,1,2,1,0,0,1,4,6570,406
Terry Troy,ANA,Player,17:05,0,2,0,1,0,0,2,1,1967,2146
Fowler Cam,ANA,Player,19:30,0,0,0,-1,0,0,2,4,4436,2371
Grant Derek,ANA,Player,11:57,1,0,0,0,0,0,2,0,5353,2392
Leason Brett,ANA,Player,16:53,0,0,0,-1,0,0,0,1,6600,2466
De Leo Chase,ANA,Player,09:21,1,0,0,2,0,0,1,1,545,2482
McTavish Mason,ANA,Player,16:53,1,0,0,1,0,0,4,0,6601,2491
Benoit Simon,ANA,Player,19:22,0,0,0,0,0,0,0,4,3723,2670
Klingberg John,ANA,Player,20:42,0,2,0,2,0,0,0,6,2537,2843
Silfverberg Jakob,ANA,Player,16:16,0,1,0,0,0,0,2,0,1362,3143
Strome Ryan,ANA,Player,13:12,1,0,0,1,0,0,6,1,396,3219
Vatrano Frank,ANA,Player,13:26,0,1,2,1,0,0,2,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,64:04,-,1,0,-,5,0,24,-,2104,2896
Tkachuk Brady,OTT,Player,26:13,0,1,0,-1,0,0,3,0,4369,96
Chabot Thomas,OTT,Player,21:48,0,0,0,0,0,0,0,0,6067,343
Batherson Drake,OTT,Player,11:05,0,1,0,-2,0,0,0,1,6270,452
Sanderson Jake,OTT,Player,20:50,0,0,2,-2,0,0,0,5,6626,478
Formenton Alex,OTT,Player,13:44,0,0,0,-1,0,0,2,1,5078,965
Joseph Mathieu,OTT,Player,12:55,0,0,0,-1,0,0,3,2,6178,1208
Zub Artyom,OTT,Player,30:03,0,1,0,-1,0,0,0,9,5298,2138
Norris Josh,OTT,Player,17:05,0,0,0,-1,0,0,2,1,6533,2238
Stutzle Tim,OTT,Player,21:49,0,0,0,-1,0,0,1,1,6534,2242
Holden Nick,OTT,Player,26:03,0,1,0,0,0,0,0,2,4405,2309
Pinto Shane,OTT,Player,13:14,0,3,0,2,0,0,0,0,6587,2421
Zaitsev Nikita,OTT,Player,13:38,0,0,0,0,0,0,0,1,2746,2442
Hamonic Travis,OTT,Player,10:47,0,0,0,-1,0,0,0,3,5797,3535
DeBrincat Alex,OTT,Player,15:50,1,0,0,0,1,0,3,0,331,3711
Motte Tyler,OTT,Player,11:21,1,0,0,-2,0,0,2,0,5938,3850
Watson Austin,OTT,Player,19:42,0,2,0,2,0,0,1,1,4657,3999
Giroux Claude,OTT,Player,10:48,0,0,0,-2,0,0,1,0,3923,4237
Brassard Derrick,OTT,Player,14:22,3,0,0,2,0,0,6,2,5278,4283
Forsberg Anton,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,2506,2353
Talbot Cam,OTT,Goalie,64:04,-,1,0,-,6,0,35,-,3932,3378
