Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,16:23,0,0,0,-1,0,0,3,0,6553,22
Shattenkirk Kevin,ANA,Player,17:11,0,0,0,-3,0,0,0,1,4438,172
Kulikov Dmitry,ANA,Player,20:40,0,0,0,-2,0,0,0,10,4685,272
Groulx Benoit-Olivier,ANA,Player,16:38,0,0,0,-3,0,0,5,1,1457,295
Comtois Maxime,ANA,Player,18:36,0,0,0,-3,0,0,2,0,4341,303
Henrique Adam,ANA,Player,18:38,0,0,0,-3,0,0,2,0,837,320
Drysdale Jamie,ANA,Player,18:02,0,1,0,-1,0,0,0,1,6570,406
Protas Alexei,ANA,Player,12:30,1,0,0,1,0,0,2,1,6357,1086
Terry Troy,ANA,Player,15:11,0,0,0,-2,0,0,2,1,1967,2146
Fowler Cam,ANA,Player,18:04,0,0,0,-2,0,0,0,5,4436,2371
Grant Derek,ANA,Player,13:29,0,0,0,-3,0,0,0,3,5353,2392
Leason Brett,ANA,Player,19:13,0,0,0,-2,0,0,2,2,6600,2466
McTavish Mason,ANA,Player,15:43,0,0,0,-1,0,0,1,2,6601,2491
Benoit Simon,ANA,Player,17:44,0,0,0,-2,0,0,0,4,3723,2670
Klingberg John,ANA,Player,21:26,0,0,0,-2,0,0,1,6,2537,2843
Silfverberg Jakob,ANA,Player,17:00,0,0,0,-3,0,0,1,0,1362,3143
Strome Ryan,ANA,Player,11:30,0,1,0,1,0,0,3,1,396,3219
Vatrano Frank,ANA,Player,12:02,0,0,0,1,0,0,0,0,4973,4028
Stolarz Anthony,ANA,Goalie,35:42,-,0,0,-,4,0,19,-,2790,2358
Gibson John,ANA,Goalie,24:18,-,0,0,-,3,0,11,-,2104,2896
Provorov Ivan,PHI,Player,18:27,0,0,0,2,0,0,0,2,2543,183
Cates Noah,PHI,Player,06:21,0,0,0,-1,0,0,0,0,6625,338
Konecny Travis,PHI,Player,19:28,2,0,0,2,0,0,7,2,6068,391
Garland Conor,PHI,Player,16:18,1,0,0,2,0,0,3,2,2704,520
DeAngelo Anthony,PHI,Player,21:47,0,1,0,3,0,0,0,4,5961,573
Sedlak Lukas,PHI,Player,11:25,0,0,0,0,0,0,5,1,6073,610
Sedin Henrik,PHI,Player,15:21,2,1,0,2,0,0,4,1,1795,759
Seeler Nick,PHI,Player,18:25,0,0,0,2,0,0,0,1,3217,1375
Petry Jeff,PHI,Player,19:58,0,0,0,2,0,0,1,3,1116,1433
Laughton Scott,PHI,Player,18:07,1,0,0,2,0,0,2,0,1055,2075
Morin Samuel,PHI,Player,19:18,0,2,0,2,0,0,0,7,389,2143
Tippett Owen,PHI,Player,13:41,0,0,0,3,0,0,0,0,6528,2215
Roslovic Jack,PHI,Player,17:22,0,1,0,1,0,0,2,0,3804,2225
Bunting Michael,PHI,Player,16:39,0,1,0,2,0,0,1,1,6597,2463
MacEwen Zack,PHI,Player,06:35,0,0,0,0,0,0,1,0,3423,2577
Van Riemsdyk James,PHI,Player,11:26,1,1,0,3,0,0,3,2,2752,3033
Ristolainen Rasmus,PHI,Player,23:11,0,1,0,1,0,0,0,3,3837,3376
Hayes Kevin,PHI,Player,21:13,0,1,0,2,0,0,1,0,1293,3645
Sandstrom Felix,PHI,Goalie,00:00,-,0,0,-,0,0,0,-,6624,53
Copley Pheonix,PHI,Goalie,60:00,-,1,2,-,1,0,24,-,5616,2479
