Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,20:05,0,0,0,-1,0,0,2,0,6553,22
Shattenkirk Kevin,ANA,Player,18:53,0,0,0,0,0,0,0,5,4438,172
Kulikov Dmitry,ANA,Player,18:55,0,0,0,-1,0,0,0,2,4685,272
Groulx Benoit-Olivier,ANA,Player,12:44,0,0,0,-1,0,0,1,0,1457,295
Comtois Maxime,ANA,Player,15:54,0,0,0,0,0,0,3,2,4341,303
Henrique Adam,ANA,Player,15:47,0,0,0,0,0,0,1,2,837,320
Drysdale Jamie,ANA,Player,21:28,0,0,0,-2,0,0,0,3,6570,406
Protas Alexei,ANA,Player,10:59,1,0,0,0,0,0,3,1,"",1086
Terry Troy,ANA,Player,16:53,0,1,0,-1,0,0,1,1,1967,2146
Fowler Cam,ANA,Player,19:10,0,0,0,1,0,0,0,3,4436,2371
Grant Derek,ANA,Player,15:10,0,1,2,0,0,0,3,2,5353,2392
Leason Brett,ANA,Player,19:24,0,0,0,0,0,0,4,0,6600,2466
McTavish Mason,ANA,Player,17:27,0,0,0,-1,0,0,3,0,6601,2491
Benoit Simon,ANA,Player,21:55,0,0,0,-2,0,0,0,2,3723,2670
Klingberg John,ANA,Player,19:39,1,0,0,0,0,0,1,1,2537,2843
Silfverberg Jakob,ANA,Player,13:05,0,0,0,0,0,0,0,1,1362,3143
Strome Ryan,ANA,Player,08:58,0,0,0,-1,0,0,1,0,396,3219
Vatrano Frank,ANA,Player,09:50,0,0,0,-1,0,0,2,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,1,0,-,5,0,33,-,2104,2896
Boyd Travis,PHX,Player,16:33,0,0,0,0,0,0,1,3,2792,141
Ladd Andrew,PHX,Player,12:35,0,1,0,1,0,0,0,0,3368,146
Chychrun Jakob,PHX,Player,26:30,0,0,0,2,0,0,3,4,6064,187
Maccelli Matias,PHX,Player,16:10,1,1,0,0,0,0,5,1,6622,202
Valimaki Juuso,PHX,Player,20:38,0,0,0,1,0,0,0,3,6503,395
Moser JJ,PHX,Player,16:54,0,1,0,0,0,0,0,1,6620,561
Crouse Lawson,PHX,Player,19:02,1,0,0,0,1,0,4,1,6038,587
Kassian Zack,PHX,Player,13:36,0,0,0,1,0,0,1,0,1010,609
Nemeth Patrik,PHX,Player,12:52,0,0,0,-1,0,0,0,3,2481,612
Guenther Dylan,PHX,Player,13:44,0,0,0,1,0,0,3,0,6621,615
Ritchie Nick,PHX,Player,15:15,1,1,0,0,0,0,4,0,4909,1013
Schmaltz Nick,PHX,Player,16:55,0,1,0,1,0,0,4,1,6036,2292
Mayo Dysin,PHX,Player,16:05,0,2,0,0,0,0,0,1,6588,2426
Bjugstad Nick,PHX,Player,14:44,0,1,0,0,0,0,2,1,1864,2696
Fischer Christian ,PHX,Player,13:24,0,0,0,0,0,0,2,0,6133,3226
Keller Clayton,PHX,Player,16:14,1,0,0,1,0,0,1,1,6134,3264
Gostisbehere Shayne,PHX,Player,27:01,0,1,0,2,0,0,0,6,659,4010
Dauphin Laurent,PHX,Player,11:48,1,0,0,1,0,0,3,1,5741,4116
Ingram Connor,PHX,Goalie,00:00,-,0,0,-,0,0,0,-,6619,491
Vejmelka Karel,PHX,Goalie,60:00,-,0,0,-,2,0,25,-,6571,507
