Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,17:35,0,1,0,-1,0,0,4,2,6553,22
Shattenkirk Kevin,ANA,Player,17:16,0,0,0,0,0,0,0,4,4438,172
Kulikov Dmitry,ANA,Player,29:06,0,0,0,-1,0,0,2,9,4685,272
Groulx Benoit-Olivier,ANA,Player,12:18,1,1,0,0,0,0,2,0,1457,295
Comtois Maxime,ANA,Player,13:56,0,0,0,-2,0,0,1,2,4341,303
Henrique Adam,ANA,Player,13:02,0,0,0,-1,0,0,2,0,837,320
Drysdale Jamie,ANA,Player,18:37,0,0,0,1,0,0,0,9,6570,406
Moore John,ANA,Player,17:08,1,0,0,1,0,0,1,5,4267,617
Terry Troy,ANA,Player,12:05,1,0,0,0,0,0,2,2,1967,2146
Fowler Cam,ANA,Player,18:36,0,1,0,1,0,0,2,3,4436,2371
Grant Derek,ANA,Player,18:29,0,2,0,1,0,0,2,0,5353,2392
Leason Brett,ANA,Player,18:34,0,0,0,-1,0,0,0,2,6600,2466
De Leo Chase,ANA,Player,17:44,0,0,0,2,0,0,3,0,545,2482
McTavish Mason,ANA,Player,16:24,0,0,0,0,0,0,0,0,6601,2491
Klingberg John,ANA,Player,28:57,0,0,0,0,0,0,0,5,2537,2843
Silfverberg Jakob,ANA,Player,17:19,1,0,0,1,0,0,3,0,1362,3143
Strome Ryan,ANA,Player,16:06,1,1,0,2,0,0,4,0,396,3219
Vatrano Frank,ANA,Player,16:30,1,0,0,1,0,0,3,2,4973,4028
Stolarz Anthony,ANA,Goalie,23:17,-,0,0,-,0,0,8,-,2790,2358
Gibson John,ANA,Goalie,41:11,-,0,0,-,5,0,19,-,2104,2896
Bozak Tyler,STL,Player,17:02,0,0,0,-1,0,0,2,2,2255,571
Barbashyov Ivan,STL,Player,16:04,1,1,0,0,0,0,4,0,3871,986
Buchnevich Pavel,STL,Player,16:14,0,0,0,-3,0,0,3,2,226,1067
Saad Brandon,STL,Player,14:54,1,0,0,-1,0,0,1,1,1737,1234
Thomas Robert,STL,Player,17:07,0,2,0,2,0,0,3,3,3452,1332
Acciari Noel,STL,Player,15:29,0,1,0,0,0,0,1,2,2639,1973
Bortuzzo Robert,STL,Player,16:26,0,0,0,2,0,0,0,4,4409,2134
Mikkola Niko,STL,Player,17:31,0,0,0,-3,0,0,0,4,1141,2155
Parayko Colton,STL,Player,30:53,0,0,0,0,0,0,0,6,4669,2158
Pitlick Rem,STL,Player,18:00,2,0,0,2,0,0,3,2,6566,2343
O'Reilly Ryan,STL,Player,15:27,1,1,0,0,0,0,4,1,3062,2382
Perunovich Scott,STL,Player,16:33,0,0,0,2,0,0,0,2,6590,2441
Kyrou Jordan,STL,Player,18:19,0,1,0,2,0,0,2,2,6208,2446
Krug Torey,STL,Player,28:51,0,0,0,0,0,0,1,9,3615,2521
Schenn Brayden,STL,Player,14:21,0,1,0,-2,0,0,1,1,4131,3265
Leivo Josh,STL,Player,16:30,0,0,0,-1,0,0,0,2,2541,3307
Faulk Justin,STL,Player,19:26,0,0,0,-3,0,0,0,5,3744,3400
Tarasenko Vladimir,STL,Player,10:13,0,2,0,0,0,0,2,0,2695,4349
Binnington Jordan,STL,Goalie,64:50,-,0,0,-,6,0,31,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
