Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,15:51,0,0,0,-1,0,0,1,2,6553,22
Shattenkirk Kevin,ANA,Player,20:08,1,0,0,-1,0,0,3,5,4438,172
Kulikov Dmitry,ANA,Player,13:47,0,0,0,-1,0,0,0,2,4685,272
Groulx Benoit-Olivier,ANA,Player,11:19,1,0,0,1,0,0,4,3,1457,295
Comtois Maxime,ANA,Player,16:08,0,1,0,0,0,0,0,3,4341,303
Henrique Adam,ANA,Player,20:41,1,0,0,0,0,0,3,1,837,320
Drysdale Jamie,ANA,Player,19:35,0,1,0,1,0,0,1,0,6570,406
Protas Alexei,ANA,Player,15:37,0,0,0,-1,0,0,2,1,6357,1086
Terry Troy,ANA,Player,19:05,0,0,0,-1,0,0,7,0,1967,2146
Fowler Cam,ANA,Player,18:52,0,0,0,0,0,0,0,5,4436,2371
Grant Derek,ANA,Player,10:10,0,1,0,1,0,0,1,2,5353,2392
Leason Brett,ANA,Player,18:04,0,1,0,0,0,0,1,2,6600,2466
McTavish Mason,ANA,Player,15:46,0,0,0,-1,0,0,1,2,6601,2491
Benoit Simon,ANA,Player,23:16,0,0,0,0,0,0,0,9,3723,2670
Klingberg John,ANA,Player,18:05,0,0,0,-1,0,0,0,5,2537,2843
Silfverberg Jakob,ANA,Player,14:26,0,0,0,1,0,0,2,0,1362,3143
Strome Ryan,ANA,Player,13:30,0,0,0,-1,0,0,3,0,396,3219
Vatrano Frank,ANA,Player,15:52,0,0,0,-1,0,0,1,1,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:48,-,0,0,-,4,0,23,-,2104,2896
Maroon Patrick,TB,Player,18:36,0,0,0,-2,0,0,1,1,969,4
Perry Corey,TB,Player,17:40,0,1,0,1,0,0,2,1,3400,19
Hagel Brandon,TB,Player,02:59,0,0,0,1,0,0,0,1,6555,106
Balcers Rudolfs,TB,Player,21:00,0,2,2,0,0,0,4,2,6256,444
Crosby Sidney,TB,Player,19:21,1,0,0,1,0,0,4,1,3308,518
Point Brayden,TB,Player,11:39,0,0,0,-1,0,0,1,2,6070,521
Kucherov Nikita,TB,Player,17:03,1,1,0,1,0,0,3,1,538,623
Myers Philippe,TB,Player,18:50,0,0,0,1,0,0,0,5,1875,762
Fleury Haydn,TB,Player,19:05,0,0,0,1,0,0,0,3,614,1400
Hedman Victor,TB,Player,20:25,0,1,0,2,0,0,0,6,5416,1558
Killorn Alex,TB,Player,18:53,1,0,0,1,0,0,2,1,1170,2413
Colton Ross,TB,Player,19:12,0,1,0,1,0,0,2,0,6593,2456
Cirelli Anthony,TB,Player,20:32,0,0,0,-2,0,0,1,1,3041,2839
Namestnikov Vladislav,TB,Player,04:45,0,0,0,1,0,0,1,0,3844,3132
Sergachyov Mikhail,TB,Player,20:30,0,0,0,-2,0,0,0,3,5971,3477
Bellemare Pierre-Edouard,TB,Player,03:21,1,0,0,1,0,0,2,0,979,3518
Cole Ian,TB,Player,21:42,0,1,0,2,0,0,0,3,1833,3554
Cernak Erik,TB,Player,19:28,0,0,0,-2,0,0,0,2,6198,4549
Vasilevsky Andrei,TB,Goalie,60:00,-,1,0,-,3,0,30,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
