Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,16:03,0,0,0,0,0,0,3,1,6553,22
Shattenkirk Kevin,ANA,Player,20:13,0,0,0,2,0,0,0,6,4438,172
Kulikov Dmitry,ANA,Player,15:26,0,0,2,-1,0,0,0,4,4685,272
Groulx Benoit-Olivier,ANA,Player,10:31,0,1,0,-1,0,0,0,0,1457,295
Comtois Maxime,ANA,Player,19:26,1,0,0,1,0,1,1,0,4341,303
Henrique Adam,ANA,Player,13:04,0,0,0,0,0,0,4,1,837,320
Drysdale Jamie,ANA,Player,20:50,0,0,0,-3,0,0,0,3,6570,406
Terry Troy,ANA,Player,15:22,0,0,0,-1,0,0,2,1,1967,2146
Fowler Cam,ANA,Player,20:29,0,0,0,2,0,0,0,0,4436,2371
Grant Derek,ANA,Player,16:02,1,0,0,-2,0,0,1,3,5353,2392
Leason Brett,ANA,Player,19:35,0,0,2,-1,0,0,4,2,6600,2466
De Leo Chase,ANA,Player,09:17,1,0,2,0,0,0,2,1,545,2482
McTavish Mason,ANA,Player,16:20,0,0,0,0,0,0,2,0,6601,2491
Benoit Simon,ANA,Player,20:36,0,0,0,-3,0,0,0,3,3723,2670
Klingberg John,ANA,Player,18:39,0,0,0,-1,0,0,1,4,2537,2843
Silfverberg Jakob,ANA,Player,10:56,1,1,0,-2,1,0,1,0,1362,3143
Strome Ryan,ANA,Player,15:15,0,0,0,0,0,0,1,0,396,3219
Vatrano Frank,ANA,Player,12:02,0,0,0,-1,0,0,1,2,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:36,-,0,0,-,5,0,24,-,2104,2896
Ferland Michael,VAN,Player,16:29,0,0,0,0,0,0,0,3,623,83
Horvat Bo,VAN,Player,17:27,1,0,0,1,0,0,3,4,2502,104
Ekman-Larsson Oliver,VAN,Player,23:53,0,1,0,1,0,0,0,3,2592,139
Garland Conor,VAN,Player,17:25,0,0,2,-1,0,0,0,1,2704,520
Poolman Tucker,VAN,Player,18:25,0,0,0,0,0,0,0,6,6203,574
Highmore Matthew,VAN,Player,15:44,0,0,0,0,0,0,0,5,1472,665
Stillman Riley,VAN,Player,24:03,0,0,0,1,0,0,0,6,4268,719
Hughes Quinton,VAN,Player,25:11,1,0,0,1,0,0,2,3,1188,1210
Podkolzin Vasili,VAN,Player,12:51,2,0,0,1,0,0,3,2,5788,1577
Lazar Curtis,VAN,Player,08:33,0,0,0,0,0,0,0,0,2496,2115
Miller J.T.,VAN,Player,18:17,0,1,0,1,0,0,3,4,3233,2378
Pettersson Elias,VAN,Player,17:57,0,0,0,1,0,0,5,2,6254,2525
Kuzmenko Andrei,VAN,Player,12:04,0,2,0,0,0,0,3,1,2462,2782
Myers Tyler,VAN,Player,16:24,0,1,0,1,0,0,1,2,1127,2893
Schenn Luke,VAN,Player,12:04,0,0,0,0,0,0,0,3,237,3199
Pearson Tanner,VAN,Player,10:15,0,0,0,1,0,0,1,0,3944,3524
Mikheyev Ilya,VAN,Player,15:33,0,0,0,0,0,0,1,0,4751,3929
Boeser Brock,VAN,Player,13:15,1,2,0,2,0,0,2,2,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,59:59,-,0,0,-,4,0,23,-,5939,4241
