Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Zegras Trevor,ANA,Player,20:48,1,1,0,2,0,0,5,1,6553,22
Shattenkirk Kevin,ANA,Player,17:45,0,1,0,1,0,0,1,7,4438,172
Kulikov Dmitry,ANA,Player,21:55,1,0,0,3,0,0,1,4,4685,272
Groulx Benoit-Olivier,ANA,Player,14:18,0,1,0,0,0,0,1,0,1457,295
Comtois Maxime,ANA,Player,19:45,0,1,0,2,0,0,3,3,4341,303
Henrique Adam,ANA,Player,16:46,2,0,0,2,0,0,8,2,837,320
Drysdale Jamie,ANA,Player,20:06,0,0,0,1,0,0,0,5,6570,406
Protas Alexei,ANA,Player,07:54,1,0,0,1,0,0,1,0,6357,1086
Terry Troy,ANA,Player,18:07,1,0,0,2,0,0,5,1,1967,2146
Fowler Cam,ANA,Player,15:40,0,0,2,0,0,0,0,5,4436,2371
Grant Derek,ANA,Player,13:54,1,0,0,-1,0,0,3,3,5353,2392
Leason Brett,ANA,Player,19:29,0,0,0,2,0,0,2,2,6600,2466
McTavish Mason,ANA,Player,18:18,0,1,0,2,0,0,4,0,6601,2491
Benoit Simon,ANA,Player,21:15,0,0,0,2,0,0,1,6,3723,2670
Klingberg John,ANA,Player,17:53,0,0,0,2,0,0,0,5,2537,2843
Silfverberg Jakob,ANA,Player,14:13,0,1,0,0,0,0,3,1,1362,3143
Strome Ryan,ANA,Player,08:32,1,2,0,2,0,0,3,0,396,3219
Vatrano Frank,ANA,Player,12:00,1,3,0,2,0,0,1,3,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,1,0,-,4,0,23,-,2104,2896
Kessel Phil,WOF,Player,21:08,0,0,0,-1,0,0,0,2,534,45
McNabb Brayden,WOF,Player,20:55,0,0,0,-3,0,0,0,2,1752,369
Amadio Michael,WOF,Player,08:52,0,1,0,0,0,0,0,0,3947,736
Howden Brett,WOF,Player,14:32,0,1,0,-1,0,0,0,0,2471,867
Carrier William,WOF,Player,17:15,0,0,0,-2,0,0,1,2,6095,930
Hague Nicolas,WOF,Player,17:22,0,1,0,-1,0,0,0,3,5488,961
Smith Reilly,WOF,Player,12:40,0,0,0,-1,0,0,1,2,3007,2049
Coghlan Dylan,WOF,Player,20:17,0,1,0,-1,0,0,0,4,6538,2256
Marchessault Jonathan,WOF,Player,19:22,0,0,0,-2,0,0,4,0,3137,2310
Martinez Alec,WOF,Player,24:28,0,0,0,0,0,0,1,4,4236,2365
Stone Mark,WOF,Player,11:58,1,0,0,-1,0,0,1,0,2036,2389
Roy Nicolas,WOF,Player,12:21,0,0,2,-1,0,0,2,2,1223,2651
Eichel Jack,WOF,Player,21:07,0,0,0,-2,0,0,5,3,3513,3151
Karlsson William,WOF,Player,18:47,1,0,0,-3,0,0,3,2,4720,3501
Theodore Shea,WOF,Player,21:32,0,0,0,-3,0,0,0,3,1674,3810
Pietrangelo Alex,WOF,Player,15:26,0,0,0,-2,0,0,0,2,2185,4012
Stephenson Chandler,WOF,Player,08:22,0,1,0,0,0,0,2,1,4995,4026
Kolesar Keegan,WOF,Player,08:44,2,0,0,-1,0,0,3,0,6200,4551
Brossoit Laurent,WOF,Goalie,59:53,-,0,0,-,9,0,42,-,2916,177
Lehner Robin,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2708,3541
