Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,17:09,0,0,0,-2,0,0,2,2,4141,257
Gagner Sam,ATL,Player,11:59,0,0,0,0,0,0,3,1,5164,260
Wheeler Blake,ATL,Player,21:32,1,0,0,2,0,0,3,3,206,404
Harkins Jansen,ATL,Player,08:56,0,0,0,0,0,0,1,1,2944,569
Scheifele Mark,ATL,Player,17:47,0,1,0,2,0,0,3,1,5341,581
Lowry Adam,ATL,Player,11:46,0,0,0,0,0,0,1,1,2504,624
Stenlund Kevin,ATL,Player,13:18,0,3,0,3,0,0,2,0,6164,660
Barron Morgan,ATL,Player,11:11,0,1,0,2,0,0,0,2,6631,708
Morrissey Josh,ATL,Player,24:10,0,0,0,-1,0,0,1,3,6077,878
Dillon Brenden,ATL,Player,20:56,0,1,0,2,0,0,0,5,3193,2019
Schmidt Nate,ATL,Player,22:26,0,0,0,-1,0,0,2,3,4431,2129
Pionk Neal,ATL,Player,20:02,0,1,0,2,0,0,2,0,2102,2267
Perfetti Cole,ATL,Player,19:16,1,0,0,-1,0,0,5,2,6602,2495
Capobianco Kyle,ATL,Player,15:25,1,0,0,2,0,0,2,1,3470,2708
Dubois Pierre-Luc,ATL,Player,16:12,0,1,0,-1,0,0,4,3,5952,2979
Beaulieu Nathan,ATL,Player,17:01,0,0,0,2,0,0,0,2,4220,3179
Connor Kyle,ATL,Player,17:34,1,1,0,2,0,0,4,0,5936,3847
Appleton Mason,ATL,Player,13:20,1,1,0,2,0,0,5,0,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,2,0,18,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Krejci David,BOS,Player,14:14,0,0,0,0,0,0,1,3,3959,46
Bergeron Patrice,BOS,Player,21:14,0,0,0,-2,0,0,0,3,320,48
Marchand Brad,BOS,Player,15:53,0,0,0,-1,0,0,1,3,5691,51
Pastrnak David,BOS,Player,12:03,0,0,0,-2,0,0,4,1,274,59
DeBrusk Jake,BOS,Player,16:28,1,0,0,0,0,0,3,3,1211,371
Foligno Nick,BOS,Player,19:05,0,0,0,-2,0,0,0,2,5155,454
Clifton Connor,BOS,Player,20:48,0,0,0,-1,0,0,0,5,264,613
Zacha Pavel,BOS,Player,12:47,0,1,0,-1,0,0,1,1,5127,2013
Forbort Derek,BOS,Player,17:57,0,0,0,-3,0,0,0,4,4985,2139
Grzelcyk Matthew,BOS,Player,18:31,0,0,0,0,0,0,0,3,1074,2231
Coyle Charlie,BOS,Player,09:40,0,0,0,0,0,0,0,2,2149,2342
Renouf Dan,BOS,Player,19:39,0,0,0,-1,0,0,0,6,6580,2398
Greer A.J.,BOS,Player,09:34,0,0,0,0,0,0,3,1,5975,2473
Hall Taylor,BOS,Player,13:56,0,0,0,-2,0,0,1,2,1918,3131
Carrick Connor,BOS,Player,21:15,0,0,0,1,0,0,0,4,2369,3394
Smith Craig,BOS,Player,15:58,1,1,0,1,0,0,1,2,4429,3750
Nosek Tomas,BOS,Player,12:21,0,0,0,0,0,0,2,1,3757,4102
McAvoy Charlie,BOS,Player,23:39,0,0,0,-2,0,0,1,4,6142,4367
Swayman Jeremy,BOS,Goalie,00:00,-,0,0,-,0,0,0,-,6554,84
Ullmark Linus,BOS,Goalie,60:00,-,0,2,-,5,0,40,-,4488,3736
