Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,ATL,Player,13:11,1,0,0,2,0,0,1,3,762,42
Ehlers Nikolaj,ATL,Player,17:10,0,0,0,1,0,0,4,0,4141,257
Harkins Jansen,ATL,Player,15:06,0,0,0,0,0,0,2,3,2944,569
Scheifele Mark,ATL,Player,13:11,0,2,0,2,0,0,3,2,5341,581
Lowry Adam,ATL,Player,14:41,0,0,0,0,0,0,0,2,2504,624
Stenlund Kevin,ATL,Player,15:04,1,1,0,3,0,0,3,1,6164,660
Barron Morgan,ATL,Player,15:15,1,2,0,3,0,0,4,2,6631,708
Morrissey Josh,ATL,Player,22:50,0,0,0,2,0,0,0,3,6077,878
Skeji Brady,ATL,Player,17:09,0,0,0,0,0,0,0,1,1132,1228
Stanley Logan,ATL,Player,18:37,0,0,0,0,0,0,2,4,6539,2259
Pionk Neal,ATL,Player,23:18,0,2,0,2,0,0,0,1,2102,2267
Veleno Joe,ATL,Player,14:46,0,0,0,0,0,0,2,0,5059,2363
Raymond Lucas,ATL,Player,13:46,2,1,0,2,0,0,3,1,6568,2364
Pysyk Mark,ATL,Player,19:33,1,1,0,4,0,0,3,3,4406,2433
Perfetti Cole,ATL,Player,16:53,0,0,0,1,0,0,2,0,6602,2495
Pettersson Elias,ATL,Player,16:24,0,0,0,1,0,0,1,0,6254,2525
Beaulieu Nathan,ATL,Player,18:33,0,1,0,4,0,0,0,2,4220,3179
Appleton Mason,ATL,Player,14:33,1,1,0,3,0,0,2,0,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,1,0,9,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Suzuki Nick,CBJ,Player,24:30,0,0,0,-4,0,0,1,3,"",191
Thompson  Tage,CBJ,Player,23:26,0,0,0,-4,0,0,3,2,"",297
Bean Jake,CBJ,Player,24:12,0,0,0,-4,0,0,0,1,5992,493
Kubalik Dominik,CBJ,Player,17:27,0,0,0,-2,0,0,1,0,"",522
Robinson Eric,CBJ,Player,03:43,0,1,0,1,0,0,0,0,1254,671
Peeke Andrew,CBJ,Player,18:14,0,0,0,-2,0,0,0,2,4119,675
St. Louis Martin,CBJ,Player,17:35,0,0,0,-1,0,0,0,1,"",718
Carlsson Gabriel,CBJ,Player,23:52,0,0,0,-4,0,0,0,5,4626,1073
Rantanen Mikko,CBJ,Player,21:46,0,0,0,-4,0,0,2,1,"",1683
Gustafsson Erik,CBJ,Player,17:24,0,0,0,0,0,0,0,0,"",1753
Jenner Boone,CBJ,Player,16:42,0,0,0,-1,0,0,0,0,297,2015
Laine Patrik,CBJ,Player,15:07,0,0,0,-1,0,0,1,1,1146,2033
Gudbranson Erik,CBJ,Player,17:54,0,0,0,0,0,0,0,4,4402,2337
Sillinger Cole,CBJ,Player,03:30,1,0,0,1,0,0,1,0,6569,2370
Bayreuther Gavin,CBJ,Player,18:24,0,0,0,-2,0,0,0,3,6577,2390
Kyrou Jordan,CBJ,Player,17:44,0,0,0,-2,0,0,0,1,"",2446
Texier Alexandre,CBJ,Player,03:12,0,1,0,1,0,0,0,0,2813,2742
Giroux Claude,CBJ,Player,16:34,0,0,0,-2,0,0,0,1,"",4237
Korpisalo Joonas,CBJ,Goalie,58:44,-,0,0,-,7,0,32,-,2338,4131
Merzlikins Elvis,CBJ,Goalie,00:00,-,0,0,-,0,0,0,-,5888,4200
