Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,17:08,0,0,0,0,0,0,1,1,4141,257
Wheeler Blake,ATL,Player,20:43,1,1,0,0,0,0,4,2,206,404
Harkins Jansen,ATL,Player,04:48,0,0,0,0,0,0,0,0,2944,569
Scheifele Mark,ATL,Player,16:19,1,1,0,1,1,0,4,4,5341,581
Lowry Adam,ATL,Player,09:12,0,0,0,-1,0,0,0,3,2504,624
Stenlund Kevin,ATL,Player,15:43,0,0,0,0,0,0,0,0,6164,660
Barron Morgan,ATL,Player,16:49,0,0,2,-1,0,0,0,1,6631,708
Morrissey Josh,ATL,Player,20:18,0,0,0,0,0,0,0,2,6077,878
Schmidt Nate,ATL,Player,17:04,0,0,0,0,0,0,0,1,4431,2129
Pionk Neal,ATL,Player,15:07,0,0,0,1,0,0,0,2,2102,2267
Veleno Joe,ATL,Player,07:10,0,0,0,0,0,0,0,0,5059,2363
Raymond Lucas,ATL,Player,18:16,0,0,0,0,0,0,1,2,6568,2364
Pysyk Mark,ATL,Player,23:41,0,0,0,0,0,0,0,3,4406,2433
Perfetti Cole,ATL,Player,18:32,0,0,0,0,0,0,0,1,6602,2495
Pettersson Elias,ATL,Player,15:51,0,2,0,1,0,0,1,0,6254,2525
Capobianco Kyle,ATL,Player,21:42,0,0,0,-1,0,0,0,1,3470,2708
Beaulieu Nathan,ATL,Player,22:08,0,0,0,0,0,0,0,8,4220,3179
Appleton Mason,ATL,Player,14:30,0,0,0,0,0,0,0,2,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,1,0,15,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Kane Patrick,CHI,Player,16:11,0,0,0,-1,0,0,2,0,5160,151
Toews Jonathan,CHI,Player,14:28,0,0,0,-1,0,0,0,1,5161,152
Johnson Jack,CHI,Player,15:05,0,0,0,0,0,0,0,3,1232,285
Jones Seth,CHI,Player,22:13,0,0,0,0,0,0,0,5,4044,424
Kurashev Philipp,CHI,Player,10:31,0,0,0,0,0,0,3,1,1698,542
Connolly Brett,CHI,Player,14:40,0,0,0,1,0,0,0,1,2688,584
Jones Caleb,CHI,Player,22:42,0,0,0,0,0,0,0,5,2949,712
Murphy Connor,CHI,Player,21:51,0,0,0,-1,0,0,0,3,289,1842
Johnson Tyler,CHI,Player,19:08,0,1,0,1,0,0,2,3,892,2411
Tinordi Jarred,CHI,Player,17:43,0,0,0,0,0,0,2,1,2087,2435
Katchouk Boris,CHI,Player,08:53,0,0,0,0,0,0,0,0,6594,2457
Raddysh Taylor,CHI,Player,18:38,0,0,0,0,0,0,0,1,6595,2458
Blackwell Colin,CHI,Player,12:42,0,0,0,0,0,0,0,4,3751,2663
McCabe Jake,CHI,Player,20:26,0,1,0,1,0,0,0,3,5306,3478
Domi Max,CHI,Player,14:12,0,0,0,-1,0,0,1,3,2552,4013
Khaira Jujhar,CHI,Player,13:43,0,0,2,0,0,0,0,1,4766,4033
Athanasiou Andreas,CHI,Player,19:54,1,0,0,1,0,0,3,3,5664,4103
Dickinson Jason,CHI,Player,13:05,0,0,0,0,0,0,2,3,6177,4437
Mrazek Petr,CHI,Goalie,59:59,-,0,0,-,2,0,11,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
