Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,ATL,Player,17:20,0,1,0,0,0,0,4,2,762,42
Ehlers Nikolaj,ATL,Player,16:25,1,0,0,1,0,0,5,0,4141,257
Harkins Jansen,ATL,Player,10:48,0,0,0,1,0,0,2,0,2944,569
Scheifele Mark,ATL,Player,16:46,1,0,0,0,0,0,2,0,5341,581
Lowry Adam,ATL,Player,11:13,1,0,0,1,0,0,3,0,2504,624
Stenlund Kevin,ATL,Player,15:22,2,0,0,3,0,0,3,1,6164,660
Barron Morgan,ATL,Player,14:12,0,1,0,2,0,0,1,1,6631,708
Morrissey Josh,ATL,Player,24:27,0,0,0,1,0,0,1,2,6077,878
Skeji Brady,ATL,Player,16:21,0,1,0,1,0,0,1,4,1132,1228
Stanley Logan,ATL,Player,16:17,0,1,0,1,0,0,1,1,6539,2259
Pionk Neal,ATL,Player,24:22,0,1,0,1,0,0,0,4,2102,2267
Veleno Joe,ATL,Player,10:11,0,1,0,1,0,0,1,0,5059,2363
Raymond Lucas,ATL,Player,17:20,0,0,0,0,0,0,0,2,6568,2364
Pysyk Mark,ATL,Player,19:17,0,0,0,1,0,0,0,3,4406,2433
Perfetti Cole,ATL,Player,17:49,0,0,0,0,0,0,2,1,6602,2495
Pettersson Elias,ATL,Player,17:07,0,0,0,0,0,0,1,0,6254,2525
Beaulieu Nathan,ATL,Player,19:16,0,0,0,1,0,0,0,4,4220,3179
Appleton Mason,ATL,Player,15:27,0,1,0,1,0,0,0,0,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,1,0,11,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Johnston Wyatt,DAL,Player,15:48,0,0,0,-1,0,0,0,3,6609,195
Benn Jamie,DAL,Player,16:46,0,0,0,1,0,0,1,0,3078,215
Suter Ryan,DAL,Player,20:41,0,0,0,-2,0,0,0,2,3444,362
Heiskanen Miro,DAL,Player,23:59,0,1,0,0,0,0,0,5,825,505
Seguin Tyler,DAL,Player,14:50,0,0,0,-1,0,0,0,1,3529,541
Guryanov Denis,DAL,Player,16:34,0,0,0,-2,0,0,3,1,2137,600
Caamano Nicholas,DAL,Player,13:20,0,0,0,-1,0,0,0,5,1383,691
Robertson Jason,DAL,Player,16:10,1,0,0,1,0,0,1,0,6511,1107
Kiviranta Joel,DAL,Player,13:36,0,0,0,-2,0,0,0,3,1746,1247
Hakanpaa Jani,DAL,Player,23:03,0,0,0,0,0,0,0,6,3629,1606
Hintz Roope,DAL,Player,13:57,0,0,0,-1,0,0,0,1,4787,1720
Aho Sebastian,DAL,Player,15:01,0,1,0,1,0,0,2,1,"",1908
Faksa Radek,DAL,Player,13:56,0,0,0,-1,0,0,1,2,1664,2024
Dellandrea Ty,DAL,Player,14:21,0,0,0,-2,0,0,0,0,5062,2211
Lundkvist Nils,DAL,Player,15:20,0,0,0,-1,0,0,0,1,6586,2420
Marchment Mason,DAL,Player,15:41,0,0,0,-1,0,0,2,1,1942,2629
Hanley Joel,DAL,Player,21:11,0,0,0,-1,0,0,1,6,5563,2691
Lindell Esa,DAL,Player,15:46,0,0,0,-2,0,0,0,4,1621,3674
Oettinger Jake,DAL,Goalie,60:00,-,0,0,-,5,0,27,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
