Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,16:47,0,0,0,-1,0,0,2,2,4141,257
Gagner Sam,ATL,Player,12:50,0,2,0,1,0,0,1,1,5164,260
Wheeler Blake,ATL,Player,19:22,0,0,0,0,0,0,1,0,206,404
Harkins Jansen,ATL,Player,12:29,2,1,0,1,0,0,6,0,2944,569
Scheifele Mark,ATL,Player,22:34,0,1,0,0,0,0,5,4,5341,581
Lowry Adam,ATL,Player,13:06,1,0,0,1,0,0,5,0,2504,624
Stenlund Kevin,ATL,Player,12:53,0,1,0,0,0,0,0,0,6164,660
Barron Morgan,ATL,Player,12:39,2,0,0,0,0,0,7,3,6631,708
Morrissey Josh,ATL,Player,25:50,0,1,0,1,0,0,1,5,6077,878
Dillon Brenden,ATL,Player,21:44,0,0,0,-1,0,0,1,6,3193,2019
Schmidt Nate,ATL,Player,22:30,0,0,0,0,0,0,0,3,4431,2129
Pionk Neal,ATL,Player,20:06,0,1,2,-2,0,0,2,6,2102,2267
Perfetti Cole,ATL,Player,15:56,0,0,0,-1,0,0,3,0,6602,2495
Pettersson Elias,ATL,Player,17:26,1,0,0,0,0,0,6,1,"",2525
Capobianco Kyle,ATL,Player,19:50,0,0,0,1,0,0,0,6,3470,2708
Dubois Pierre-Luc,ATL,Player,16:36,0,0,0,-2,0,0,4,2,5952,2979
Beaulieu Nathan,ATL,Player,20:51,0,1,0,1,0,0,0,6,4220,3179
Appleton Mason,ATL,Player,12:18,0,1,0,1,0,0,1,0,6204,4560
Hellebuyck Connor,ATL,Goalie,56:38,-,0,0,-,4,0,9,-,1150,3648
Rittich David,ATL,Goalie,08:22,-,0,0,-,2,0,3,-,5958,4249
Hronek Filip,DET,Player,28:44,1,1,0,3,0,0,2,7,6228,9
Copp Andy,DET,Player,14:13,0,0,0,2,0,0,0,3,4865,103
Berggren Jonatan,DET,Player,13:18,1,1,0,-2,0,0,1,2,6610,292
Hagg Robert,DET,Player,14:46,0,1,0,0,0,0,0,0,2110,400
Kubalik Dominik,DET,Player,10:00,1,1,0,2,0,0,1,0,6156,522
Perron David,DET,Player,22:55,1,0,0,1,0,0,2,3,5165,543
Seider Moritz,DET,Player,28:02,0,0,0,1,0,0,0,9,1948,645
Luff Matt,DET,Player,13:35,1,0,0,-2,0,0,2,2,5233,738
Czarnik  Austin,DET,Player,16:00,0,1,0,-1,0,0,0,2,6079,1022
Maatta Olli,DET,Player,21:46,0,1,0,2,0,0,0,1,2735,1899
Raymond Lucas,DET,Player,20:38,0,1,2,2,0,0,0,3,6568,2364
Oesterle Jordan,DET,Player,15:37,0,0,0,-3,0,0,0,4,3157,2845
Chiarot Ben,DET,Player,21:05,0,0,0,-3,0,0,0,7,2315,3069
Larkin Dylan,DET,Player,22:11,1,1,0,2,0,0,2,2,5774,3165
Fabbri Robby,DET,Player,09:16,0,0,0,-2,0,0,0,3,5090,4016
Bertuzzi Tyler,DET,Player,17:56,0,1,0,2,0,0,1,1,328,4304
Vrana Jakub,DET,Player,15:38,0,2,0,-2,0,0,1,2,6115,4338
Erne Adam,DET,Player,09:20,0,0,0,-2,0,0,0,3,6139,4341
Husso Ville,DET,Goalie,65:00,-,0,0,-,6,0,45,-,4982,1743
Nedeljkovic Alex,DET,Goalie,00:00,-,0,0,-,0,0,0,-,6579,2397
