Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,09:05,1,0,0,0,0,0,3,1,4141,257
Wheeler Blake,ATL,Player,11:03,0,0,0,0,0,0,0,0,206,404
Harkins Jansen,ATL,Player,06:15,0,0,0,-2,0,0,3,0,2944,569
Scheifele Mark,ATL,Player,11:08,0,0,0,-1,0,0,1,0,5341,581
Lowry Adam,ATL,Player,05:43,0,0,0,-1,0,0,0,1,2504,624
Stenlund Kevin,ATL,Player,06:01,0,0,0,-3,0,0,1,1,6164,660
Barron Morgan,ATL,Player,06:21,0,0,0,-3,0,0,1,0,6631,708
Morrissey Josh,ATL,Player,11:33,0,0,0,-2,0,0,0,1,6077,878
Dillon Brenden,ATL,Player,11:08,0,0,0,-1,0,0,0,1,3193,2019
Schmidt Nate,ATL,Player,11:37,0,0,0,-1,0,0,0,2,4431,2129
Vesalainen Kristian,ATL,Player,06:20,0,0,0,-2,0,0,1,0,3224,2189
Pionk Neal,ATL,Player,10:50,0,0,0,0,0,0,1,3,2102,2267
Perfetti Cole,ATL,Player,09:22,0,1,0,-1,0,0,0,0,6602,2495
Capobianco Kyle,ATL,Player,09:49,0,0,0,-4,0,0,1,1,3470,2708
Dubois Pierre-Luc,ATL,Player,09:15,0,1,0,-2,0,0,1,0,5952,2979
Beaulieu Nathan,ATL,Player,10:11,0,0,0,-4,0,0,0,1,4220,3179
Connor Kyle,ATL,Player,11:08,0,0,0,-1,0,0,0,0,5936,3847
Appleton Mason,ATL,Player,06:01,0,0,0,-2,0,0,1,0,6204,4560
Hellebuyck Connor,ATL,Goalie,30:40,-,0,0,-,5,0,12,-,1150,3648
Rittich David,ATL,Goalie,01:54,-,0,0,-,2,0,4,-,5958,4249
Iafallo Alex,LA,Player,09:08,3,0,0,3,0,0,4,0,6121,58
Durzi Sean,LA,Player,07:34,0,1,0,3,0,0,0,0,6611,82
Doughty Drew,LA,Player,11:21,0,0,0,2,0,0,0,1,216,294
Kopitar Anze,LA,Player,08:56,1,0,0,1,0,0,2,0,2287,298
Lemieux Brendan,LA,Player,04:08,1,1,0,2,0,0,1,0,1391,443
Edler Alexander,LA,Player,11:42,0,2,0,2,0,0,0,2,3842,611
Roy Matt,LA,Player,13:39,0,0,0,1,0,0,0,3,4118,728
Moore Trevor,LA,Player,06:44,0,2,0,2,0,0,1,0,3034,732
Fiala Kevin,LA,Player,10:30,0,2,0,2,0,0,4,1,2511,803
Lizotte Blake,LA,Player,04:08,0,2,0,2,0,0,0,2,1333,1149
Anderson Mikey,LA,Player,14:20,0,1,0,2,0,0,0,5,6513,1866
Kempe Adrian,LA,Player,09:07,0,0,0,1,0,0,1,1,6129,2020
Bjornfot Tobias,LA,Player,06:32,0,0,0,2,0,0,0,1,6530,2222
Kaliyev Arthur,LA,Player,09:48,0,1,0,0,0,0,0,2,6567,2354
Kupari Rasmus,LA,Player,08:59,0,2,0,3,0,0,0,1,6581,2405
Byfield Quinton,LA,Player,05:32,1,0,0,2,0,0,2,0,6582,2406
Arvidsson Viktor,LA,Player,10:11,1,0,0,0,0,0,1,1,4310,4040
Danault Phillip,LA,Player,10:31,0,0,0,0,0,0,0,2,5218,4101
Petersen Cal,LA,Goalie,32:34,-,0,0,-,1,0,14,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
