Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,ATL,Player,19:01,1,1,0,1,0,0,6,0,762,42
Ehlers Nikolaj,ATL,Player,15:55,1,1,0,2,0,0,3,0,4141,257
Harkins Jansen,ATL,Player,04:15,0,0,0,0,0,0,0,1,2944,569
Scheifele Mark,ATL,Player,18:38,1,0,0,1,0,0,2,2,5341,581
Lowry Adam,ATL,Player,08:38,0,0,0,0,0,0,0,0,2504,624
Stenlund Kevin,ATL,Player,11:52,0,0,0,-2,0,0,1,1,6164,660
Barron Morgan,ATL,Player,16:58,0,0,2,-2,0,0,3,0,6631,708
Morrissey Josh,ATL,Player,20:56,0,2,0,1,0,0,0,4,6077,878
Skeji Brady,ATL,Player,22:09,1,0,0,2,1,0,2,3,1132,1228
Stanley Logan,ATL,Player,22:34,0,2,0,2,0,0,0,2,6539,2259
Pionk Neal,ATL,Player,20:38,0,1,0,1,0,0,0,2,2102,2267
Veleno Joe,ATL,Player,08:49,0,0,0,0,0,0,0,0,5059,2363
Raymond Lucas,ATL,Player,13:34,0,0,0,1,0,0,1,0,6568,2364
Pysyk Mark,ATL,Player,13:41,0,0,2,-2,0,0,1,1,4406,2433
Perfetti Cole,ATL,Player,18:11,0,4,0,2,0,0,3,1,6602,2495
Pettersson Elias,ATL,Player,19:48,2,1,0,2,0,0,3,3,6254,2525
Beaulieu Nathan,ATL,Player,20:11,0,0,0,-2,0,0,0,2,4220,3179
Appleton Mason,ATL,Player,14:13,0,0,0,-2,0,0,0,0,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,4,0,14,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Gallagher Brendan,MTL,Player,22:14,1,1,0,0,0,0,1,1,2699,308
Drouin Jonathan,MTL,Player,05:31,0,0,0,0,0,0,1,2,2499,346
Anderson Josh,MTL,Player,17:39,0,1,0,-1,0,0,2,3,4955,381
Olofsson Victor,MTL,Player,14:27,1,1,0,1,0,0,1,0,"",396
Guhle Kaiden,MTL,Player,18:17,0,0,0,0,0,0,0,1,6615,405
Slafkovsky Juraj,MTL,Player,19:33,0,1,0,0,0,0,1,3,6616,466
Dadonov Evgeny,MTL,Player,12:42,0,0,0,-1,0,0,0,0,4051,640
Savard David,MTL,Player,20:15,0,0,2,-1,0,0,0,1,4423,707
Matheson Michael,MTL,Player,22:14,0,0,0,0,0,0,0,0,6057,846
Caufield Cole,MTL,Player,04:33,0,0,0,0,0,0,1,0,6558,1110
Monahan Sean,MTL,Player,19:33,1,0,0,0,0,0,4,1,5281,1397
Edmundson Joel,MTL,Player,21:00,0,1,0,0,0,0,0,1,4557,1904
Dvorak Christian,MTL,Player,12:42,0,0,0,-1,0,0,0,1,6034,2057
Sturm Nico,MTL,Player,05:31,0,0,0,0,0,0,1,1,"",2110
Larkin Dylan,MTL,Player,22:30,0,1,0,0,0,0,1,1,"",3165
Hoffman Mike,MTL,Player,18:58,1,0,0,-1,0,0,1,0,2611,3520
Wideman Chris,MTL,Player,22:14,0,0,0,0,0,0,0,0,4184,4009
Bowey Madison,MTL,Player,16:00,0,0,0,-1,0,0,0,3,6201,4553
Price Carey,MTL,Goalie,59:44,-,0,0,-,6,0,25,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
