Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,15:20,1,0,0,0,0,0,6,2,4141,257
Gagner Sam,ATL,Player,13:30,0,1,0,-1,0,0,6,1,5164,260
Wheeler Blake,ATL,Player,14:50,1,1,2,0,0,0,1,0,206,404
Harkins Jansen,ATL,Player,12:53,0,0,0,-1,0,0,1,2,2944,569
Scheifele Mark,ATL,Player,19:35,1,1,0,1,0,0,2,3,5341,581
Lowry Adam,ATL,Player,20:33,1,0,0,-1,0,0,3,0,2504,624
Stenlund Kevin,ATL,Player,11:26,0,0,0,1,0,0,1,1,6164,660
Barron Morgan,ATL,Player,12:13,1,0,0,1,0,0,7,0,6631,708
Morrissey Josh,ATL,Player,23:18,0,1,0,0,0,0,0,3,6077,878
Dillon Brenden,ATL,Player,24:07,0,0,0,0,0,0,0,6,3193,2019
Schmidt Nate,ATL,Player,16:27,0,0,0,0,0,0,0,1,4431,2129
Pionk Neal,ATL,Player,24:13,0,0,0,0,0,0,0,7,2102,2267
Perfetti Cole,ATL,Player,14:42,0,1,0,0,0,0,1,2,6602,2495
Capobianco Kyle,ATL,Player,12:23,0,2,0,1,0,0,0,1,3470,2708
Dubois Pierre-Luc,ATL,Player,16:22,0,0,0,1,0,0,2,0,5952,2979
Beaulieu Nathan,ATL,Player,19:32,0,0,0,1,0,0,0,3,4220,3179
Connor Kyle,ATL,Player,12:41,0,2,0,1,0,0,0,1,5936,3847
Appleton Mason,ATL,Player,10:56,0,1,0,1,0,0,1,0,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,4,0,15,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Smith Brendan,NJ,Player,18:17,0,0,0,0,0,0,0,2,1851,38
Haula Erik,NJ,Player,17:32,0,1,0,0,0,0,1,1,5356,74
Sharangovich Yegor,NJ,Player,16:55,0,1,0,1,0,0,2,2,1810,200
Hamilton Dougie,NJ,Player,26:18,0,0,0,-2,0,0,0,4,782,212
Zetterlund Fabian,NJ,Player,12:53,1,0,0,2,0,0,2,1,6629,375
Siegenthaler Jonas,NJ,Player,18:47,0,0,0,0,0,0,0,1,3442,512
Bratt Jesper,NJ,Player,17:22,1,0,0,-1,0,0,3,5,375,636
Graves Ryan,NJ,Player,14:55,0,0,0,1,0,0,0,2,4126,684
Tatar Tomas,NJ,Player,17:43,1,0,0,0,0,0,1,0,5524,695
Marino John,NJ,Player,15:45,0,1,0,1,0,0,0,5,3769,932
Hughes Jack,NJ,Player,14:15,0,1,0,0,0,0,1,1,916,1222
Severson Damon,NJ,Player,25:58,0,0,0,-2,0,0,0,4,2492,1685
Bastian Nathan,NJ,Player,18:27,0,1,0,0,0,0,1,2,6514,2063
Mercer Dawson,NJ,Player,10:31,0,0,0,-2,0,0,0,0,6563,2223
Palat Ondrej,NJ,Player,14:04,0,2,0,0,0,0,0,0,2871,2416
McLeod Michael,NJ,Player,12:10,0,0,0,-2,0,0,0,4,4939,3240
Wood Miles,NJ,Player,12:05,0,0,0,-2,0,0,0,3,5940,4242
Hischier Nico,NJ,Player,16:46,1,0,0,1,0,0,4,4,6163,4410
Blackwood Mackenzie,NJ,Goalie,59:17,-,0,0,-,5,0,31,-,486,2278
Bernier Jonathan,NJ,Goalie,00:00,-,0,0,-,0,0,0,-,5152,4270
