Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,17:30,1,0,0,1,0,0,2,2,4141,257
Wheeler Blake,ATL,Player,17:30,2,0,0,3,0,0,6,2,206,404
Harkins Jansen,ATL,Player,11:35,1,0,0,1,0,0,1,4,2944,569
Scheifele Mark,ATL,Player,20:45,1,2,0,3,0,0,10,0,5341,581
Lowry Adam,ATL,Player,14:09,0,2,0,1,0,0,2,1,2504,624
Stenlund Kevin,ATL,Player,12:50,1,2,0,2,0,0,2,1,6164,660
Barron Morgan,ATL,Player,13:02,2,1,0,2,0,0,7,2,6631,708
Morrissey Josh,ATL,Player,22:02,0,0,0,3,0,0,3,2,6077,878
Schmidt Nate,ATL,Player,17:31,0,0,0,1,0,0,0,4,4431,2129
Pionk Neal,ATL,Player,22:23,0,2,0,4,0,0,0,5,2102,2267
Veleno Joe,ATL,Player,12:46,1,0,2,2,0,0,3,2,5059,2363
Raymond Lucas,ATL,Player,16:58,0,2,0,1,0,0,3,2,6568,2364
Pysyk Mark,ATL,Player,17:36,0,0,0,2,0,0,1,2,4406,2433
Perfetti Cole,ATL,Player,17:49,0,2,0,1,0,0,2,0,6602,2495
Pettersson Elias,ATL,Player,11:53,1,1,0,2,0,0,5,1,6254,2525
Capobianco Kyle,ATL,Player,20:51,0,0,0,1,0,0,2,3,3470,2708
Beaulieu Nathan,ATL,Player,19:37,0,1,0,3,0,0,1,5,4220,3179
Appleton Mason,ATL,Player,13:57,0,1,0,2,0,0,0,2,6204,4560
Hellebuyck Connor,ATL,Goalie,54:15,-,1,0,-,2,1,19,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Carter Jeff,PIT,Player,22:25,0,0,0,-4,0,0,1,0,3297,474
Letang Kris,PIT,Player,20:48,0,0,0,-3,0,0,0,1,1716,501
Malkin Evgeni,PIT,Player,17:13,1,0,0,-2,0,0,2,0,1703,502
Crosby Sidney,PIT,Player,16:41,0,1,0,-2,0,0,2,1,3308,518
Rakell Rickard,PIT,Player,18:17,0,0,0,-4,0,0,3,0,1276,526
Joseph Pierre-Olivier,PIT,Player,18:27,0,1,0,-1,0,0,0,0,6623,678
Caggiula Drake,PIT,Player,07:34,0,0,0,-1,0,0,2,0,6074,704
Dumoulin Brian,PIT,Player,21:00,0,0,0,-3,0,0,0,0,2750,749
Rust Bryan,PIT,Player,21:17,0,0,0,-3,0,0,2,0,431,1005
Heinen Danton,PIT,Player,14:55,0,1,0,-1,0,0,1,0,6080,1100
Petry Jeff,PIT,Player,20:57,0,0,0,-3,0,0,0,2,1116,1433
Pettersson Marcus,PIT,Player,22:46,0,0,0,-3,0,0,1,0,3150,1594
Ruhwedel Chad,PIT,Player,16:02,0,1,0,-1,0,0,0,1,3964,2182
Zucker Jason,PIT,Player,18:01,1,0,0,-1,0,0,2,0,2630,3042
Boyle Brian,PIT,Player,13:44,1,1,0,0,0,0,2,1,3830,4222
Guentzel Jake,PIT,Player,16:08,0,1,0,-1,0,0,1,1,6111,4331
Kapanen Kasperi,PIT,Player,07:04,0,0,0,-1,0,0,0,0,991,4360
Blugers Teodors,PIT,Player,07:10,0,0,0,-1,0,0,1,0,341,4454
Jarry Tristan,PIT,Goalie,59:31,-,0,0,-,10,0,50,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
