Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,14:56,0,0,0,-1,0,0,0,1,4141,257
Gagner Sam,ATL,Player,15:25,0,1,0,1,0,0,2,2,5164,260
Wheeler Blake,ATL,Player,17:57,0,0,0,-2,0,0,4,3,206,404
Harkins Jansen,ATL,Player,14:47,1,0,0,1,0,0,3,0,2944,569
Scheifele Mark,ATL,Player,16:35,0,0,0,-2,0,0,4,2,5341,581
Lowry Adam,ATL,Player,15:56,0,1,0,1,0,0,1,0,2504,624
Stenlund Kevin,ATL,Player,12:17,0,0,0,-2,0,0,2,1,6164,660
Barron Morgan,ATL,Player,10:29,0,0,0,-2,0,0,0,0,6631,708
Morrissey Josh,ATL,Player,17:43,0,0,0,-1,0,0,2,4,6077,878
Dillon Brenden,ATL,Player,24:18,0,0,0,-1,0,0,0,2,3193,2019
Schmidt Nate,ATL,Player,19:16,0,0,0,-1,0,0,0,5,4431,2129
Pionk Neal,ATL,Player,25:09,0,0,0,-1,0,0,0,6,2102,2267
Perfetti Cole,ATL,Player,16:51,0,0,0,-1,0,0,2,2,6602,2495
Capobianco Kyle,ATL,Player,16:17,0,0,0,-2,0,0,1,5,3470,2708
Dubois Pierre-Luc,ATL,Player,14:23,0,0,0,-1,0,0,2,1,5952,2979
Beaulieu Nathan,ATL,Player,16:59,0,0,0,-2,0,0,0,2,4220,3179
Connor Kyle,ATL,Player,17:13,0,0,0,-2,0,0,5,2,5936,3847
Appleton Mason,ATL,Player,12:44,0,0,0,-2,0,0,0,4,6204,4560
Hellebuyck Connor,ATL,Goalie,59:51,-,0,0,-,5,0,20,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Maroon Patrick,TB,Player,24:20,0,0,0,-1,0,0,1,0,969,4
Perry Corey,TB,Player,15:02,0,1,0,1,0,0,0,0,3400,19
Hagel Brandon,TB,Player,07:52,0,0,0,3,0,0,1,0,6555,106
Balcers Rudolfs,TB,Player,18:57,0,1,0,1,0,0,1,0,6256,444
Point Brayden,TB,Player,19:04,0,0,0,-1,0,0,0,1,6070,521
Kucherov Nikita,TB,Player,19:56,1,0,0,1,0,0,4,1,538,623
Myers Philippe,TB,Player,16:46,0,1,0,3,0,0,0,3,1875,762
Fleury Haydn,TB,Player,16:15,1,0,0,3,0,0,1,5,614,1400
Hedman Victor,TB,Player,20:24,1,0,0,2,0,0,1,0,5416,1558
Killorn Alex,TB,Player,08:42,1,0,0,1,0,0,5,0,1170,2413
Colton Ross,TB,Player,13:49,0,1,0,1,0,0,0,2,6593,2456
Cirelli Anthony,TB,Player,18:29,0,0,0,-1,0,0,3,1,3041,2839
Namestnikov Vladislav,TB,Player,06:24,1,2,0,3,0,0,2,0,3844,3132
Stamkos Steven,TB,Player,19:21,0,1,0,1,0,0,1,0,240,3254
Sergachyov Mikhail,TB,Player,23:12,0,0,0,-1,0,0,0,3,5971,3477
Bellemare Pierre-Edouard,TB,Player,07:37,0,3,0,3,0,0,0,1,979,3518
Cole Ian,TB,Player,21:12,0,0,0,2,0,0,0,2,1833,3554
Cernak Erik,TB,Player,21:53,0,0,0,-1,0,0,0,2,6198,4549
Vasilevsky Andrei,TB,Goalie,59:51,-,0,0,-,1,0,28,-,3767,61
Elliott Brian,TB,Goalie,00:00,-,0,0,-,0,0,0,-,5156,420
