Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,ATL,Player,09:05,0,0,0,-1,0,0,0,1,762,42
Ehlers Nikolaj,ATL,Player,05:51,0,0,0,-2,0,0,2,1,4141,257
Harkins Jansen,ATL,Player,04:29,0,0,0,0,0,0,0,0,2944,569
Scheifele Mark,ATL,Player,08:18,0,0,0,-1,0,0,0,0,5341,581
Lowry Adam,ATL,Player,05:29,0,0,0,0,0,0,0,0,2504,624
Stenlund Kevin,ATL,Player,04:29,0,0,0,0,0,0,1,2,6164,660
Barron Morgan,ATL,Player,04:28,0,0,0,0,0,0,0,0,6631,708
Morrissey Josh,ATL,Player,12:29,0,0,0,-1,0,0,0,1,6077,878
Skeji Brady,ATL,Player,06:20,0,0,0,-2,0,0,0,0,1132,1228
Stanley Logan,ATL,Player,06:10,0,0,0,-2,0,0,1,0,6539,2259
Pionk Neal,ATL,Player,12:36,0,0,0,-1,0,0,0,2,2102,2267
Veleno Joe,ATL,Player,05:07,0,0,0,0,0,0,1,0,5059,2363
Raymond Lucas,ATL,Player,09:01,0,0,0,-1,0,0,0,0,6568,2364
Pysyk Mark,ATL,Player,05:37,0,0,0,0,0,0,0,0,4406,2433
Perfetti Cole,ATL,Player,06:18,0,0,0,-2,0,0,0,0,6602,2495
Pettersson Elias,ATL,Player,05:56,0,0,0,-2,0,0,0,0,6254,2525
Beaulieu Nathan,ATL,Player,05:54,0,0,0,0,0,0,0,0,4220,3179
Appleton Mason,ATL,Player,05:08,0,0,0,0,0,0,0,0,6204,4560
Hellebuyck Connor,ATL,Goalie,24:33,-,0,0,-,3,0,9,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Nylander William,TOR,Player,05:30,1,0,0,1,0,0,1,0,1498,646
Engvall Pierre,TOR,Player,04:17,0,0,0,0,0,0,0,2,3511,947
Liljegren Timothy,TOR,Player,12:24,0,0,0,1,0,0,0,1,5449,953
Kampf David,TOR,Player,03:56,0,0,0,0,0,0,0,0,6153,1102
Farabee Joel,TOR,Player,11:36,1,0,0,1,0,0,3,0,3331,1157
Muzzin Jake,TOR,Player,05:30,0,0,0,1,0,0,0,0,2862,1186
Brown Patrick,TOR,Player,03:02,0,1,0,1,0,0,0,0,5121,1856
Rielly Morgan,TOR,Player,11:25,0,0,0,1,0,0,0,1,5557,2086
Toninato Dominic,TOR,Player,03:02,0,1,0,1,0,0,0,0,1633,2188
Zadina Filip,TOR,Player,03:10,1,0,0,1,0,0,1,0,633,2287
Jarnkrok Calle,TOR,Player,04:22,0,0,0,0,0,0,0,0,459,2396
Brodie T.J.,TOR,Player,06:39,0,0,0,1,0,0,0,2,1063,2864
Giordano Mark,TOR,Player,07:38,0,0,0,1,0,0,0,2,3327,2964
Tavares John,TOR,Player,05:30,0,1,0,1,0,0,2,0,719,3008
Panarin Artemi,TOR,Player,11:39,0,1,0,1,0,0,1,0,1917,3139
Matthews Auston,TOR,Player,12:05,0,0,0,1,0,0,1,0,3082,3250
Holl Justin,TOR,Player,05:30,0,0,0,1,0,0,0,0,5988,4271
Kerfoot Alex,TOR,Player,05:30,0,1,0,1,0,0,0,0,6186,4530
Wedgewood Scott,TOR,Goalie,24:33,-,0,0,-,0,0,5,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
