Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,17:30,1,1,0,1,0,0,1,1,4141,257
Gagner Sam,ATL,Player,14:11,0,0,0,-1,0,0,2,3,5164,260
Wheeler Blake,ATL,Player,12:02,0,0,0,-4,0,0,1,1,206,404
Harkins Jansen,ATL,Player,15:17,0,0,0,-1,0,0,0,3,2944,569
Scheifele Mark,ATL,Player,13:02,0,0,0,-4,0,0,1,1,5341,581
Lowry Adam,ATL,Player,14:52,0,0,0,-1,0,0,3,1,2504,624
Stenlund Kevin,ATL,Player,15:13,0,1,0,0,0,0,0,0,6164,660
Barron Morgan,ATL,Player,15:12,1,0,0,0,0,0,2,1,6631,708
Morrissey Josh,ATL,Player,18:50,0,0,0,0,0,0,0,3,6077,878
Dillon Brenden,ATL,Player,23:49,0,0,0,-4,0,0,0,6,3193,2019
Schmidt Nate,ATL,Player,17:48,0,0,0,0,0,0,0,5,4431,2129
Pionk Neal,ATL,Player,24:01,0,0,0,-4,0,0,0,9,2102,2267
Perfetti Cole,ATL,Player,16:54,1,0,0,1,0,0,1,5,6602,2495
Capobianco Kyle,ATL,Player,18:23,0,0,0,0,0,0,0,5,3470,2708
Dubois Pierre-Luc,ATL,Player,17:03,0,2,0,1,0,0,5,4,5952,2979
Beaulieu Nathan,ATL,Player,17:09,0,0,0,0,0,0,0,5,4220,3179
Connor Kyle,ATL,Player,13:06,0,0,0,-4,0,0,2,0,5936,3847
Appleton Mason,ATL,Player,15:38,0,1,0,0,0,0,2,2,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,1,0,-,7,0,21,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Ferland Michael,VAN,Player,10:02,1,0,0,-1,0,0,2,1,623,83
Horvat Bo,VAN,Player,13:28,0,1,0,2,0,0,0,3,2502,104
Ekman-Larsson Oliver,VAN,Player,18:20,0,1,0,3,0,0,0,2,2592,139
Garland Conor,VAN,Player,17:00,1,0,0,0,0,0,2,1,2704,520
Poolman Tucker,VAN,Player,26:07,0,0,0,-1,0,0,0,3,6203,574
Highmore Matthew,VAN,Player,09:15,0,1,0,-1,0,0,1,3,1472,665
Stillman Riley,VAN,Player,28:12,0,0,0,-1,0,0,0,6,4268,719
Hughes Quinton,VAN,Player,20:25,0,1,0,3,0,0,0,5,1188,1210
Podkolzin Vasili,VAN,Player,13:28,2,0,0,2,0,0,2,2,5788,1577
Lazar Curtis,VAN,Player,16:17,0,1,0,0,0,0,3,3,2496,2115
Miller J.T.,VAN,Player,21:00,0,2,0,3,0,0,0,5,3233,2378
Pettersson Elias,VAN,Player,19:52,3,0,0,3,0,0,6,0,6254,2525
Kuzmenko Andrei,VAN,Player,13:28,0,2,0,2,0,0,1,5,2462,2782
Myers Tyler,VAN,Player,13:28,0,0,0,2,0,0,0,1,1127,2893
Schenn Luke,VAN,Player,13:28,0,0,0,2,0,0,0,2,237,3199
Pearson Tanner,VAN,Player,16:14,0,1,0,0,0,0,3,1,3944,3524
Mikheyev Ilya,VAN,Player,10:26,0,1,0,-1,0,0,1,0,4751,3929
Boeser Brock,VAN,Player,19:30,0,1,0,3,0,0,0,4,6140,4363
Delia Collin,VAN,Goalie,00:00,-,0,0,-,0,0,0,-,6505,2470
Demko Thatcher,VAN,Goalie,60:00,-,1,0,-,3,0,20,-,5939,4241
