Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,ATL,Player,14:12,0,0,0,-2,0,0,2,1,762,42
Ehlers Nikolaj,ATL,Player,15:02,0,0,0,1,0,0,0,3,4141,257
Harkins Jansen,ATL,Player,15:33,1,0,0,2,0,0,4,2,2944,569
Scheifele Mark,ATL,Player,14:56,0,0,0,-2,0,0,3,1,5341,581
Lowry Adam,ATL,Player,13:52,0,1,0,2,0,0,3,1,2504,624
Stenlund Kevin,ATL,Player,14:22,0,0,0,0,0,0,2,1,6164,660
Barron Morgan,ATL,Player,17:41,0,0,0,0,0,0,3,3,6631,708
Morrissey Josh,ATL,Player,17:09,1,0,0,0,0,0,1,3,6077,878
Skeji Brady,ATL,Player,22:00,0,1,0,1,0,0,2,1,1132,1228
Stanley Logan,ATL,Player,22:34,0,1,0,1,0,0,0,5,6539,2259
Pionk Neal,ATL,Player,18:18,0,1,0,0,0,0,1,4,2102,2267
Veleno Joe,ATL,Player,14:32,1,1,0,3,0,0,1,2,5059,2363
Raymond Lucas,ATL,Player,14:43,0,0,0,-2,0,0,1,1,6568,2364
Pysyk Mark,ATL,Player,19:42,0,0,0,0,0,0,0,4,4406,2433
Perfetti Cole,ATL,Player,13:31,0,1,0,1,0,0,4,1,6602,2495
Pettersson Elias,ATL,Player,16:23,0,0,0,0,0,0,2,2,6254,2525
Beaulieu Nathan,ATL,Player,20:17,0,0,0,0,0,0,0,2,4220,3179
Appleton Mason,ATL,Player,15:13,0,0,0,0,0,0,1,2,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,0,0,-,2,0,10,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
Kessel Phil,WOF,Player,14:10,1,1,0,2,0,0,2,1,534,45
McNabb Brayden,WOF,Player,16:03,0,0,0,1,0,0,0,1,1752,369
Amadio Michael,WOF,Player,11:53,0,0,0,-1,0,0,0,3,3947,736
Howden Brett,WOF,Player,14:15,0,0,0,-2,0,0,0,0,2471,867
Carrier William,WOF,Player,18:53,0,0,0,0,0,0,0,0,6095,930
Hague Nicolas,WOF,Player,24:12,0,0,0,0,0,0,0,2,5488,961
Smith Reilly,WOF,Player,19:17,0,0,0,0,0,0,1,3,3007,2049
Coghlan Dylan,WOF,Player,19:45,0,0,0,-2,0,0,0,2,6538,2256
Marchessault Jonathan,WOF,Player,14:59,1,1,0,2,0,0,1,0,3137,2310
Martinez Alec,WOF,Player,20:18,0,0,0,-2,0,0,1,2,4236,2365
Stone Mark,WOF,Player,14:20,0,0,0,-2,0,0,1,3,2036,2389
Roy Nicolas,WOF,Player,15:36,0,0,0,-2,0,0,2,1,1223,2651
Eichel Jack,WOF,Player,13:04,0,1,0,2,0,0,0,1,3513,3151
Karlsson William,WOF,Player,18:45,0,0,0,0,0,0,0,3,4720,3501
Theodore Shea,WOF,Player,22:32,0,0,0,0,0,0,0,1,1674,3810
Pietrangelo Alex,WOF,Player,17:10,0,0,0,1,0,0,0,0,2185,4012
Stephenson Chandler,WOF,Player,12:35,0,0,0,-1,0,0,1,1,4995,4026
Kolesar Keegan,WOF,Player,12:13,0,0,0,-1,0,0,1,0,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,60:00,-,0,0,-,3,0,30,-,2708,3541
