Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Ehlers Nikolaj,ATL,Player,14:10,0,0,0,-2,0,0,3,0,4141,257
Gagner Sam,ATL,Player,14:36,0,2,0,2,0,0,1,1,5164,260
Wheeler Blake,ATL,Player,18:54,0,0,0,0,0,0,0,3,206,404
Harkins Jansen,ATL,Player,13:23,2,0,0,2,0,0,3,3,2944,569
Scheifele Mark,ATL,Player,17:50,0,0,0,0,0,0,3,3,5341,581
Lowry Adam,ATL,Player,15:36,0,2,0,2,0,0,0,2,2504,624
Stenlund Kevin,ATL,Player,14:44,0,0,0,-1,0,0,2,0,6164,660
Barron Morgan,ATL,Player,14:15,0,0,0,-1,0,0,0,2,6631,708
Morrissey Josh,ATL,Player,23:09,0,0,0,0,0,0,0,4,6077,878
Dillon Brenden,ATL,Player,21:12,0,0,0,0,0,0,0,3,3193,2019
Schmidt Nate,ATL,Player,21:36,0,0,0,0,0,0,0,7,4431,2129
Pionk Neal,ATL,Player,19:48,0,0,0,0,0,0,1,5,2102,2267
Perfetti Cole,ATL,Player,12:19,0,0,0,-2,0,0,1,1,6602,2495
Capobianco Kyle,ATL,Player,17:12,0,0,0,-1,0,0,0,4,3470,2708
Dubois Pierre-Luc,ATL,Player,12:51,0,0,0,-2,0,0,2,3,5952,2979
Beaulieu Nathan,ATL,Player,17:03,0,0,0,-1,0,0,0,3,4220,3179
Connor Kyle,ATL,Player,16:30,0,0,0,0,0,0,1,3,5936,3847
Appleton Mason,ATL,Player,14:52,0,0,0,-1,0,0,0,1,6204,4560
Hellebuyck Connor,ATL,Goalie,15:22,-,0,0,-,2,0,6,-,1150,3648
Rittich David,ATL,Goalie,44:38,-,0,0,-,1,0,9,-,5958,4249
Addison Calen,MIN,Player,21:05,0,1,0,1,0,0,0,1,6612,144
Boldy Matt,MIN,Player,18:50,2,0,0,1,0,0,2,1,6613,287
Dewar Connor,MIN,Player,16:30,0,0,0,0,0,0,1,1,6614,389
Reaves Ryan,MIN,Player,09:33,0,1,0,0,0,0,0,4,4442,394
Eriksson Ek Joel,MIN,Player,16:55,0,2,0,2,0,0,1,2,6071,558
Hartman Ryan,MIN,Player,18:16,0,0,0,-1,0,0,1,3,2648,869
Dumba Matt,MIN,Player,21:41,0,0,0,1,0,0,0,4,4445,1196
Merrill Jon,MIN,Player,19:11,0,0,0,0,0,0,1,2,2956,1496
Zuccarello Mats,MIN,Player,21:28,0,0,0,0,0,0,1,2,5807,1559
Greenway Jordan,MIN,Player,14:04,0,1,0,1,0,0,1,0,866,2130
Brodin Jonas,MIN,Player,19:44,0,0,0,0,0,0,1,0,4506,2217
Duhaime Brandon,MIN,Player,09:43,1,0,0,0,0,0,2,0,6565,2258
Foligno Marcus,MIN,Player,15:15,0,0,0,0,0,0,0,1,579,3395
Spurgeon Jared,MIN,Player,18:45,0,0,0,0,0,0,1,0,4407,3434
Kaprizov Kirill,MIN,Player,16:12,0,0,0,0,0,0,0,0,1717,3774
Goligoski Alex,MIN,Player,19:34,0,0,0,0,0,0,0,0,5323,4287
Steel Sam,MIN,Player,08:19,0,0,0,0,0,0,1,2,3212,4357
Gaudreau Frederick ,MIN,Player,14:55,0,0,0,0,0,0,2,2,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,0,-,2,0,17,-,652,508
