Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Addison Calen,MIN,Player,18:15,0,0,0,-1,0,0,1,2,6612,144
Boldy Matt,MIN,Player,14:33,1,0,0,-1,0,0,2,0,6613,287
Dewar Connor,MIN,Player,21:11,0,0,0,0,0,0,1,3,6614,389
Reaves Ryan,MIN,Player,10:09,0,0,0,1,0,0,0,2,4442,394
Eriksson Ek Joel,MIN,Player,13:47,0,1,0,-1,0,0,2,3,6071,558
Hartman Ryan,MIN,Player,15:51,0,0,0,0,0,0,1,1,2648,869
Dumba Matt,MIN,Player,23:54,0,1,0,-1,0,0,0,2,4445,1196
Merrill Jon,MIN,Player,23:30,0,0,0,0,0,0,0,3,2956,1496
Zuccarello Mats,MIN,Player,17:06,0,0,0,0,0,0,0,3,5807,1559
Greenway Jordan,MIN,Player,15:07,0,0,0,-2,0,0,1,1,866,2130
Brodin Jonas,MIN,Player,14:53,0,0,0,1,0,0,0,1,4506,2217
Duhaime Brandon,MIN,Player,09:52,1,0,0,1,0,0,1,3,6565,2258
Foligno Marcus,MIN,Player,12:53,0,1,0,1,0,0,0,1,579,3395
Spurgeon Jared,MIN,Player,22:52,0,0,0,0,0,0,0,3,4407,3434
Kaprizov Kirill,MIN,Player,22:37,0,0,0,0,0,0,2,0,1717,3774
Goligoski Alex,MIN,Player,16:26,0,0,0,1,0,0,0,3,5323,4287
Steel Sam,MIN,Player,10:55,0,1,0,1,0,0,0,1,3212,4357
Gaudreau Frederick ,MIN,Player,15:47,1,0,0,1,0,0,3,1,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,59:52,-,0,0,-,2,0,16,-,652,508
Ehlers Nikolaj,ATL,Player,14:52,0,0,0,0,0,0,3,0,4141,257
Gagner Sam,ATL,Player,08:29,0,0,0,0,0,0,0,0,5164,260
Wheeler Blake,ATL,Player,20:24,0,0,0,-1,0,0,0,3,206,404
Harkins Jansen,ATL,Player,09:08,0,0,0,0,0,0,0,1,2944,569
Scheifele Mark,ATL,Player,19:37,0,0,0,-1,0,0,2,1,5341,581
Lowry Adam,ATL,Player,09:29,1,0,2,0,0,0,1,2,2504,624
Stenlund Kevin,ATL,Player,14:34,0,1,0,1,0,0,3,1,6164,660
Barron Morgan,ATL,Player,13:51,1,0,0,1,0,0,3,3,6631,708
Morrissey Josh,ATL,Player,21:13,0,0,0,0,0,0,0,1,6077,878
Dillon Brenden,ATL,Player,20:16,0,1,0,-1,0,0,1,3,3193,2019
Schmidt Nate,ATL,Player,18:45,0,0,0,0,0,0,0,4,4431,2129
Pionk Neal,ATL,Player,20:37,0,1,0,0,0,0,0,3,2102,2267
Perfetti Cole,ATL,Player,13:46,0,0,0,0,0,0,0,1,6602,2495
Capobianco Kyle,ATL,Player,17:37,0,0,0,1,0,0,0,2,3470,2708
Dubois Pierre-Luc,ATL,Player,16:31,0,0,0,0,0,0,1,0,5952,2979
Beaulieu Nathan,ATL,Player,21:22,0,0,0,0,0,0,0,3,4220,3179
Connor Kyle,ATL,Player,20:14,0,0,0,-1,0,0,1,2,5936,3847
Appleton Mason,ATL,Player,13:52,0,1,0,1,0,0,1,0,6204,4560
Hellebuyck Connor,ATL,Goalie,59:55,-,0,0,-,3,0,14,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
