Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Smith Cole,NSH,Player,15:12,1,0,0,-1,0,0,1,0,6630,34
Granlund Mikael,NSH,Player,17:12,0,0,0,0,0,0,0,1,877,110
Duchene Matt,NSH,Player,21:22,0,0,0,0,0,0,1,2,2266,165
Johansen Ryan,NSH,Player,17:37,1,2,0,0,0,1,2,3,2985,174
Josi Roman,NSH,Player,23:41,0,0,0,1,0,0,0,4,2438,266
Forsberg Filip,NSH,Player,16:14,0,0,0,0,0,0,1,0,4033,390
Ekholm Mattias,NSH,Player,25:01,1,0,2,0,0,0,2,4,1098,467
Lauzon Jeremy,NSH,Player,16:35,0,0,0,-1,0,0,0,2,5179,567
Sanford Zachary,NSH,Player,13:25,1,0,0,0,0,0,1,4,6085,644
Niderreiter Nino,NSH,Player,08:41,0,1,0,0,0,0,1,0,4867,689
Tolvanen Eeli,NSH,Player,13:54,0,1,0,0,0,0,0,1,1987,1109
Borowiecki Mark,NSH,Player,23:29,0,0,0,0,0,0,0,3,3634,2056
Tomasino Philip,NSH,Player,07:35,0,0,0,-1,0,0,0,1,6564,2245
Fabbro Dante,NSH,Player,20:00,0,1,0,-2,0,0,0,2,1267,2252
Carrier Alexandre,NSH,Player,13:31,0,1,0,1,0,0,1,1,2760,2657
Jeannot Tanner,NSH,Player,13:19,0,0,0,-3,0,0,1,2,3211,2662
Sissons Colton,NSH,Player,15:45,0,2,0,1,0,0,1,0,1278,2787
Trenin Yakov,NSH,Player,12:36,0,0,0,-1,0,0,1,0,6119,4345
Lankinen Kevin,NSH,Goalie,00:00,-,0,0,-,0,0,0,-,2733,11
Saros Juuse,NSH,Goalie,59:52,-,0,0,-,5,0,32,-,1195,3633
Addison Calen,MIN,Player,22:35,0,1,0,3,0,0,0,5,6612,144
Boldy Matt,MIN,Player,14:26,1,0,0,-1,0,0,4,0,6613,287
Dewar Connor,MIN,Player,15:20,1,0,0,0,0,0,3,5,6614,389
Reaves Ryan,MIN,Player,06:30,0,0,0,-1,0,0,1,1,4442,394
Eriksson Ek Joel,MIN,Player,21:41,2,0,0,2,0,1,2,3,6071,558
Hartman Ryan,MIN,Player,11:50,0,0,0,-1,0,0,4,0,2648,869
Dumba Matt,MIN,Player,14:56,0,0,2,2,0,0,0,2,4445,1196
Merrill Jon,MIN,Player,26:11,0,0,0,1,0,0,0,6,2956,1496
Zuccarello Mats,MIN,Player,15:56,0,0,0,0,0,0,0,2,5807,1559
Greenway Jordan,MIN,Player,10:15,0,2,0,1,0,0,4,0,866,2130
Brodin Jonas,MIN,Player,20:10,0,0,0,-2,0,0,0,1,4506,2217
Duhaime Brandon,MIN,Player,11:58,0,2,0,1,0,0,3,1,6565,2258
Foligno Marcus,MIN,Player,17:49,0,1,0,1,0,0,3,4,579,3395
Spurgeon Jared,MIN,Player,14:39,0,0,0,0,0,0,0,1,4407,3434
Kaprizov Kirill,MIN,Player,15:47,0,1,0,0,0,0,4,0,1717,3774
Goligoski Alex,MIN,Player,25:55,0,0,2,-1,0,0,2,7,5323,4287
Steel Sam,MIN,Player,17:19,1,0,0,-1,0,0,2,0,3212,4357
Gaudreau Frederick ,MIN,Player,08:13,0,0,0,0,0,0,0,1,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,59:32,-,0,0,-,4,0,13,-,652,508
