Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Barzal Mathew,NYI,Player,19:07,0,0,0,-1,0,0,1,1,6065,296
Parise Zach,NYI,Player,14:04,0,0,0,-3,0,0,0,4,3395,387
Palmieri Kyle,NYI,Player,14:21,0,0,0,-3,0,0,0,0,4569,498
Dobson Noah,NYI,Player,19:59,0,0,0,-1,0,0,0,2,2160,667
Martin Matt,NYI,Player,02:42,0,0,0,-1,0,0,1,0,5357,850
Mayfield Scott,NYI,Player,19:53,0,0,0,-2,0,0,0,3,6058,1148
Cizikas Casey,NYI,Player,16:20,0,1,0,-1,0,0,0,0,3210,1532
Romanov Alexander,NYI,Player,19:13,0,0,4,-3,0,0,2,4,5790,1579
Bailey Josh,NYI,Player,10:12,1,0,0,-1,0,0,1,0,3269,1649
Nelson Brock,NYI,Player,18:31,0,0,0,-1,0,0,0,3,3021,1736
Pageau Jean-Gabriel,NYI,Player,28:17,0,0,0,-3,0,0,2,3,4952,1808
Lee Anders,NYI,Player,19:37,0,0,0,-1,0,0,4,2,2493,1895
Beauvillier Anthony,NYI,Player,02:41,0,0,0,-1,0,0,0,0,6066,2074
Hickey Thomas,NYI,Player,19:25,0,0,0,-2,0,0,0,6,4517,2097
Wahlstrom Oliver,NYI,Player,10:52,0,1,0,-1,0,0,1,1,5065,2234
Pelech Adam,NYI,Player,24:47,0,0,0,-1,0,0,0,2,5645,4007
Pulock Ryan,NYI,Player,20:11,0,0,0,-3,0,0,0,0,2748,4152
Clutterbuck Cal,NYI,Player,09:50,0,0,0,-1,0,0,1,1,5214,4277
Sorokin Ilya,NYI,Goalie,08:16,-,0,0,-,4,0,5,-,5141,2065
Varlamov Semyon,NYI,Goalie,51:44,-,0,0,-,4,0,19,-,4806,3344
Addison Calen,MIN,Player,17:07,0,2,0,2,0,0,0,2,6612,144
Boldy Matt,MIN,Player,21:57,1,2,0,1,1,0,4,0,6613,287
Dewar Connor,MIN,Player,18:17,1,0,0,1,0,0,6,2,6614,389
Reaves Ryan,MIN,Player,08:37,0,1,0,1,0,0,0,0,4442,394
Eriksson Ek Joel,MIN,Player,21:24,1,0,0,1,0,0,2,5,6071,558
Hartman Ryan,MIN,Player,20:37,0,4,0,3,0,0,1,2,2648,869
Dumba Matt,MIN,Player,20:59,0,0,0,2,0,0,1,3,4445,1196
Merrill Jon,MIN,Player,18:34,0,0,0,1,0,0,1,0,2956,1496
Zuccarello Mats,MIN,Player,16:04,0,1,0,1,0,0,0,1,5807,1559
Greenway Jordan,MIN,Player,13:20,1,1,0,1,0,0,2,0,866,2130
Brodin Jonas,MIN,Player,20:32,0,1,0,3,0,0,0,3,4506,2217
Duhaime Brandon,MIN,Player,09:28,0,0,0,1,0,0,1,1,6565,2258
Foligno Marcus,MIN,Player,11:22,1,0,0,3,0,0,2,1,579,3395
Spurgeon Jared,MIN,Player,22:00,0,1,0,1,0,0,0,2,4407,3434
Kaprizov Kirill,MIN,Player,17:13,0,0,0,1,0,0,0,1,1717,3774
Goligoski Alex,MIN,Player,20:48,1,0,0,3,0,0,1,4,5323,4287
Steel Sam,MIN,Player,09:22,1,0,0,1,0,0,2,2,3212,4357
Gaudreau Frederick ,MIN,Player,13:02,1,0,0,3,0,0,1,2,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,59:17,-,1,0,-,1,0,13,-,652,508
