Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Tkachuk Brady,OTT,Player,24:22,0,0,0,-1,0,0,2,1,4369,96
Chabot Thomas,OTT,Player,25:49,0,0,0,-3,0,0,0,1,6067,343
Batherson Drake,OTT,Player,18:06,1,1,0,0,0,0,2,2,6270,452
Sanderson Jake,OTT,Player,14:27,0,0,0,0,0,0,1,2,6626,478
Formenton Alex,OTT,Player,13:07,0,0,0,0,0,0,4,0,5078,965
Joseph Mathieu,OTT,Player,14:32,0,0,0,-1,0,0,1,1,6178,1208
Zub Artyom,OTT,Player,19:44,0,1,0,0,0,0,0,4,5298,2138
Norris Josh,OTT,Player,20:24,1,0,0,0,0,0,4,2,6533,2238
Stutzle Tim,OTT,Player,18:16,0,0,0,-3,0,0,3,3,6534,2242
Holden Nick,OTT,Player,23:03,0,0,0,0,0,0,0,5,4405,2309
Pinto Shane,OTT,Player,04:01,0,0,0,-1,0,0,3,1,6587,2421
Zaitsev Nikita,OTT,Player,20:46,0,0,0,-3,0,0,0,4,2746,2442
Hamonic Travis,OTT,Player,11:08,0,1,0,0,0,0,1,2,5797,3535
DeBrincat Alex,OTT,Player,19:34,0,0,2,-2,0,0,1,4,331,3711
Motte Tyler,OTT,Player,17:05,0,0,0,0,0,0,1,1,5938,3850
Watson Austin,OTT,Player,09:17,0,0,0,-1,0,0,0,3,4657,3999
Giroux Claude,OTT,Player,17:32,1,1,0,0,0,0,5,1,3923,4237
Brassard Derrick,OTT,Player,03:48,0,0,0,0,0,0,0,1,5278,4283
Forsberg Anton,OTT,Goalie,60:00,-,0,0,-,6,0,29,-,2506,2353
Talbot Cam,OTT,Goalie,00:00,-,0,0,-,0,0,0,-,3932,3378
Addison Calen,MIN,Player,16:16,0,0,0,0,0,0,0,3,6612,144
Boldy Matt,MIN,Player,19:24,0,0,0,-1,0,0,0,2,6613,287
Dewar Connor,MIN,Player,19:02,1,0,0,0,0,0,2,3,6614,389
Reaves Ryan,MIN,Player,11:47,1,1,0,1,0,0,3,2,4442,394
Eriksson Ek Joel,MIN,Player,17:40,0,0,0,-1,0,0,5,1,6071,558
Hartman Ryan,MIN,Player,16:38,1,1,0,3,0,0,3,1,2648,869
Dumba Matt,MIN,Player,13:52,0,0,0,0,0,0,0,3,4445,1196
Merrill Jon,MIN,Player,19:18,0,0,0,0,0,0,1,3,2956,1496
Zuccarello Mats,MIN,Player,17:55,0,1,0,0,0,0,2,3,5807,1559
Greenway Jordan,MIN,Player,14:29,0,0,0,-1,0,0,1,2,866,2130
Brodin Jonas,MIN,Player,24:26,0,0,0,3,0,0,0,5,4506,2217
Duhaime Brandon,MIN,Player,10:31,1,0,0,1,0,0,2,1,6565,2258
Foligno Marcus,MIN,Player,11:51,0,2,0,3,0,0,2,1,579,3395
Spurgeon Jared,MIN,Player,18:14,0,0,0,0,0,0,0,1,4407,3434
Kaprizov Kirill,MIN,Player,18:14,0,1,0,0,0,0,2,1,1717,3774
Goligoski Alex,MIN,Player,27:54,0,1,0,3,0,0,0,2,5323,4287
Steel Sam,MIN,Player,11:43,0,1,0,1,0,0,1,1,3212,4357
Gaudreau Frederick ,MIN,Player,10:46,2,1,0,3,0,0,5,0,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,0,-,3,0,28,-,652,508
