Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kessel Phil,WOF,Player,15:09,0,0,0,0,0,0,2,2,534,45
Whitecloud Zach,WOF,Player,21:21,0,0,0,0,0,0,2,1,255,289
McNabb Brayden,WOF,Player,16:56,0,0,0,-1,0,0,1,0,1752,369
Howden Brett,WOF,Player,10:59,0,1,0,1,0,0,1,0,2471,867
Carrier William,WOF,Player,14:42,0,0,0,-1,0,0,1,3,6095,930
Hague Nicolas,WOF,Player,22:08,0,1,0,-1,0,0,0,1,5488,961
Smith Reilly,WOF,Player,12:15,0,0,0,0,0,0,3,2,3007,2049
Marchessault Jonathan,WOF,Player,17:13,1,0,0,1,0,0,1,2,3137,2310
Martinez Alec,WOF,Player,17:48,0,0,0,0,0,0,0,2,4236,2365
Stone Mark,WOF,Player,22:37,0,1,0,1,0,0,4,0,2036,2389
Roy Nicolas,WOF,Player,10:38,0,0,0,0,0,0,1,1,1223,2651
Eichel Jack,WOF,Player,23:17,0,1,0,1,0,0,3,3,3513,3151
Karlsson William,WOF,Player,14:50,1,0,0,0,0,0,7,1,4720,3501
Theodore Shea,WOF,Player,26:43,0,0,0,1,0,0,0,0,1674,3810
Pietrangelo Alex,WOF,Player,25:04,0,0,0,1,0,0,0,3,2185,4012
Stephenson Chandler,WOF,Player,17:27,0,0,0,-1,0,0,2,1,4995,4026
Patrick  Nolan,WOF,Player,17:06,0,0,0,-1,0,0,1,0,6161,4408
Kolesar Keegan,WOF,Player,14:59,0,0,0,-1,0,0,2,2,6200,4551
Brossoit Laurent,WOF,Goalie,00:00,-,0,0,-,0,0,0,-,2916,177
Lehner Robin,WOF,Goalie,63:48,-,0,0,-,2,0,24,-,2708,3541
Addison Calen,MIN,Player,20:46,0,1,2,0,0,0,0,5,6612,144
Boldy Matt,MIN,Player,17:06,0,0,0,1,0,0,1,5,6613,287
Dewar Connor,MIN,Player,19:18,0,0,0,-1,0,0,3,2,6614,389
Reaves Ryan,MIN,Player,06:29,0,0,0,0,0,0,0,2,4442,394
Eriksson Ek Joel,MIN,Player,21:35,0,1,0,0,0,0,1,5,6071,558
Hartman Ryan,MIN,Player,13:22,0,1,0,1,0,0,3,2,2648,869
Dumba Matt,MIN,Player,26:38,0,0,0,0,0,0,0,7,4445,1196
Merrill Jon,MIN,Player,27:29,0,0,0,-2,0,0,0,6,2956,1496
Zuccarello Mats,MIN,Player,19:41,0,0,0,-1,0,0,2,0,5807,1559
Greenway Jordan,MIN,Player,18:07,1,0,0,1,0,0,5,0,866,2130
Brodin Jonas,MIN,Player,18:54,0,1,0,1,0,0,0,4,4506,2217
Duhaime Brandon,MIN,Player,13:44,0,0,0,-1,0,0,1,1,6565,2258
Foligno Marcus,MIN,Player,14:23,1,0,0,1,0,0,4,1,579,3395
Spurgeon Jared,MIN,Player,19:11,0,0,0,-1,0,0,0,5,4407,3434
Kaprizov Kirill,MIN,Player,14:47,0,0,0,-1,0,0,0,1,1717,3774
Goligoski Alex,MIN,Player,19:11,0,0,0,1,0,0,0,4,5323,4287
Steel Sam,MIN,Player,10:45,0,0,0,0,0,0,3,0,3212,4357
Gaudreau Frederick ,MIN,Player,13:34,0,0,0,1,0,0,1,0,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,65:00,-,0,0,-,2,0,31,-,652,508
