Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Nichushkin Valery,WSH,Player,20:25,0,0,0,-1,0,0,1,3,"",258
Lundestrom Isac,WSH,Player,09:34,1,0,0,0,0,0,3,1,"",568
Ovechkin Alexander,WSH,Player,21:29,0,0,0,-1,0,0,0,3,3392,650
Voracek Jakub,WSH,Player,10:19,0,0,0,-1,0,0,0,0,"",921
Gavrikov Vladislav,WSH,Player,17:29,0,0,0,-1,0,0,0,1,"",1083
Milano Sonny,WSH,Player,09:54,0,0,0,-1,0,0,0,0,5124,1863
Strome Dylan,WSH,Player,14:58,0,0,0,-2,0,0,3,3,1508,1925
Wilson Tom,WSH,Player,18:46,0,0,0,-2,0,0,0,0,3194,2128
Irwin Matthew,WSH,Player,16:06,0,0,0,-1,0,0,0,1,3503,2183
Fehervary Martin,WSH,Player,19:28,0,0,0,-3,0,0,0,5,6598,2464
Mantha Anthony,WSH,Player,13:13,0,0,0,-2,0,0,2,3,5548,2690
Kuznetsov Evgeny,WSH,Player,22:51,0,0,0,-1,0,0,1,2,4336,2909
Eller Lars,WSH,Player,12:49,0,0,0,-1,0,0,0,0,4321,3035
Carlson John,WSH,Player,28:22,0,0,0,-1,0,0,1,5,4455,3124
Orlov Dmitry,WSH,Player,25:00,0,0,2,0,0,0,0,9,1905,3776
Sheary Conor,WSH,Player,08:50,0,1,0,0,0,0,0,0,648,4142
Brown Connor,WSH,Player,10:32,0,1,0,0,0,0,1,3,2847,4166
Jensen Nick,WSH,Player,15:09,0,0,0,-2,0,0,0,1,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,59:48,-,0,0,-,5,0,23,-,2785,429
Addison Calen,MIN,Player,23:11,0,2,0,3,0,0,0,2,6612,144
Boldy Matt,MIN,Player,09:05,0,0,0,1,0,0,1,3,6613,287
Dewar Connor,MIN,Player,21:07,0,0,2,-1,0,0,2,0,6614,389
Reaves Ryan,MIN,Player,02:18,0,0,0,0,0,0,0,1,4442,394
Eriksson Ek Joel,MIN,Player,18:35,1,1,0,2,0,0,3,3,6071,558
Hartman Ryan,MIN,Player,17:37,0,1,0,2,0,0,3,2,2648,869
Dumba Matt,MIN,Player,18:22,0,0,0,1,0,0,1,2,4445,1196
Merrill Jon,MIN,Player,23:30,0,0,0,0,0,0,0,3,2956,1496
Zuccarello Mats,MIN,Player,16:02,0,0,0,0,0,0,2,3,5807,1559
Greenway Jordan,MIN,Player,08:33,0,1,0,0,0,0,2,0,866,2130
Brodin Jonas,MIN,Player,25:08,0,2,2,3,0,0,1,5,4506,2217
Duhaime Brandon,MIN,Player,12:16,1,0,0,2,0,1,3,2,6565,2258
Foligno Marcus,MIN,Player,21:19,0,1,0,2,0,0,0,2,579,3395
Spurgeon Jared,MIN,Player,16:00,0,0,0,0,0,0,0,0,4407,3434
Kaprizov Kirill,MIN,Player,17:20,0,0,0,-1,0,0,1,2,1717,3774
Goligoski Alex,MIN,Player,18:10,0,2,0,2,0,0,0,3,5323,4287
Steel Sam,MIN,Player,12:49,1,0,0,1,0,0,1,2,3212,4357
Gaudreau Frederick ,MIN,Player,08:38,2,0,0,2,0,0,3,0,6174,4429
Gustavsson Filip,MIN,Goalie,00:00,-,0,0,-,0,0,0,-,6017,14
Fleury Marc-Andre,MIN,Goalie,60:00,-,0,0,-,1,0,12,-,652,508
