Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Krejci David,BOS,Player,15:00,0,0,0,-2,0,0,3,4,3959,46
Bergeron Patrice,BOS,Player,14:45,0,0,0,-1,0,0,1,0,320,48
Marchand Brad,BOS,Player,14:49,1,0,0,-1,1,0,1,1,5691,51
Pastrnak David,BOS,Player,14:37,0,1,0,-1,0,0,2,1,274,59
DeBrusk Jake,BOS,Player,14:00,0,0,0,0,0,0,2,1,1211,371
Foligno Nick,BOS,Player,14:39,1,0,0,-2,0,0,4,1,5155,454
Clifton Connor,BOS,Player,20:14,0,0,0,-1,0,0,0,2,264,613
Zacha Pavel,BOS,Player,14:06,0,0,0,0,0,0,0,1,5127,2013
Forbort Derek,BOS,Player,16:55,0,0,0,-1,0,0,0,4,4985,2139
Grzelcyk Matthew,BOS,Player,21:17,0,0,0,0,0,0,0,1,1074,2231
Coyle Charlie,BOS,Player,16:09,0,1,0,1,0,0,4,0,2149,2342
Renouf Dan,BOS,Player,18:51,0,0,0,-2,0,0,1,4,6580,2398
Greer A.J.,BOS,Player,15:57,0,0,0,1,0,0,0,2,5975,2473
Hall Taylor,BOS,Player,15:14,0,0,0,-2,0,0,2,0,1918,3131
Carrick Connor,BOS,Player,22:07,0,0,0,0,0,0,0,0,2369,3394
Smith Craig,BOS,Player,14:43,0,0,0,0,0,0,2,0,4429,3750
Nosek Tomas,BOS,Player,16:01,1,0,0,1,0,0,1,1,3757,4102
McAvoy Charlie,BOS,Player,20:36,0,1,0,0,0,0,0,2,6142,4367
Swayman Jeremy,BOS,Goalie,00:00,-,0,0,-,0,0,0,-,6554,84
Ullmark Linus,BOS,Goalie,60:00,-,0,0,-,4,0,36,-,4488,3736
Zegras Trevor,ANA,Player,19:18,0,2,0,2,0,0,2,3,6553,22
Shattenkirk Kevin,ANA,Player,20:59,0,0,0,0,0,0,1,2,4438,172
Kulikov Dmitry,ANA,Player,20:19,0,0,0,2,0,0,1,3,4685,272
Groulx Benoit-Olivier,ANA,Player,13:27,1,0,0,1,0,0,2,0,1457,295
Comtois Maxime,ANA,Player,14:36,0,0,0,-1,0,0,2,0,4341,303
Henrique Adam,ANA,Player,15:32,0,0,0,-1,0,0,2,0,837,320
Drysdale Jamie,ANA,Player,19:22,0,1,0,0,0,0,1,2,6570,406
Terry Troy,ANA,Player,19:59,1,1,0,2,0,0,5,0,1967,2146
Fowler Cam,ANA,Player,20:57,0,0,0,0,0,0,1,4,4436,2371
Grant Derek,ANA,Player,13:30,0,0,0,1,0,0,2,2,5353,2392
Leason Brett,ANA,Player,15:33,0,0,0,-1,0,0,2,3,6600,2466
De Leo Chase,ANA,Player,11:01,0,1,0,0,0,0,3,1,545,2482
McTavish Mason,ANA,Player,19:08,1,0,0,2,0,0,5,0,6601,2491
Benoit Simon,ANA,Player,18:44,0,0,0,0,0,0,0,1,3723,2670
Klingberg John,ANA,Player,19:39,0,0,0,2,0,0,2,3,2537,2843
Silfverberg Jakob,ANA,Player,13:24,0,0,2,1,0,0,3,1,1362,3143
Strome Ryan,ANA,Player,11:40,1,0,0,0,0,0,2,0,396,3219
Vatrano Frank,ANA,Player,12:08,0,0,0,0,0,0,0,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,3,0,23,-,2104,2896
