Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Krejci David,BOS,Player,13:37,1,0,0,-1,0,0,4,2,3959,46
Bergeron Patrice,BOS,Player,17:21,0,0,0,0,0,0,1,2,320,48
Marchand Brad,BOS,Player,17:17,0,0,0,0,0,0,2,2,5691,51
Pastrnak David,BOS,Player,17:19,0,0,0,0,0,0,1,3,274,59
DeBrusk Jake,BOS,Player,15:57,0,0,0,-2,0,0,0,3,1211,371
Foligno Nick,BOS,Player,12:59,0,1,0,-1,0,0,1,3,5155,454
Clifton Connor,BOS,Player,22:40,0,0,0,0,0,0,0,5,264,613
Zacha Pavel,BOS,Player,17:30,0,0,0,-2,0,0,1,1,5127,2013
Forbort Derek,BOS,Player,18:46,0,0,0,-1,0,0,0,5,4985,2139
Grzelcyk Matthew,BOS,Player,19:08,0,0,0,-2,0,0,0,3,1074,2231
Coyle Charlie,BOS,Player,09:43,0,0,0,0,0,0,0,0,2149,2342
Renouf Dan,BOS,Player,19:17,0,0,0,-1,0,0,0,7,6580,2398
Greer A.J.,BOS,Player,09:57,0,0,0,0,0,0,3,0,5975,2473
Hall Taylor,BOS,Player,15:00,0,0,0,-1,0,0,1,2,1918,3131
Carrick Connor,BOS,Player,16:45,0,0,0,-2,0,0,0,5,2369,3394
Smith Craig,BOS,Player,18:08,0,0,0,-2,0,0,1,2,4429,3750
Nosek Tomas,BOS,Player,09:45,0,0,0,0,0,0,1,2,3757,4102
McAvoy Charlie,BOS,Player,19:46,0,0,0,0,0,0,0,0,6142,4367
Swayman Jeremy,BOS,Goalie,00:00,-,0,0,-,0,0,0,-,6554,84
Ullmark Linus,BOS,Goalie,58:11,-,0,0,-,4,0,45,-,4488,3736
Ehlers Nikolaj,ATL,Player,12:11,0,0,0,0,0,0,0,2,4141,257
Gagner Sam,ATL,Player,12:26,0,0,0,1,0,0,1,1,5164,260
Wheeler Blake,ATL,Player,19:11,0,0,0,0,0,0,2,0,206,404
Harkins Jansen,ATL,Player,13:36,0,0,0,1,0,0,2,0,2944,569
Scheifele Mark,ATL,Player,19:55,0,0,0,0,0,0,5,1,5341,581
Lowry Adam,ATL,Player,13:38,0,1,0,1,0,0,5,1,2504,624
Stenlund Kevin,ATL,Player,13:32,0,1,0,2,0,0,1,1,6164,660
Barron Morgan,ATL,Player,10:58,2,0,0,2,0,0,4,1,6631,708
Morrissey Josh,ATL,Player,25:48,1,0,0,1,0,0,5,4,6077,878
Dillon Brenden,ATL,Player,18:59,0,0,0,0,0,0,2,1,3193,2019
Schmidt Nate,ATL,Player,25:26,1,0,0,1,0,0,2,5,4431,2129
Pionk Neal,ATL,Player,17:42,0,0,0,0,0,0,1,2,2102,2267
Perfetti Cole,ATL,Player,13:40,0,1,0,0,0,0,3,0,6602,2495
Capobianco Kyle,ATL,Player,13:46,0,0,0,2,0,0,0,2,3470,2708
Dubois Pierre-Luc,ATL,Player,12:52,0,0,0,0,0,0,2,0,5952,2979
Beaulieu Nathan,ATL,Player,14:41,0,0,0,2,0,0,0,3,4220,3179
Connor Kyle,ATL,Player,20:02,0,0,0,0,0,0,7,3,5936,3847
Appleton Mason,ATL,Player,12:32,0,1,0,2,0,0,3,2,6204,4560
Hellebuyck Connor,ATL,Goalie,58:11,-,0,0,-,1,0,16,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
