Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Krejci David,BOS,Player,10:42,0,0,0,0,0,0,0,0,3959,46
Bergeron Patrice,BOS,Player,20:23,2,0,0,1,0,0,9,4,320,48
Marchand Brad,BOS,Player,15:40,0,1,0,1,0,0,1,3,5691,51
Pastrnak David,BOS,Player,14:45,0,1,0,1,0,0,5,1,274,59
DeBrusk Jake,BOS,Player,15:21,0,0,0,0,0,0,0,1,1211,371
Foligno Nick,BOS,Player,13:39,0,0,0,0,0,0,2,3,5155,454
Clifton Connor,BOS,Player,20:51,0,1,0,2,0,0,1,4,264,613
Zacha Pavel,BOS,Player,12:31,0,0,0,0,0,0,0,4,5127,2013
Forbort Derek,BOS,Player,12:30,0,0,0,0,0,0,0,4,4985,2139
Grzelcyk Matthew,BOS,Player,26:25,0,0,0,0,0,0,0,5,1074,2231
Coyle Charlie,BOS,Player,15:00,1,0,0,1,0,0,3,1,2149,2342
Renouf Dan,BOS,Player,11:25,0,0,0,0,0,0,0,3,6580,2398
Greer A.J.,BOS,Player,11:32,0,1,2,1,0,0,1,0,5975,2473
Hall Taylor,BOS,Player,14:19,0,0,0,0,0,0,1,1,1918,3131
Carrick Connor,BOS,Player,26:39,0,0,0,0,0,0,0,4,2369,3394
Smith Craig,BOS,Player,15:02,0,0,0,0,0,0,1,2,4429,3750
Nosek Tomas,BOS,Player,16:18,0,0,0,1,0,0,5,2,3757,4102
McAvoy Charlie,BOS,Player,22:10,0,1,0,2,0,0,2,5,6142,4367
Swayman Jeremy,BOS,Goalie,00:00,-,0,0,-,0,0,0,-,6554,84
Ullmark Linus,BOS,Goalie,60:00,-,0,0,-,1,0,19,-,4488,3736
Dahlin Rasmus,BUF,Player,19:32,0,0,0,0,0,0,0,2,2121,73
Okposo Kyle,BUF,Player,15:11,0,0,0,0,0,0,1,1,5379,410
Batherson Drake,BUF,Player,18:33,0,0,0,-1,0,0,1,1,6270,452
Rust Bryan,BUF,Player,18:59,1,0,0,-1,0,0,1,2,431,1005
Vilardi Gabriel,BUF,Player,11:27,0,0,0,0,0,0,1,0,1169,1012
Dach Kirby,BUF,Player,13:18,0,0,0,0,0,0,3,2,3937,1163
Jokiharju Henri,BUF,Player,19:50,0,0,0,0,0,0,1,2,4819,1246
Cozens Dylan,BUF,Player,20:23,0,1,0,-2,0,0,2,2,6522,2191
Byfield Quinton,BUF,Player,12:19,0,0,0,0,0,0,1,1,6582,2406
Power Owen,BUF,Player,20:38,0,1,0,-2,0,0,0,6,6603,2501
Krebs Peyton,BUF,Player,11:28,0,0,0,0,0,0,1,2,6604,2502
Quinn Jack,BUF,Player,14:52,0,0,0,0,0,0,2,1,6606,2510
Samuelsson Mattias,BUF,Player,18:17,0,0,0,0,0,0,0,4,1753,2527
Mittelstadt Casey,BUF,Player,16:42,0,0,0,0,0,0,3,1,5502,2747
Girgensons Zemgus,BUF,Player,12:51,0,0,0,-1,0,0,1,3,2830,2987
Lyubushkin Ilya,BUF,Player,21:40,0,0,0,-2,0,0,0,1,3772,3452
Armia Joel,BUF,Player,13:57,0,0,0,-1,0,0,1,0,504,3468
Bitetto Anthony,BUF,Player,20:03,0,0,0,0,0,0,0,5,2205,4000
Subban Malcolm,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,2505,1139
Comrie Eric,BUF,Goalie,60:00,-,0,0,-,3,0,31,-,479,1230
