Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Krejci David,BOS,Player,15:18,0,0,0,0,0,0,2,1,3959,46
Bergeron Patrice,BOS,Player,19:39,3,0,0,-2,1,0,3,1,320,48
Marchand Brad,BOS,Player,23:19,0,3,0,-2,0,0,2,1,5691,51
Pastrnak David,BOS,Player,19:49,0,2,0,-2,0,0,0,1,274,59
DeBrusk Jake,BOS,Player,10:07,1,0,0,1,0,0,1,1,1211,371
Foligno Nick,BOS,Player,16:43,0,0,0,0,0,0,2,1,5155,454
Clifton Connor,BOS,Player,22:54,0,0,0,0,0,0,0,4,264,613
Zacha Pavel,BOS,Player,13:18,1,0,0,1,0,0,1,1,5127,2013
Forbort Derek,BOS,Player,16:19,0,0,0,0,0,0,0,2,4985,2139
Grzelcyk Matthew,BOS,Player,18:34,0,0,0,-1,0,0,0,2,1074,2231
Coyle Charlie,BOS,Player,11:45,0,1,0,-1,0,0,0,1,2149,2342
Renouf Dan,BOS,Player,18:58,0,0,0,-1,0,0,0,1,6580,2398
Greer A.J.,BOS,Player,10:41,1,0,0,-1,0,0,2,0,5975,2473
Hall Taylor,BOS,Player,15:53,0,0,0,0,0,0,1,1,1918,3131
Carrick Connor,BOS,Player,18:14,0,1,0,-1,0,0,0,2,2369,3394
Smith Craig,BOS,Player,13:07,0,2,0,1,0,0,1,1,4429,3750
Nosek Tomas,BOS,Player,10:21,0,0,0,-1,0,0,1,2,3757,4102
McAvoy Charlie,BOS,Player,25:01,0,1,0,-1,0,0,0,6,6142,4367
Swayman Jeremy,BOS,Goalie,40:00,-,0,0,-,4,0,23,-,6554,84
Ullmark Linus,BOS,Goalie,20:00,-,0,0,-,3,0,10,-,4488,3736
Kane Patrick,CHI,Player,14:42,0,2,0,2,0,0,2,1,5160,151
Toews Jonathan,CHI,Player,14:43,2,0,0,2,0,0,3,0,5161,152
Johnson Jack,CHI,Player,16:07,0,0,0,-1,0,0,1,0,1232,285
Jones Seth,CHI,Player,26:14,0,2,0,4,0,0,0,2,4044,424
Kurashev Philipp,CHI,Player,17:59,1,1,0,0,0,1,4,2,1698,542
Connolly Brett,CHI,Player,09:39,0,2,0,1,0,0,0,0,2688,584
Jones Caleb,CHI,Player,17:39,0,0,0,-1,0,0,1,2,2949,712
Murphy Connor,CHI,Player,23:33,0,1,2,3,0,0,0,6,289,1842
Johnson Tyler,CHI,Player,17:36,0,1,0,-2,0,0,1,2,892,2411
Tinordi Jarred,CHI,Player,18:31,0,0,0,1,0,0,0,6,2087,2435
Katchouk Boris,CHI,Player,15:57,0,1,0,0,0,0,3,1,6594,2457
Raddysh Taylor,CHI,Player,17:14,1,0,0,-1,0,0,5,1,6595,2458
Blackwell Colin,CHI,Player,16:25,1,0,0,0,0,0,4,4,3751,2663
McCabe Jake,CHI,Player,17:56,0,0,0,-2,0,0,0,3,5306,3478
Domi Max,CHI,Player,13:38,0,1,0,2,0,0,2,1,2552,4013
Khaira Jujhar,CHI,Player,11:42,1,2,0,2,0,0,2,1,4766,4033
Athanasiou Andreas,CHI,Player,17:45,0,1,0,-2,0,0,3,1,5664,4103
Dickinson Jason,CHI,Player,09:41,1,0,0,1,0,0,2,2,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,6,0,16,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
