Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,19:00,0,0,0,-2,0,0,0,3,2121,73
Skinner Jeff,BUF,Player,15:51,0,1,0,-1,0,0,3,2,2848,77
Thompson  Tage,BUF,Player,15:34,0,0,0,-3,0,0,0,2,3781,297
Bjork Anders,BUF,Player,13:56,0,0,0,-2,0,0,0,1,2164,356
Olofsson Victor,BUF,Player,17:18,1,0,0,-1,0,0,2,1,5859,396
Okposo Kyle,BUF,Player,18:01,0,0,0,1,0,0,6,1,5379,410
Davidson Brandon,BUF,Player,14:21,0,0,0,-2,0,0,2,6,1828,591
Cozens Dylan,BUF,Player,16:33,1,0,0,-2,0,0,8,0,6522,2191
Bryson Jacob,BUF,Player,27:06,0,0,0,-3,0,0,0,5,6573,2377
Power Owen,BUF,Player,19:35,0,1,0,-1,0,0,1,4,6603,2501
Krebs Peyton,BUF,Player,13:22,0,0,0,-2,0,0,3,2,6604,2502
Peterka JJ,BUF,Player,15:55,0,1,0,0,0,0,1,0,6605,2509
Quinn Jack,BUF,Player,14:44,0,0,0,-2,0,0,1,1,6606,2510
Mittelstadt Casey,BUF,Player,14:10,0,0,0,-2,0,0,3,0,5502,2747
Girgensons Zemgus,BUF,Player,11:41,0,0,0,-2,0,0,1,2,2830,2987
Lyubushkin Ilya,BUF,Player,26:39,0,0,0,-2,0,0,0,8,3772,3452
Tuch Alex,BUF,Player,12:55,0,0,0,-2,0,0,2,3,6176,4434
Butcher Will,BUF,Player,13:19,0,0,0,-2,0,0,0,2,6187,4532
Anderson Craig,BUF,Goalie,60:00,-,0,0,-,8,0,45,-,234,265
Subban Malcolm,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,2505,1139
Zegras Trevor,ANA,Player,13:08,2,2,0,5,0,0,8,2,6553,22
Shattenkirk Kevin,ANA,Player,15:47,0,0,0,1,0,0,0,5,4438,172
Kulikov Dmitry,ANA,Player,21:27,0,0,0,5,0,0,0,5,4685,272
Groulx Benoit-Olivier,ANA,Player,18:49,0,0,0,-1,0,0,2,1,1457,295
Comtois Maxime,ANA,Player,14:31,1,0,0,1,0,0,2,2,4341,303
Henrique Adam,ANA,Player,15:52,0,1,0,1,0,0,4,2,837,320
Drysdale Jamie,ANA,Player,21:16,0,1,0,0,0,0,0,7,6570,406
Terry Troy,ANA,Player,13:08,2,2,0,5,0,0,6,0,1967,2146
Fowler Cam,ANA,Player,16:36,0,0,0,1,0,0,1,4,4436,2371
Grant Derek,ANA,Player,17:01,0,0,0,-1,0,0,4,2,5353,2392
Leason Brett,ANA,Player,14:51,1,1,0,1,0,0,4,1,6600,2466
De Leo Chase,ANA,Player,13:12,0,0,0,1,0,0,3,1,545,2482
McTavish Mason,ANA,Player,13:21,2,4,0,6,0,0,3,0,6601,2491
Benoit Simon,ANA,Player,21:57,0,0,0,0,0,0,0,5,3723,2670
Klingberg John,ANA,Player,22:57,0,1,0,5,0,0,0,5,2537,2843
Silfverberg Jakob,ANA,Player,19:10,0,0,0,-1,0,0,1,0,1362,3143
Strome Ryan,ANA,Player,13:59,0,1,0,1,0,0,4,1,396,3219
Vatrano Frank,ANA,Player,12:58,0,0,0,0,0,0,3,0,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,60:00,-,0,0,-,2,0,33,-,2104,2896
