Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,20:51,0,1,0,-1,0,0,0,2,2121,73
Okposo Kyle,BUF,Player,18:08,0,1,0,-1,0,0,2,1,5379,410
Batherson Drake,BUF,Player,15:20,1,0,0,-3,0,0,2,0,6270,452
Rust Bryan,BUF,Player,18:12,0,1,0,-3,0,0,1,3,431,1005
Vilardi Gabriel,BUF,Player,14:08,0,1,0,-1,0,0,2,0,1169,1012
Dach Kirby,BUF,Player,13:04,0,0,0,-1,0,0,1,0,3937,1163
Jokiharju Henri,BUF,Player,20:19,0,0,0,-2,0,0,0,4,4819,1246
Cozens Dylan,BUF,Player,15:13,0,0,0,-3,0,0,1,1,6522,2191
Byfield Quinton,BUF,Player,14:07,1,0,0,-1,0,0,4,2,6582,2406
Power Owen,BUF,Player,18:50,0,1,0,-3,0,0,1,3,6603,2501
Krebs Peyton,BUF,Player,12:44,0,0,0,-1,0,0,1,4,6604,2502
Quinn Jack,BUF,Player,14:30,0,0,0,-1,0,0,0,1,6606,2510
Samuelsson Mattias,BUF,Player,22:38,0,0,0,-1,0,0,0,4,1753,2527
Mittelstadt Casey,BUF,Player,17:55,1,0,0,-1,0,0,4,1,5502,2747
Girgensons Zemgus,BUF,Player,14:14,0,0,0,-1,0,0,2,2,2830,2987
Lyubushkin Ilya,BUF,Player,17:50,0,0,0,-3,0,0,0,1,3772,3452
Armia Joel,BUF,Player,12:25,0,0,0,-1,0,0,1,0,504,3468
Bitetto Anthony,BUF,Player,19:32,0,0,0,-2,0,0,0,3,2205,4000
Anderson Craig,BUF,Goalie,18:54,-,0,0,-,5,0,14,-,234,265
Comrie Eric,BUF,Goalie,41:06,-,0,0,-,4,0,18,-,479,1230
Krejci David,BOS,Player,11:51,1,0,0,1,0,0,4,2,3959,46
Bergeron Patrice,BOS,Player,18:32,3,2,0,4,0,0,4,1,320,48
Marchand Brad,BOS,Player,16:24,2,1,0,4,0,0,3,2,5691,51
Pastrnak David,BOS,Player,13:34,0,2,0,4,0,0,2,0,274,59
DeBrusk Jake,BOS,Player,16:08,0,2,0,1,0,0,1,2,1211,371
Foligno Nick,BOS,Player,16:53,0,1,0,1,0,0,3,1,5155,454
Clifton Connor,BOS,Player,17:11,0,0,0,3,0,0,0,2,264,613
Zacha Pavel,BOS,Player,16:32,2,0,0,1,0,0,4,1,5127,2013
Forbort Derek,BOS,Player,18:14,0,0,0,1,0,0,0,1,4985,2139
Grzelcyk Matthew,BOS,Player,27:05,0,1,0,1,0,0,1,10,1074,2231
Coyle Charlie,BOS,Player,09:10,0,1,0,0,0,0,1,1,2149,2342
Renouf Dan,BOS,Player,18:42,0,0,0,1,0,0,0,4,6580,2398
Greer A.J.,BOS,Player,10:54,1,1,0,0,0,0,2,2,5975,2473
Hall Taylor,BOS,Player,11:15,0,1,0,1,0,0,1,2,1918,3131
Carrick Connor,BOS,Player,24:35,0,0,0,2,0,0,1,5,2369,3394
Smith Craig,BOS,Player,16:20,0,1,0,1,0,0,3,0,4429,3750
Nosek Tomas,BOS,Player,13:34,0,1,0,0,0,0,2,2,3757,4102
McAvoy Charlie,BOS,Player,18:07,0,1,2,4,0,0,0,2,6142,4367
Swayman Jeremy,BOS,Goalie,00:00,-,0,0,-,0,0,0,-,6554,84
Ullmark Linus,BOS,Goalie,60:00,-,0,0,-,3,0,22,-,4488,3736
