Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,24:49,0,0,0,-1,0,0,0,4,2121,73
Okposo Kyle,BUF,Player,14:49,0,0,0,-1,0,0,2,2,5379,410
Batherson Drake,BUF,Player,14:51,0,0,0,-1,0,0,2,3,6270,452
Stepan Derek,BUF,Player,16:13,1,0,0,1,0,0,2,0,2759,482
Rust Bryan,BUF,Player,15:03,0,0,0,-1,0,0,0,2,431,1005
Vilardi Gabriel,BUF,Player,14:39,0,0,0,-2,0,0,1,4,1169,1012
Dach Kirby,BUF,Player,15:17,0,0,0,-2,0,0,1,1,3937,1163
Jokiharju Henri,BUF,Player,18:29,0,1,0,0,0,0,2,0,4819,1246
Cozens Dylan,BUF,Player,13:49,0,0,0,-1,0,0,2,2,6522,2191
Byfield Quinton,BUF,Player,14:07,0,0,0,-2,0,0,0,1,6582,2406
Power Owen,BUF,Player,24:14,0,0,0,-1,0,0,0,6,6603,2501
Krebs Peyton,BUF,Player,16:33,0,1,0,1,0,0,1,1,6604,2502
Quinn Jack,BUF,Player,14:11,0,0,0,-1,0,0,3,2,6606,2510
Samuelsson Mattias,BUF,Player,17:17,0,0,0,-2,0,0,0,2,1753,2527
Mittelstadt Casey,BUF,Player,14:59,0,0,0,-1,0,0,4,1,5502,2747
Lyubushkin Ilya,BUF,Player,17:11,0,0,0,-2,0,0,0,3,3772,3452
Armia Joel,BUF,Player,15:29,1,1,0,1,0,0,3,3,504,3468
Bitetto Anthony,BUF,Player,18:00,0,0,0,0,0,0,0,1,2205,4000
Anderson Craig,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,234,265
Comrie Eric,BUF,Goalie,60:00,-,0,0,-,5,0,46,-,479,1230
Stastny Paul,CAR,Player,12:06,1,0,0,-1,0,0,3,1,934,153
Burns Brent,CAR,Player,23:41,0,0,0,1,0,0,0,4,410,309
Wheeler Blake,CAR,Player,10:03,1,0,0,3,0,0,6,0,206,404
Carter Jeff,CAR,Player,28:47,0,1,0,2,0,0,7,7,3297,474
Staal Jordan,CAR,Player,09:50,1,0,0,2,0,0,4,1,1628,500
Pavelski Joe,CAR,Player,28:57,1,0,0,1,0,0,6,4,1826,546
Gardiner Jake,CAR,Player,20:11,0,1,0,-1,0,0,0,7,5230,595
Sedin Daniel,CAR,Player,12:55,0,1,0,-1,0,0,2,0,1794,627
Pesce Brett,CAR,Player,28:02,0,0,0,-1,0,0,0,3,4415,906
de Haan Calvin,CAR,Player,23:22,0,0,0,2,0,0,3,3,4595,1754
Schmidt Nate,CAR,Player,08:36,0,1,0,2,0,0,0,1,4431,2129
Jarvis Seth,CAR,Player,09:46,0,0,0,0,0,0,1,1,6574,2381
Peterka JJ,CAR,Player,08:36,0,0,0,0,0,0,2,0,6605,2509
Bonino Nick,CAR,Player,09:17,0,0,0,0,0,0,1,1,563,2862
Teravainen Teuvo,CAR,Player,09:12,0,2,0,2,0,0,3,1,1779,2963
Fast Jesper,CAR,Player,11:14,0,0,0,-1,0,0,3,2,286,3542
Svechnikov Andrei,CAR,Player,24:18,0,2,2,2,0,0,1,0,5058,3885
Slavin Jaccob,CAR,Player,16:08,1,1,0,3,0,0,4,3,4920,4060
Kochetkov Petr,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,3164,511
Raanta Antti,CAR,Goalie,60:00,-,0,0,-,2,0,23,-,2608,2912
