Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,25:05,0,2,0,4,0,0,0,1,2121,73
Skinner Jeff,BUF,Player,19:35,1,1,2,2,0,0,1,3,2848,77
Thompson  Tage,BUF,Player,20:01,2,2,0,3,0,0,5,1,3781,297
Bjork Anders,BUF,Player,12:09,0,0,0,-1,0,0,1,1,2164,356
Olofsson Victor,BUF,Player,13:29,0,0,0,-3,0,0,1,0,5859,396
Okposo Kyle,BUF,Player,12:05,0,0,0,-3,0,0,3,1,5379,410
Davidson Brandon,BUF,Player,19:04,0,0,0,-1,0,0,1,5,1828,591
Cozens Dylan,BUF,Player,19:02,1,2,2,3,0,0,1,7,6522,2191
Bryson Jacob,BUF,Player,18:49,0,0,0,-5,0,0,0,7,6573,2377
Power Owen,BUF,Player,24:17,0,1,2,4,0,0,0,8,6603,2501
Krebs Peyton,BUF,Player,12:49,0,0,0,-1,0,0,1,5,6604,2502
Peterka JJ,BUF,Player,14:15,0,0,0,-3,0,0,0,1,6605,2509
Quinn Jack,BUF,Player,13:32,0,0,0,-1,0,0,1,1,6606,2510
Mittelstadt Casey,BUF,Player,13:54,0,0,0,-1,0,0,1,2,5502,2747
Girgensons Zemgus,BUF,Player,10:09,0,0,0,1,0,0,4,2,2830,2987
Lyubushkin Ilya,BUF,Player,15:51,0,0,0,-5,0,0,0,2,3772,3452
Tuch Alex,BUF,Player,12:09,1,0,0,-1,0,0,1,2,6176,4434
Butcher Will,BUF,Player,16:54,0,0,0,-1,0,0,0,2,6187,4532
Anderson Craig,BUF,Goalie,60:00,-,0,0,-,9,0,38,-,234,265
Subban Malcolm,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,2505,1139
Kane Patrick,CHI,Player,21:58,0,2,0,0,0,0,5,2,5160,151
Toews Jonathan,CHI,Player,25:20,2,3,0,3,1,0,4,2,5161,152
Johnson Jack,CHI,Player,14:35,0,0,0,0,0,0,4,1,1232,285
Jones Seth,CHI,Player,26:11,0,2,0,1,0,0,0,6,4044,424
Kurashev Philipp,CHI,Player,12:48,2,0,0,1,0,0,3,1,1698,542
Connolly Brett,CHI,Player,10:09,0,1,0,-2,0,0,0,0,2688,584
Jones Caleb,CHI,Player,20:45,0,1,2,2,0,0,1,6,2949,712
Murphy Connor,CHI,Player,24:59,0,1,0,0,0,0,0,5,289,1842
Johnson Tyler,CHI,Player,13:59,1,1,0,2,0,0,2,1,892,2411
Tinordi Jarred,CHI,Player,15:49,0,1,0,1,0,0,2,4,2087,2435
Katchouk Boris,CHI,Player,08:31,0,1,0,0,0,0,2,1,6594,2457
Raddysh Taylor,CHI,Player,14:06,0,1,0,2,0,0,1,0,6595,2458
Blackwell Colin,CHI,Player,09:54,0,1,0,0,0,0,2,0,3751,2663
McCabe Jake,CHI,Player,19:12,0,0,0,1,0,0,0,1,5306,3478
Domi Max,CHI,Player,24:05,3,1,0,2,1,0,5,2,2552,4013
Khaira Jujhar,CHI,Player,10:48,0,0,0,-3,0,0,0,0,4766,4033
Athanasiou Andreas,CHI,Player,13:45,1,1,0,2,0,0,3,1,5664,4103
Dickinson Jason,CHI,Player,08:15,0,0,0,-3,0,0,4,0,6177,4437
Mrazek Petr,CHI,Goalie,59:53,-,0,0,-,5,0,21,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
