Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,19:53,0,0,0,-1,0,0,0,6,2121,73
Skinner Jeff,BUF,Player,17:23,0,0,0,0,0,0,3,2,2848,77
Thompson  Tage,BUF,Player,15:10,0,0,0,0,0,0,1,0,3781,297
Bjork Anders,BUF,Player,11:14,0,0,0,-3,0,0,1,0,2164,356
Olofsson Victor,BUF,Player,15:47,0,0,0,-1,0,0,1,3,5859,396
Okposo Kyle,BUF,Player,10:46,0,0,0,-2,0,0,2,2,5379,410
Davidson Brandon,BUF,Player,16:12,0,0,0,0,0,0,0,3,1828,591
Cozens Dylan,BUF,Player,17:18,0,0,0,0,0,0,3,2,6522,2191
Bryson Jacob,BUF,Player,24:16,0,0,0,-2,0,0,1,5,6573,2377
Power Owen,BUF,Player,18:58,0,0,0,0,0,0,0,2,6603,2501
Krebs Peyton,BUF,Player,16:26,1,0,0,1,0,0,1,2,6604,2502
Peterka JJ,BUF,Player,15:25,0,0,0,-1,0,0,3,1,6605,2509
Quinn Jack,BUF,Player,16:59,0,0,0,-1,0,0,1,4,6606,2510
Mittelstadt Casey,BUF,Player,10:51,0,0,0,-2,0,0,3,1,5502,2747
Girgensons Zemgus,BUF,Player,17:05,0,1,0,1,0,0,3,2,2830,2987
Lyubushkin Ilya,BUF,Player,23:55,0,0,0,-1,0,0,0,3,3772,3452
Tuch Alex,BUF,Player,15:36,1,0,0,2,0,0,2,1,6176,4434
Butcher Will,BUF,Player,16:46,0,1,0,0,0,0,1,1,6187,4532
Anderson Craig,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,234,265
Subban Malcolm,BUF,Goalie,60:00,-,0,0,-,4,0,24,-,2505,1139
Landeskog Gabriel,COL,Player,17:51,3,0,0,3,0,0,4,1,1157,105
Nichushkin Valery,COL,Player,16:07,0,1,0,0,0,0,3,3,2145,258
Cogliano Andrew,COL,Player,10:24,0,0,0,0,0,0,1,2,5163,259
Galchenyuk Alex,COL,Player,13:25,0,0,0,-1,0,0,1,4,1690,281
Johnson Erik,COL,Player,19:22,0,0,0,1,0,0,0,3,5288,544
MacKinnon Nathan,COL,Player,17:31,1,0,0,1,0,0,4,4,3917,599
Makar Cale,COL,Player,19:10,0,0,0,0,0,0,0,4,4146,683
MacDermid Kurtis,COL,Player,18:33,0,1,0,3,0,0,0,4,1114,747
Toews Devon,COL,Player,20:32,0,0,0,2,0,0,0,8,3708,854
Lehkonen Artturi,COL,Player,16:29,0,2,0,3,0,0,3,1,3216,1447
Newhook Alex,COL,Player,12:53,0,1,0,3,0,0,0,2,6560,1456
Rantanen Mikko,COL,Player,17:34,0,1,0,0,0,0,1,2,5444,1683
O'Connor Logan,COL,Player,11:10,0,0,0,0,0,0,2,1,6576,2388
Rodrigues Evan,COL,Player,17:48,0,0,0,-1,0,0,2,0,6126,2650
Matteau Stefan,COL,Player,17:00,0,0,0,-1,0,0,0,2,3256,3216
Manson Josh,COL,Player,22:05,0,0,0,-2,0,0,0,6,5585,3493
Compher J.T.,COL,Player,11:48,0,0,0,-1,0,0,3,4,5937,3848
Girard Samuel,COL,Player,20:18,0,0,0,0,0,0,0,3,6118,4344
Georgiev Alexander,COL,Goalie,00:00,-,0,0,-,0,0,0,-,482,92
Francouz Pavel,COL,Goalie,60:00,-,0,0,-,2,0,26,-,2460,341
