Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,21:00,0,2,2,-2,0,0,1,2,2121,73
Skinner Jeff,BUF,Player,14:59,0,0,0,-1,0,0,0,1,2848,77
Thompson  Tage,BUF,Player,16:11,1,0,0,0,0,0,4,2,3781,297
Bjork Anders,BUF,Player,11:40,0,0,0,-2,0,0,1,1,2164,356
Olofsson Victor,BUF,Player,15:10,0,1,0,1,0,0,0,1,5859,396
Okposo Kyle,BUF,Player,13:14,0,1,0,-2,0,0,1,0,5379,410
Davidson Brandon,BUF,Player,19:26,0,0,0,1,0,0,0,3,1828,591
Cozens Dylan,BUF,Player,15:41,0,0,0,-2,0,0,5,3,6522,2191
Bryson Jacob,BUF,Player,20:17,0,1,0,-3,0,0,1,6,6573,2377
Power Owen,BUF,Player,20:44,0,0,0,0,0,0,0,5,6603,2501
Krebs Peyton,BUF,Player,12:00,0,2,0,1,0,0,2,2,6604,2502
Peterka JJ,BUF,Player,14:06,1,0,0,1,0,0,1,3,6605,2509
Quinn Jack,BUF,Player,15:01,0,0,0,0,0,0,1,3,6606,2510
Mittelstadt Casey,BUF,Player,18:13,2,0,0,-2,0,0,7,1,5502,2747
Girgensons Zemgus,BUF,Player,11:38,1,0,0,0,0,0,2,1,2830,2987
Lyubushkin Ilya,BUF,Player,19:53,0,1,0,-2,0,0,0,1,3772,3452
Tuch Alex,BUF,Player,16:49,0,0,0,1,0,0,4,1,6176,4434
Butcher Will,BUF,Player,18:59,0,0,0,1,0,0,0,0,6187,4532
Anderson Craig,BUF,Goalie,60:00,-,0,0,-,7,0,35,-,234,265
Subban Malcolm,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,2505,1139
Johnston Wyatt,DAL,Player,13:37,0,1,0,-1,0,0,3,4,6609,195
Benn Jamie,DAL,Player,18:51,1,2,0,3,0,0,3,1,3078,215
Suter Ryan,DAL,Player,18:25,0,0,0,-1,0,0,0,3,3444,362
Heiskanen Miro,DAL,Player,23:12,0,2,0,3,0,0,0,5,825,505
Seguin Tyler,DAL,Player,16:34,0,2,0,-1,0,0,2,1,3529,541
Pavelski Joe,DAL,Player,17:50,0,2,0,3,0,0,1,2,1826,546
Guryanov Denis,DAL,Player,08:50,0,0,0,-2,0,0,2,0,2137,600
Caamano Nicholas,DAL,Player,13:38,1,0,0,0,0,0,1,3,1383,691
Robertson Jason,DAL,Player,17:31,1,0,0,2,0,0,3,1,6511,1107
Kiviranta Joel,DAL,Player,12:24,0,0,0,0,0,0,4,2,1746,1247
Hakanpaa Jani,DAL,Player,24:59,0,1,0,2,0,0,1,7,3629,1606
Hintz Roope,DAL,Player,17:13,2,0,0,-1,0,0,4,0,4787,1720
Faksa Radek,DAL,Player,14:43,1,0,0,1,0,0,4,3,1664,2024
Dellandrea Ty,DAL,Player,11:59,0,0,0,1,0,0,2,2,5062,2211
Lundkvist Nils,DAL,Player,19:33,0,0,0,1,0,0,0,9,6586,2420
Marchment Mason,DAL,Player,16:50,1,0,0,1,0,0,5,0,1942,2629
Hanley Joel,DAL,Player,16:54,0,0,0,-2,0,0,0,0,5563,2691
Lindell Esa,DAL,Player,16:57,0,1,0,1,0,0,0,4,1621,3674
Oettinger Jake,DAL,Goalie,60:00,-,0,0,-,5,0,30,-,4561,2591
Holtby Braden,DAL,Goalie,00:00,-,0,0,-,0,0,0,-,2423,3670
