Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,23:08,0,0,0,-3,0,0,0,3,2121,73
Okposo Kyle,BUF,Player,11:40,2,1,0,1,0,0,3,3,5379,410
Batherson Drake,BUF,Player,19:02,0,0,0,-3,0,0,2,3,6270,452
Stepan Derek,BUF,Player,20:31,0,0,0,1,0,0,1,3,2759,482
Rust Bryan,BUF,Player,20:44,0,0,0,-2,0,0,1,1,431,1005
Vilardi Gabriel,BUF,Player,08:30,0,0,0,0,0,0,0,3,1169,1012
Dach Kirby,BUF,Player,09:06,0,0,0,0,0,0,0,0,3937,1163
Jokiharju Henri,BUF,Player,20:34,0,0,0,1,0,0,0,2,4819,1246
Cozens Dylan,BUF,Player,22:06,0,0,0,-2,0,0,3,5,6522,2191
Byfield Quinton,BUF,Player,09:19,0,0,0,0,0,0,0,2,6582,2406
Power Owen,BUF,Player,21:07,0,0,0,-3,0,0,0,2,6603,2501
Krebs Peyton,BUF,Player,15:44,1,0,0,1,0,0,4,2,6604,2502
Quinn Jack,BUF,Player,13:20,1,1,0,1,0,0,2,1,6606,2510
Samuelsson Mattias,BUF,Player,23:04,0,1,0,1,0,0,0,2,1753,2527
Mittelstadt Casey,BUF,Player,18:25,0,3,0,0,0,0,1,3,5502,2747
Lyubushkin Ilya,BUF,Player,22:51,1,0,0,1,0,1,2,4,3772,3452
Armia Joel,BUF,Player,15:51,0,1,0,0,0,0,4,1,504,3468
Bitetto Anthony,BUF,Player,18:59,0,1,2,1,0,0,0,3,2205,4000
Anderson Craig,BUF,Goalie,64:45,-,0,0,-,6,0,30,-,234,265
Subban Malcolm,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,2505,1139
Gallagher Brendan,MTL,Player,15:07,0,0,0,1,0,0,3,0,2699,308
Drouin Jonathan,MTL,Player,11:41,0,0,0,-1,0,0,1,2,2499,346
Anderson Josh,MTL,Player,16:08,0,1,0,1,0,0,1,1,4955,381
Olofsson Victor,MTL,Player,20:19,1,0,0,2,0,0,2,2,5859,396
Guhle Kaiden,MTL,Player,18:23,0,0,0,-1,0,0,0,2,6615,405
Slafkovsky Juraj,MTL,Player,20:04,2,1,0,2,0,0,2,0,6616,466
Dadonov Evgeny,MTL,Player,13:47,1,0,0,-1,0,0,6,1,4051,640
Savard David,MTL,Player,23:40,0,0,0,1,0,0,0,3,4423,707
Matheson Michael,MTL,Player,25:51,0,1,0,1,0,0,0,1,6057,846
Caufield Cole,MTL,Player,11:41,0,0,0,-1,0,0,2,0,6558,1110
Monahan Sean,MTL,Player,19:13,1,2,0,2,0,0,4,2,5281,1397
Edmundson Joel,MTL,Player,21:24,0,1,0,1,0,0,0,1,4557,1904
Dvorak Christian,MTL,Player,14:34,0,0,0,-1,0,0,1,2,6034,2057
Sturm Nico,MTL,Player,11:41,0,0,0,-1,0,0,3,1,3343,2110
Larkin Dylan,MTL,Player,19:17,1,0,0,1,0,0,4,1,5774,3165
Hoffman Mike,MTL,Player,15:58,0,1,0,-2,0,0,1,0,2611,3520
Wideman Chris,MTL,Player,26:02,0,1,0,1,0,0,0,2,4184,4009
Bowey Madison,MTL,Player,14:10,0,0,0,-1,0,0,0,0,6201,4553
Price Carey,MTL,Goalie,64:45,-,2,0,-,5,0,23,-,5153,344
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824,1084
