Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,22:28,0,0,0,0,0,0,0,4,2121,73
Skinner Jeff,BUF,Player,15:38,0,0,0,0,0,0,0,1,2848,77
Thompson  Tage,BUF,Player,16:02,0,0,0,0,0,0,0,1,3781,297
Bjork Anders,BUF,Player,15:52,0,0,0,-1,0,0,1,2,2164,356
Olofsson Victor,BUF,Player,13:23,0,0,0,0,0,0,0,3,5859,396
Okposo Kyle,BUF,Player,13:53,0,0,0,0,0,0,2,1,5379,410
Davidson Brandon,BUF,Player,20:34,0,0,0,-1,0,0,0,2,1828,591
Cozens Dylan,BUF,Player,15:55,0,0,0,0,0,0,0,3,6522,2191
Bryson Jacob,BUF,Player,14:53,0,0,0,0,0,0,0,4,6573,2377
Power Owen,BUF,Player,23:45,0,0,0,0,0,0,2,4,6603,2501
Krebs Peyton,BUF,Player,15:00,0,0,0,0,0,0,0,1,6604,2502
Peterka JJ,BUF,Player,13:39,0,0,0,0,0,0,1,3,6605,2509
Quinn Jack,BUF,Player,15:06,0,0,0,-1,0,0,2,3,6606,2510
Mittelstadt Casey,BUF,Player,15:26,0,0,0,-1,0,0,0,2,5502,2747
Girgensons Zemgus,BUF,Player,14:59,0,0,0,0,0,0,1,1,2830,2987
Lyubushkin Ilya,BUF,Player,16:58,0,0,0,0,0,0,0,2,3772,3452
Tuch Alex,BUF,Player,15:07,0,0,0,0,0,0,1,0,6176,4434
Butcher Will,BUF,Player,21:22,0,0,0,-1,0,0,1,2,6187,4532
Anderson Craig,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,234,265
Subban Malcolm,BUF,Goalie,60:00,-,0,0,-,1,0,17,-,2505,1139
Barzal Mathew,NYI,Player,15:58,0,0,0,0,0,0,2,1,6065,296
Parise Zach,NYI,Player,17:58,0,0,0,0,0,0,2,3,3395,387
Palmieri Kyle,NYI,Player,19:08,0,0,0,0,0,0,1,3,4569,498
Dobson Noah,NYI,Player,19:39,0,0,0,0,0,0,0,3,2160,667
Martin Matt,NYI,Player,10:09,0,0,0,0,0,0,2,1,5357,850
Mayfield Scott,NYI,Player,22:11,0,0,0,1,0,0,0,2,6058,1148
Cizikas Casey,NYI,Player,10:29,0,0,0,0,0,0,1,0,3210,1532
Romanov Alexander,NYI,Player,16:29,0,0,0,0,0,0,0,4,5790,1579
Bailey Josh,NYI,Player,14:50,0,0,0,0,0,0,0,2,3269,1649
Nelson Brock,NYI,Player,16:58,0,0,0,0,0,0,0,0,3021,1736
Pageau Jean-Gabriel,NYI,Player,16:35,0,1,0,1,0,0,2,3,4952,1808
Lee Anders,NYI,Player,15:51,0,0,0,0,0,0,0,0,2493,1895
Beauvillier Anthony,NYI,Player,16:02,1,0,0,1,0,0,5,2,6066,2074
Hickey Thomas,NYI,Player,24:20,0,0,0,1,0,0,0,2,4517,2097
Wahlstrom Oliver,NYI,Player,16:19,0,1,0,1,0,0,1,0,5065,2234
Pelech Adam,NYI,Player,19:11,0,0,0,0,0,0,0,6,5645,4007
Pulock Ryan,NYI,Player,18:10,0,0,0,0,0,0,0,0,2748,4152
Clutterbuck Cal,NYI,Player,09:43,0,0,0,0,0,0,1,0,5214,4277
Sorokin Ilya,NYI,Goalie,60:00,-,0,0,-,0,0,11,-,5141,2065
Varlamov Semyon,NYI,Goalie,00:00,-,0,0,-,0,0,0,-,4806,3344
