Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,23:29,0,0,2,-2,0,0,2,4,2121,73
Skinner Jeff,BUF,Player,12:28,0,1,0,-1,0,0,3,1,2848,77
Thompson  Tage,BUF,Player,11:27,1,0,0,-1,1,0,1,1,3781,297
Bjork Anders,BUF,Player,11:06,0,0,0,0,0,0,2,0,2164,356
Okposo Kyle,BUF,Player,13:00,0,1,0,0,0,0,0,1,5379,410
Davidson Brandon,BUF,Player,22:40,0,0,0,-1,0,0,0,7,1828,591
Jokiharju Henri,BUF,Player,20:10,0,0,0,-2,0,0,1,5,4819,1246
Cozens Dylan,BUF,Player,17:49,1,2,0,0,0,0,6,3,6522,2191
Power Owen,BUF,Player,23:08,0,0,0,-2,0,0,0,7,6603,2501
Krebs Peyton,BUF,Player,16:26,0,0,0,-1,0,0,3,2,6604,2502
Quinn Jack,BUF,Player,14:52,1,0,0,1,0,0,3,0,6606,2510
Samuelsson Mattias,BUF,Player,20:51,0,2,0,3,0,0,5,4,1753,2527
Mittelstadt Casey,BUF,Player,18:20,0,1,0,-1,0,0,6,3,5502,2747
Girgensons Zemgus,BUF,Player,20:33,0,0,2,-1,0,0,2,1,2830,2987
Hayden John,BUF,Player,16:50,2,0,0,1,0,1,5,3,6132,3089
Lyubushkin Ilya,BUF,Player,18:00,0,0,0,2,0,0,1,5,3772,3452
Malone Sean,BUF,Player,11:34,0,1,0,1,0,0,3,0,6145,4371
Tuch Alex,BUF,Player,16:44,0,0,0,-2,0,0,3,2,6176,4434
Anderson Craig,BUF,Goalie,00:00,-,0,0,-,0,0,0,-,234,265
Comrie Eric,BUF,Goalie,64:09,-,0,0,-,6,0,36,-,479,1230
Carter Jeff,PIT,Player,16:36,0,1,0,-1,0,0,3,0,3297,474
Letang Kris,PIT,Player,31:56,0,1,0,0,0,0,2,1,1716,501
Malkin Evgeni,PIT,Player,24:42,1,1,0,0,0,0,4,0,1703,502
Crosby Sidney,PIT,Player,18:54,1,1,0,0,0,0,3,0,3308,518
Rakell Rickard,PIT,Player,13:56,0,0,0,-1,0,0,2,1,1276,526
Joseph Pierre-Olivier,PIT,Player,15:51,1,1,0,2,1,0,2,0,6623,678
Caggiula Drake,PIT,Player,11:24,1,0,0,1,0,0,2,0,6074,704
Dumoulin Brian,PIT,Player,17:55,0,1,0,0,0,0,1,1,2750,749
Rust Bryan,PIT,Player,13:39,0,1,0,-1,0,0,1,0,431,1005
Heinen Danton,PIT,Player,15:32,1,0,0,2,0,0,3,0,6080,1100
Petry Jeff,PIT,Player,32:09,0,0,0,1,0,0,0,0,1116,1433
Pettersson Marcus,PIT,Player,16:56,0,0,0,-1,0,0,1,0,3150,1594
Ruhwedel Chad,PIT,Player,13:31,0,0,0,0,0,0,0,0,3964,2182
Zucker Jason,PIT,Player,16:25,1,1,0,1,0,0,5,1,2630,3042
Boyle Brian,PIT,Player,13:01,0,0,0,1,0,0,1,0,3830,4222
Guentzel Jake,PIT,Player,20:11,0,1,0,0,0,0,4,1,6111,4331
Kapanen Kasperi,PIT,Player,13:03,0,0,0,1,0,0,2,0,991,4360
Blugers Teodors,PIT,Player,10:46,0,0,0,0,0,0,0,0,341,4454
Jarry Tristan,PIT,Goalie,64:09,-,0,2,-,5,0,46,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
