Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Dahlin Rasmus,BUF,Player,19:24,0,0,0,-1,0,0,2,5,2121,73
Okposo Kyle,BUF,Player,13:12,0,1,0,-1,0,0,1,3,5379,410
Batherson Drake,BUF,Player,16:31,0,1,0,-2,0,0,0,4,6270,452
Rust Bryan,BUF,Player,17:31,0,0,0,-3,0,0,2,1,431,1005
Vilardi Gabriel,BUF,Player,12:30,0,1,0,1,0,0,0,2,1169,1012
Dach Kirby,BUF,Player,13:15,0,0,0,1,0,0,3,1,3937,1163
Jokiharju Henri,BUF,Player,18:26,0,0,0,-2,0,0,1,3,4819,1246
Cozens Dylan,BUF,Player,17:16,1,0,0,-3,0,0,2,0,6522,2191
Byfield Quinton,BUF,Player,12:50,1,0,0,1,0,0,2,4,6582,2406
Power Owen,BUF,Player,22:10,0,1,0,-2,0,0,1,4,6603,2501
Krebs Peyton,BUF,Player,18:15,0,0,0,-3,0,0,1,1,6604,2502
Quinn Jack,BUF,Player,12:01,0,0,0,0,0,0,1,0,6606,2510
Samuelsson Mattias,BUF,Player,19:51,0,1,0,-1,0,0,0,1,1753,2527
Mittelstadt Casey,BUF,Player,11:59,1,0,0,0,0,0,6,0,5502,2747
Girgensons Zemgus,BUF,Player,17:13,0,0,0,-3,0,0,3,2,2830,2987
Lyubushkin Ilya,BUF,Player,21:14,0,0,0,-2,0,0,0,4,3772,3452
Armia Joel,BUF,Player,17:27,0,0,0,-3,0,0,2,0,504,3468
Bitetto Anthony,BUF,Player,18:55,0,0,0,-2,0,0,1,3,2205,4000
Subban Malcolm,BUF,Goalie,18:53,-,0,0,-,5,0,11,-,2505,1139
Comrie Eric,BUF,Goalie,41:07,-,0,0,-,3,0,11,-,479,1230
Nyquist Gustav,STL,Player,16:11,1,1,0,2,0,0,2,2,3158,16
Leddy Nick,STL,Player,17:47,0,0,0,2,0,0,0,1,4412,136
Johnson Kent,STL,Player,13:06,0,1,0,1,0,0,1,0,6608,159
Bozak Tyler,STL,Player,14:32,1,0,0,1,0,0,4,1,2255,571
Buchnevich Pavel,STL,Player,11:19,1,0,2,0,0,0,1,3,226,1067
Saad Brandon,STL,Player,17:42,0,3,0,2,0,0,0,1,1737,1234
Thomas Robert,STL,Player,16:20,0,3,0,2,0,0,1,0,3452,1332
Bortuzzo Robert,STL,Player,18:53,0,1,0,2,0,0,0,3,4409,2134
Mikkola Niko,STL,Player,19:10,0,0,0,1,0,0,0,1,1141,2155
Parayko Colton,STL,Player,20:54,0,0,0,2,0,0,0,3,4669,2158
Pitlick Rem,STL,Player,17:07,1,1,0,2,0,0,3,0,6566,2343
Kaliyev Arthur,STL,Player,12:55,0,1,0,1,0,0,1,1,6567,2354
O'Reilly Ryan,STL,Player,17:07,3,0,0,2,0,0,5,2,3062,2382
Krug Torey,STL,Player,21:41,0,1,0,2,0,0,0,5,3615,2521
Faulk Justin,STL,Player,21:35,0,0,0,1,0,0,0,3,3744,3400
Danault Phillip,STL,Player,13:05,0,1,0,0,0,0,1,0,5218,4101
Vrana Jakub,STL,Player,11:32,0,1,0,0,0,0,1,0,6115,4338
Tarasenko Vladimir,STL,Player,17:30,1,1,0,2,0,0,2,3,2695,4349
Binnington Jordan,STL,Goalie,59:38,-,0,0,-,3,0,28,-,6069,450
Greiss Thomas,STL,Goalie,00:00,-,0,0,-,0,0,0,-,740,4177
