Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Stastny Paul,CAR,Player,10:04,0,0,0,-1,0,0,0,0,934,153
Burns Brent,CAR,Player,28:11,0,0,0,0,0,0,0,13,410,309
Wheeler Blake,CAR,Player,22:30,0,1,0,2,0,0,5,5,206,404
Carter Jeff,CAR,Player,21:17,0,1,0,1,0,0,8,3,3297,474
Staal Jordan,CAR,Player,13:24,0,1,0,-1,0,0,4,2,1628,500
Pavelski Joe,CAR,Player,14:31,1,0,0,-1,0,0,5,2,1826,546
Gardiner Jake,CAR,Player,14:27,0,0,0,-1,0,0,0,5,5230,595
Sedin Daniel,CAR,Player,10:38,0,0,0,-1,0,0,0,0,1794,627
Pesce Brett,CAR,Player,15:29,0,0,0,-1,0,0,0,4,4415,906
de Haan Calvin,CAR,Player,21:56,0,0,0,-1,0,0,0,11,4595,1754
Schmidt Nate,CAR,Player,22:35,0,1,0,0,0,0,0,2,4431,2129
Jarvis Seth,CAR,Player,13:10,0,0,0,-2,0,0,1,6,6574,2381
Peterka JJ,CAR,Player,11:49,0,0,0,-2,0,0,1,4,6605,2509
Bonino Nick,CAR,Player,14:20,1,0,0,-1,0,0,3,2,563,2862
Teravainen Teuvo,CAR,Player,15:44,0,1,0,-1,0,0,2,1,1779,2963
Fast Jesper,CAR,Player,10:44,0,0,0,-1,0,0,3,1,286,3542
Svechnikov Andrei,CAR,Player,21:49,1,0,0,2,0,0,4,3,5058,3885
Slavin Jaccob,CAR,Player,17:22,0,0,0,-1,0,0,0,5,4920,4060
Kochetkov Petr,CAR,Goalie,28:08,-,0,0,-,4,0,11,-,3164,511
Raanta Antti,CAR,Goalie,31:52,-,0,0,-,1,0,9,-,2608,2912
Lucic Milan,CGY,Player,16:13,1,1,0,1,0,0,2,0,5171,65
Dube Dillon,CGY,Player,12:11,0,2,0,2,0,0,0,0,3116,98
Huberdeau Jonathan,CGY,Player,09:08,0,0,0,-1,0,0,2,0,4399,164
Ruzicka Adam,CGY,Player,14:31,1,0,0,1,0,0,1,0,6380,539
Mangiapane Andrew,CGY,Player,09:54,0,0,0,-2,0,0,0,1,1301,560
Kadri Nazem,CGY,Player,14:50,0,0,0,-1,0,0,1,0,3056,593
Gilbert Dennis,CGY,Player,18:13,0,1,0,0,0,0,0,1,3353,680
Rooney Kevin,CGY,Player,11:01,1,1,0,2,0,0,3,0,1910,799
Lewis Trevor,CGY,Player,18:13,0,1,0,0,0,0,0,0,3831,1004
Hanifin Noah,CGY,Player,19:29,0,0,2,1,0,0,0,3,5071,1066
Weegar MacKenzie,CGY,Player,25:52,0,0,0,1,0,0,0,3,2107,1087
Zadorov Nikita,CGY,Player,22:26,0,0,0,0,0,0,0,0,1178,2230
Coleman Blake,CGY,Player,22:08,1,0,0,2,0,0,3,0,824,2283
Toffoli Tyler,CGY,Player,15:47,1,0,0,0,0,0,4,2,3234,2434
Backlund Mikael,CGY,Player,14:16,0,0,0,1,0,0,3,0,5650,3411
Lindholm Elias,CGY,Player,16:23,0,1,0,1,0,0,1,1,2436,3465
Tanev Chris,CGY,Player,19:21,0,0,0,2,0,0,0,0,2864,3673
Andersson Rasmus,CGY,Player,15:03,0,0,0,0,0,0,0,2,6193,4543
Markstrom Jacob,CGY,Goalie,60:00,-,0,0,-,3,0,36,-,5793,1394
Vladar Daniel,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,1773,2606
