Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,CAR,Player,20:32,0,0,0,-1,0,0,2,1,762,42
Stastny Paul,CAR,Player,10:52,1,0,0,-1,0,0,4,4,934,153
Burns Brent,CAR,Player,20:58,0,0,0,-2,0,0,0,4,410,309
Necas Martin,CAR,Player,13:43,0,1,0,-1,0,0,1,1,751,377
Stepan Derek,CAR,Player,13:34,0,0,0,-1,0,0,2,0,2759,482
Staal Jordan,CAR,Player,19:34,0,1,0,0,0,0,2,3,1628,500
Gardiner Jake,CAR,Player,15:22,0,1,0,1,0,0,0,3,5230,595
Pesce Brett,CAR,Player,27:10,0,0,2,-2,0,0,0,5,4415,906
Skeji Brady,CAR,Player,23:40,0,0,0,-1,0,0,0,7,1132,1228
de Haan Calvin,CAR,Player,20:38,0,0,0,0,0,0,0,5,4595,1754
Aho Sebastian,CAR,Player,12:36,0,0,0,0,0,0,3,1,4038,1908
Jarvis Seth,CAR,Player,12:11,2,0,0,1,0,0,3,3,6574,2381
Teravainen Teuvo,CAR,Player,12:02,0,1,0,-1,0,0,2,2,1779,2963
Fast Jesper,CAR,Player,13:29,0,2,0,1,0,0,3,2,286,3542
Kotkaniemi Jesperi,CAR,Player,16:58,0,0,0,-1,0,0,3,2,5051,3878
Svechnikov Andrei,CAR,Player,13:47,0,0,0,0,0,0,3,2,5058,3885
Slavin Jaccob,CAR,Player,14:29,0,0,0,-1,0,0,0,0,4920,4060
Dzingel Ryan,CAR,Player,13:23,0,0,0,-1,0,0,1,1,2917,4121
Andersen Frederik,CAR,Goalie,60:00,-,0,0,-,5,0,28,-,1149,664
Raanta Antti,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,2608,2912
Kane Patrick,CHI,Player,17:11,0,0,0,-2,0,0,4,0,5160,151
Toews Jonathan,CHI,Player,17:05,0,0,0,-2,0,0,1,2,5161,152
Johnson Jack,CHI,Player,17:39,0,0,0,1,0,0,0,6,1232,285
Jones Seth,CHI,Player,15:22,0,0,0,-1,0,0,0,2,4044,424
Kurashev Philipp,CHI,Player,17:02,0,1,0,1,0,0,7,2,1698,542
Connolly Brett,CHI,Player,12:07,0,1,0,1,0,0,0,0,2688,584
Jones Caleb,CHI,Player,26:59,0,0,0,2,0,0,0,5,2949,712
Murphy Connor,CHI,Player,20:36,0,0,0,-2,0,0,0,4,289,1842
Johnson Tyler,CHI,Player,14:00,0,2,0,2,0,0,4,2,892,2411
Tinordi Jarred,CHI,Player,17:34,0,1,0,1,0,0,0,3,2087,2435
Katchouk Boris,CHI,Player,18:04,1,1,0,1,0,0,2,2,6594,2457
Raddysh Taylor,CHI,Player,13:40,0,1,0,2,0,0,1,1,6595,2458
Blackwell Colin,CHI,Player,17:55,1,1,0,1,0,0,2,2,3751,2663
McCabe Jake,CHI,Player,21:50,0,0,0,3,0,0,0,2,5306,3478
Domi Max,CHI,Player,17:23,0,0,0,-1,0,0,2,3,2552,4013
Khaira Jujhar,CHI,Player,11:00,1,0,0,1,0,0,1,0,4766,4033
Athanasiou Andreas,CHI,Player,13:46,2,0,0,1,0,0,3,1,5664,4103
Dickinson Jason,CHI,Player,10:47,0,0,0,1,0,0,1,0,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,3,0,29,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
