Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,CAR,Player,17:49,0,0,0,0,0,0,4,2,762,42
Stastny Paul,CAR,Player,14:44,0,0,0,1,0,0,2,1,934,153
Burns Brent,CAR,Player,19:32,0,0,0,-3,0,0,0,2,410,309
Necas Martin,CAR,Player,16:14,0,1,0,1,0,0,3,3,751,377
Martinook Jordan,CAR,Player,11:55,0,0,0,-2,0,0,2,0,219,485
Staal Jordan,CAR,Player,15:24,0,0,0,0,0,0,8,1,1628,500
Gardiner Jake,CAR,Player,20:59,0,0,2,0,0,0,1,6,5230,595
Pesce Brett,CAR,Player,21:58,0,1,0,2,0,0,0,5,4415,906
Skeji Brady,CAR,Player,20:11,0,3,0,2,0,0,0,5,1132,1228
de Haan Calvin,CAR,Player,18:42,0,1,0,-3,0,0,0,2,4595,1754
Aho Sebastian,CAR,Player,16:25,0,1,0,0,0,0,1,1,4038,1908
Jarvis Seth,CAR,Player,12:54,1,0,0,2,0,0,4,3,6574,2381
Teravainen Teuvo,CAR,Player,15:56,2,0,0,1,0,0,4,1,1779,2963
Noesen Stefan,CAR,Player,11:46,1,0,0,-4,0,0,5,1,4661,3499
Fast Jesper,CAR,Player,11:47,0,1,0,1,0,0,1,1,286,3542
Kotkaniemi Jesperi,CAR,Player,12:42,0,1,0,-2,0,0,2,1,5051,3878
Svechnikov Andrei,CAR,Player,18:43,2,0,0,1,0,1,9,2,5058,3885
Slavin Jaccob,CAR,Player,18:38,0,0,0,2,0,0,0,4,4920,4060
Andersen Frederik,CAR,Goalie,60:00,-,0,0,-,7,0,11,-,1149,664
Raanta Antti,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,2608,2912
Iafallo Alex,LA,Player,13:17,0,1,0,0,0,0,0,2,6121,58
Durzi Sean,LA,Player,18:21,0,1,0,-1,0,0,0,5,6611,82
Doughty Drew,LA,Player,21:23,1,0,0,2,0,0,1,4,216,294
Kopitar Anze,LA,Player,20:56,0,1,0,0,0,0,1,4,2287,298
Lemieux Brendan,LA,Player,13:30,1,1,0,3,0,0,1,0,1391,443
Edler Alexander,LA,Player,20:10,0,0,0,1,0,0,0,1,3842,611
Roy Matt,LA,Player,19:43,0,0,0,-1,0,0,0,2,4118,728
Moore Trevor,LA,Player,17:32,1,1,2,-1,0,0,1,1,3034,732
Fiala Kevin,LA,Player,17:59,3,0,0,1,1,0,5,1,2511,803
Lizotte Blake,LA,Player,09:28,0,3,0,2,0,0,1,0,1333,1149
Anderson Mikey,LA,Player,21:40,0,0,0,-1,0,0,0,6,6513,1866
Kempe Adrian,LA,Player,19:28,0,2,0,0,0,0,0,0,6129,2020
Bjornfot Tobias,LA,Player,18:43,0,0,0,0,0,0,0,5,6530,2222
Kaliyev Arthur,LA,Player,11:53,0,0,0,0,0,0,0,1,6567,2354
Kupari Rasmus,LA,Player,13:49,1,0,0,0,0,0,1,3,6581,2405
Byfield Quinton,LA,Player,07:36,0,1,0,0,0,0,0,0,6582,2406
Arvidsson Viktor,LA,Player,13:42,0,0,0,-3,0,0,0,1,4310,4040
Danault Phillip,LA,Player,15:50,0,0,0,-2,0,0,0,2,5218,4101
Petersen Cal,LA,Goalie,60:00,-,1,0,-,6,0,46,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
