Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,CAR,Player,21:24,1,2,0,3,0,0,6,0,762,42
Stastny Paul,CAR,Player,15:39,0,1,0,0,0,0,6,2,934,153
Burns Brent,CAR,Player,22:51,0,1,0,4,0,0,1,2,410,309
Necas Martin,CAR,Player,16:58,0,1,0,0,0,0,4,5,751,377
Martinook Jordan,CAR,Player,15:22,2,0,0,1,0,0,8,2,219,485
Staal Jordan,CAR,Player,14:17,1,1,0,3,0,0,6,0,1628,500
Gardiner Jake,CAR,Player,17:44,0,1,0,0,0,0,0,3,5230,595
Pesce Brett,CAR,Player,19:26,0,0,0,1,0,0,0,5,4415,906
Skeji Brady,CAR,Player,17:55,0,0,0,2,0,0,1,3,1132,1228
de Haan Calvin,CAR,Player,22:50,0,0,0,4,0,0,0,2,4595,1754
Aho Sebastian,CAR,Player,13:05,1,1,0,2,0,0,2,1,4038,1908
Jarvis Seth,CAR,Player,07:20,0,0,0,2,0,0,0,0,6574,2381
Teravainen Teuvo,CAR,Player,08:33,1,0,0,2,0,0,3,1,1779,2963
Fast Jesper,CAR,Player,14:42,1,0,0,1,0,0,3,2,286,3542
Kotkaniemi Jesperi,CAR,Player,17:37,0,1,0,0,0,0,3,0,5051,3878
Svechnikov Andrei,CAR,Player,15:42,1,2,2,3,0,0,1,6,5058,3885
Slavin Jaccob,CAR,Player,19:14,0,0,0,1,0,0,0,5,4920,4060
Kase Ondrej,CAR,Player,14:18,0,0,0,1,0,0,2,2,6107,4322
Kochetkov Petr,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,3164,511
Andersen Frederik,CAR,Goalie,60:00,-,0,0,-,2,0,24,-,1149,664
Carter Jeff,PIT,Player,14:16,0,0,0,0,0,0,1,1,3297,474
Letang Kris,PIT,Player,18:28,0,0,0,-4,0,0,0,0,1716,501
Malkin Evgeni,PIT,Player,20:18,0,0,0,-3,0,0,2,0,1703,502
Crosby Sidney,PIT,Player,20:16,0,0,0,-3,0,0,4,0,3308,518
Rakell Rickard,PIT,Player,14:41,0,0,0,0,0,0,2,0,1276,526
Joseph Pierre-Olivier,PIT,Player,18:30,0,0,0,-1,0,0,0,0,6623,678
Caggiula Drake,PIT,Player,11:25,1,0,0,-1,0,0,6,0,6074,704
Dumoulin Brian,PIT,Player,23:54,0,0,0,-2,0,0,0,1,2750,749
Rust Bryan,PIT,Player,18:50,0,0,0,-1,0,0,1,0,431,1005
Heinen Danton,PIT,Player,10:05,0,0,0,-1,0,0,2,0,6080,1100
Petry Jeff,PIT,Player,20:27,0,0,0,-4,0,0,0,1,1116,1433
Pettersson Marcus,PIT,Player,24:54,0,0,0,-1,0,0,0,2,3150,1594
Ruhwedel Chad,PIT,Player,13:47,0,1,0,0,0,0,0,1,3964,2182
Zucker Jason,PIT,Player,14:41,0,1,0,-2,0,0,1,0,2630,3042
Boyle Brian,PIT,Player,13:22,1,0,0,-2,0,0,1,0,3830,4222
Guentzel Jake,PIT,Player,19:13,0,0,0,-3,0,0,4,0,6111,4331
Kapanen Kasperi,PIT,Player,11:38,0,0,0,-1,0,0,0,0,991,4360
Blugers Teodors,PIT,Player,11:41,0,1,0,-1,0,0,0,0,341,4454
Jarry Tristan,PIT,Goalie,59:34,-,0,0,-,8,0,46,-,6137,634
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
