Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Pacioretty Max,CAR,Player,12:11,0,1,0,1,0,0,0,4,762,42
Stastny Paul,CAR,Player,06:50,1,0,0,-2,0,0,3,2,934,153
Burns Brent,CAR,Player,11:51,0,0,0,1,0,0,0,3,410,309
Necas Martin,CAR,Player,03:57,0,0,0,0,0,0,0,0,751,377
Stepan Derek,CAR,Player,07:18,0,0,0,-2,0,0,1,2,2759,482
Staal Jordan,CAR,Player,04:59,0,0,0,0,0,0,0,0,1628,500
Gardiner Jake,CAR,Player,08:33,0,0,0,-1,0,0,0,0,5230,595
Pesce Brett,CAR,Player,09:53,0,0,0,-1,0,0,0,3,4415,906
Skeji Brady,CAR,Player,08:41,0,0,0,-4,0,0,0,2,1132,1228
de Haan Calvin,CAR,Player,12:00,0,0,0,1,0,0,0,1,4595,1754
Aho Sebastian,CAR,Player,09:58,0,0,0,0,0,0,1,2,4038,1908
Jarvis Seth,CAR,Player,07:18,0,0,0,-2,0,0,0,3,6574,2381
Teravainen Teuvo,CAR,Player,05:40,0,0,0,-3,0,0,0,1,1779,2963
Fast Jesper,CAR,Player,04:03,0,0,0,-3,0,0,0,1,286,3542
Kotkaniemi Jesperi,CAR,Player,07:18,0,0,0,-2,0,0,0,0,5051,3878
Svechnikov Andrei,CAR,Player,13:47,0,1,0,1,0,0,2,5,5058,3885
Slavin Jaccob,CAR,Player,07:12,0,0,0,-4,0,0,0,3,4920,4060
Dzingel Ryan,CAR,Player,03:56,0,0,0,0,0,0,0,1,2917,4121
Andersen Frederik,CAR,Goalie,29:05,-,0,0,-,5,0,19,-,1149,664
Raanta Antti,CAR,Goalie,00:00,-,0,0,-,0,0,0,-,2608,2912
Hagelin Carl,WSH,Player,05:01,1,0,0,1,0,0,1,0,1650,360
Ovechkin Alexander,WSH,Player,11:22,0,0,0,0,0,0,2,2,3392,650
Backstrom Nicklas,WSH,Player,10:50,0,0,0,0,0,0,1,0,3066,654
Gustafsson Erik,WSH,Player,08:17,0,0,0,2,0,0,0,0,5592,1753
Milano Sonny,WSH,Player,07:55,1,1,0,2,0,0,1,0,5124,1863
Strome Dylan,WSH,Player,05:19,1,0,0,1,0,0,1,0,1508,1925
Wilson Tom,WSH,Player,10:06,0,0,0,0,0,0,2,1,3194,2128
Irwin Matthew,WSH,Player,08:10,0,0,0,2,0,0,0,2,3503,2183
Fehervary Martin,WSH,Player,11:29,0,2,0,2,0,0,0,0,6598,2464
Aube-Kubel Nicolas,WSH,Player,05:11,0,0,0,1,0,0,0,0,3774,2530
Mantha Anthony,WSH,Player,06:03,0,2,0,1,0,0,0,0,5548,2690
Kuznetsov Evgeny,WSH,Player,07:26,0,1,0,2,0,0,1,0,4336,2909
Eller Lars,WSH,Player,05:30,0,1,0,1,0,0,1,1,4321,3035
Carlson John,WSH,Player,09:19,0,0,0,0,0,0,0,2,4455,3124
Oshie T.J.,WSH,Player,07:45,1,1,0,2,0,0,4,0,5408,3212
Orlov Dmitry,WSH,Player,10:34,0,0,0,0,0,0,2,1,1905,3776
Sheary Conor,WSH,Player,04:47,1,0,0,1,0,0,3,0,648,4142
Jensen Nick,WSH,Player,10:21,0,1,0,2,0,0,0,1,4071,4325
Lindgren Charlie,WSH,Goalie,00:00,-,0,0,-,0,0,0,-,6083,236
Kuemper Darcy,WSH,Goalie,29:05,-,0,0,-,1,0,7,-,2785,429
