Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Suzuki Nick,CBJ,Player,15:26,0,2,0,3,0,0,0,3,1922,191
Thompson  Tage,CBJ,Player,16:42,2,1,0,3,0,0,3,0,3781,297
Bean Jake,CBJ,Player,23:58,0,0,0,1,0,0,0,5,5992,493
Kubalik Dominik,CBJ,Player,12:22,0,2,0,1,0,0,0,0,6156,522
Boqvist Adam,CBJ,Player,22:03,0,2,0,2,0,0,0,2,791,662
Robinson Eric,CBJ,Player,08:59,0,1,0,1,0,0,1,1,1254,671
Peeke Andrew,CBJ,Player,16:21,0,0,5,3,0,0,0,2,4119,675
St. Louis Martin,CBJ,Player,13:27,2,0,2,2,0,0,2,1,1881,718
Carlsson Gabriel,CBJ,Player,22:44,0,1,0,1,0,0,0,0,4626,1073
Rantanen Mikko,CBJ,Player,21:58,1,0,0,1,0,0,2,2,5444,1683
Gustafsson Erik,CBJ,Player,12:52,0,0,0,2,0,0,0,2,5592,1753
Jenner Boone,CBJ,Player,12:24,1,0,0,1,0,0,3,1,297,2015
Laine Patrik,CBJ,Player,21:58,0,0,0,1,0,0,1,1,1146,2033
Sillinger Cole,CBJ,Player,11:19,1,0,0,1,0,0,3,0,6569,2370
Bayreuther Gavin,CBJ,Player,22:02,0,3,0,3,0,0,0,0,6577,2390
Kyrou Jordan,CBJ,Player,09:59,1,0,0,1,0,0,6,0,6208,2446
Texier Alexandre,CBJ,Player,09:51,0,2,0,2,0,0,1,0,2813,2742
Giroux Claude,CBJ,Player,23:13,0,0,0,1,0,0,2,0,3923,4237
Korpisalo Joonas,CBJ,Goalie,60:00,-,0,0,-,3,0,21,-,2338,4131
Merzlikins Elvis,CBJ,Goalie,00:00,-,0,0,-,0,0,0,-,5888,4200
Iafallo Alex,PIT,Player,13:59,1,0,0,-2,0,0,2,0,6121,58
Tkachuk Brady,PIT,Player,17:50,0,0,0,0,0,0,1,0,4369,96
Ellis Ryan,PIT,Player,18:55,0,0,5,-3,0,0,0,3,3247,350
Necas Martin,PIT,Player,17:51,0,0,0,0,0,0,2,1,751,377
Letang Kris,PIT,Player,18:34,0,0,0,0,0,0,2,3,1716,501
Rakell Rickard,PIT,Player,11:50,1,0,0,-2,1,0,2,0,1276,526
Backstrom Nicklas,PIT,Player,20:10,0,0,0,0,0,0,2,0,3066,654
Caggiula Drake,PIT,Player,16:21,0,0,0,-2,0,0,4,0,6074,704
Dumoulin Brian,PIT,Player,13:15,0,0,0,-1,0,0,0,0,2750,749
Heinen Danton,PIT,Player,12:38,0,1,0,-2,0,0,0,0,6080,1100
Hughes Quinton,PIT,Player,29:17,0,0,0,-5,0,0,0,2,1188,1210
Pettersson Marcus,PIT,Player,22:31,0,2,0,-3,0,0,1,1,3150,1594
Werenski Zach,PIT,Player,17:28,0,0,0,0,0,0,0,0,6037,2322
Archibald Josh,PIT,Player,15:00,0,0,0,-3,0,0,1,1,6136,3432
Boyle Brian,PIT,Player,14:10,1,1,0,-1,0,0,2,2,3830,4222
Brassard Derrick,PIT,Player,11:21,0,1,0,-2,0,0,0,0,5278,4283
Kapanen Kasperi,PIT,Player,14:31,0,0,0,-1,0,0,2,1,991,4360
Blugers Teodors,PIT,Player,14:36,0,0,0,-3,0,0,0,0,341,4454
Halak Jaroslav,PIT,Goalie,59:43,-,0,0,-,8,0,24,-,1277,326
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
