Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Suzuki Nick,CBJ,Player,17:09,0,1,0,3,0,0,3,1,1922,191
Thompson  Tage,CBJ,Player,20:39,0,0,0,-2,0,0,1,1,3781,297
Bean Jake,CBJ,Player,21:18,0,0,0,-1,0,0,0,2,5992,493
Kubalik Dominik,CBJ,Player,13:48,0,1,0,-1,0,0,0,2,6156,522
Peeke Andrew,CBJ,Player,22:24,0,3,0,1,0,0,0,8,4119,675
St. Louis Martin,CBJ,Player,17:04,0,0,0,3,0,0,2,0,1881,718
Carlsson Gabriel,CBJ,Player,16:26,0,0,0,-1,0,0,0,0,4626,1073
Rantanen Mikko,CBJ,Player,22:07,0,1,0,-1,0,0,7,2,5444,1683
Gustafsson Erik,CBJ,Player,20:15,0,0,0,-2,0,0,0,5,5592,1753
Jenner Boone,CBJ,Player,14:36,1,0,0,-1,0,0,3,0,297,2015
Laine Patrik,CBJ,Player,17:56,4,0,0,3,0,0,8,3,1146,2033
Gudbranson Erik,CBJ,Player,16:18,0,0,0,-1,0,0,0,3,4402,2337
Sillinger Cole,CBJ,Player,06:34,0,0,0,-2,0,0,1,0,6569,2370
Bayreuther Gavin,CBJ,Player,23:19,0,0,0,2,0,0,0,3,6577,2390
Kyrou Jordan,CBJ,Player,14:43,0,1,0,0,0,0,2,1,6208,2446
Texier Alexandre,CBJ,Player,07:01,0,0,0,-2,0,0,0,1,2813,2742
Leivo Josh,CBJ,Player,06:42,0,0,0,-2,0,0,1,0,2541,3307
Giroux Claude,CBJ,Player,21:41,0,1,0,-1,0,0,1,0,3923,4237
Korpisalo Joonas,CBJ,Goalie,00:00,-,0,0,-,0,0,0,-,2338,4131
Merzlikins Elvis,CBJ,Goalie,60:00,-,0,0,-,6,0,13,-,5888,4200
Nylander William,TOR,Player,14:01,0,1,0,0,0,0,0,1,1498,646
Engvall Pierre,TOR,Player,12:38,0,0,0,-2,0,0,0,1,3511,947
Liljegren Timothy,TOR,Player,19:24,0,1,0,2,0,0,0,1,5449,953
Kampf David,TOR,Player,14:54,1,1,0,1,0,0,1,1,6153,1102
Farabee Joel,TOR,Player,16:15,1,0,0,2,0,0,2,2,3331,1157
Muzzin Jake,TOR,Player,14:14,0,0,0,0,0,0,0,1,2862,1186
Brown Patrick,TOR,Player,08:52,0,0,0,-1,0,0,0,2,5121,1856
Rielly Morgan,TOR,Player,27:00,0,0,0,2,0,0,0,6,5557,2086
Toninato Dominic,TOR,Player,14:41,0,0,0,-2,0,0,0,1,1633,2188
Zadina Filip,TOR,Player,07:53,0,0,0,0,0,0,0,0,633,2287
Jarnkrok Calle,TOR,Player,16:04,1,1,0,0,0,0,1,0,459,2396
Brodie T.J.,TOR,Player,19:57,0,0,0,0,0,0,0,0,1063,2864
Giordano Mark,TOR,Player,18:46,0,1,0,-1,0,0,0,0,3327,2964
Tavares John,TOR,Player,14:38,1,0,0,0,0,0,3,0,719,3008
Panarin Artemi,TOR,Player,16:13,0,2,2,1,0,0,0,0,1917,3139
Matthews Auston,TOR,Player,15:47,1,0,0,2,0,0,4,3,3082,3250
Holl Justin,TOR,Player,20:39,0,0,0,-1,0,0,0,3,5988,4271
Kerfoot Alex,TOR,Player,23:05,1,1,0,2,0,0,2,1,6186,4530
Wedgewood Scott,TOR,Goalie,60:00,-,2,0,-,5,0,29,-,4503,93
Samsonov Ilya,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,2218,1291
