Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Lucic Milan,CGY,Player,13:32,0,0,0,-2,0,0,1,1,5171,65
Dube Dillon,CGY,Player,12:44,0,0,0,0,0,0,2,1,3116,98
Huberdeau Jonathan,CGY,Player,18:56,0,0,0,-1,0,0,3,1,4399,164
Ruzicka Adam,CGY,Player,13:10,0,0,0,0,0,0,1,1,6380,539
Mangiapane Andrew,CGY,Player,17:52,0,0,0,-1,0,0,1,2,1301,560
Kadri Nazem,CGY,Player,18:49,0,0,0,-1,0,0,4,3,3056,593
Gilbert Dennis,CGY,Player,17:26,0,0,0,1,0,0,0,5,3353,680
Rooney Kevin,CGY,Player,13:00,0,0,0,0,0,0,1,1,1910,799
Lewis Trevor,CGY,Player,09:26,1,0,0,1,0,0,1,2,3831,1004
Hanifin Noah,CGY,Player,22:15,0,0,0,-1,0,0,0,3,5071,1066
Weegar MacKenzie,CGY,Player,21:56,0,0,0,-2,0,0,0,5,2107,1087
Zadorov Nikita,CGY,Player,21:49,0,0,0,-1,0,0,0,4,1178,2230
Coleman Blake,CGY,Player,13:38,0,0,0,-2,0,0,1,0,824,2283
Toffoli Tyler,CGY,Player,14:27,0,1,0,1,0,0,2,1,3234,2434
Backlund Mikael,CGY,Player,15:24,0,0,0,1,0,0,0,2,5650,3411
Lindholm Elias,CGY,Player,19:03,0,0,0,-2,0,0,2,0,2436,3465
Tanev Chris,CGY,Player,14:33,0,0,0,-2,0,0,0,0,2864,3673
Andersson Rasmus,CGY,Player,22:01,0,0,0,1,0,0,0,2,6193,4543
Markstrom Jacob,CGY,Goalie,59:59,-,0,0,-,3,0,18,-,5793,1394
Vladar Daniel,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,1773,2606
Pacioretty Max,ATL,Player,25:14,0,0,0,1,0,0,4,1,762,42
Ehlers Nikolaj,ATL,Player,13:34,1,0,0,1,0,0,2,0,4141,257
Harkins Jansen,ATL,Player,07:47,1,0,2,1,0,0,2,2,2944,569
Scheifele Mark,ATL,Player,18:36,1,0,0,1,0,0,1,1,5341,581
Lowry Adam,ATL,Player,14:28,0,0,0,1,0,0,1,0,2504,624
Stenlund Kevin,ATL,Player,14:20,0,0,2,-1,0,0,3,1,6164,660
Barron Morgan,ATL,Player,13:18,0,0,0,-1,0,0,0,2,6631,708
Morrissey Josh,ATL,Player,25:43,0,0,0,1,0,0,0,1,6077,878
Skeji Brady,ATL,Player,15:04,0,0,0,1,0,0,0,2,1132,1228
Stanley Logan,ATL,Player,25:13,0,0,0,1,0,0,0,5,6539,2259
Pionk Neal,ATL,Player,22:17,0,1,0,1,0,0,0,3,2102,2267
Veleno Joe,ATL,Player,09:54,0,0,0,1,0,0,0,1,5059,2363
Raymond Lucas,ATL,Player,13:43,0,1,0,1,0,0,1,0,6568,2364
Pysyk Mark,ATL,Player,15:55,0,0,0,0,0,0,0,1,4406,2433
Perfetti Cole,ATL,Player,13:38,0,0,0,1,0,0,1,0,6602,2495
Pettersson Elias,ATL,Player,13:57,0,1,0,1,0,0,1,0,6254,2525
Beaulieu Nathan,ATL,Player,15:48,0,0,0,0,0,0,0,4,4220,3179
Appleton Mason,ATL,Player,11:35,0,0,0,-1,0,0,2,1,6204,4560
Hellebuyck Connor,ATL,Goalie,60:00,-,1,0,-,1,0,19,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
