Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Lucic Milan,CGY,Player,14:59,0,0,0,-2,0,0,3,1,5171,65
Dube Dillon,CGY,Player,12:09,2,1,0,0,0,0,5,1,3116,98
Huberdeau Jonathan,CGY,Player,18:19,1,0,0,-1,0,0,5,0,4399,164
Ruzicka Adam,CGY,Player,12:53,1,1,0,1,0,0,4,1,6380,539
Mangiapane Andrew,CGY,Player,19:49,0,1,0,-1,0,0,1,0,1301,560
Kadri Nazem,CGY,Player,20:05,0,0,0,-1,0,0,2,0,3056,593
Kylington Oliver,CGY,Player,18:05,0,1,0,-1,0,0,0,3,4163,676
Rooney Kevin,CGY,Player,13:18,0,0,0,0,0,0,2,2,1910,799
Hanifin Noah,CGY,Player,19:11,0,0,0,0,0,0,1,2,5071,1066
Weegar MacKenzie,CGY,Player,23:02,0,0,0,-2,0,0,0,0,2107,1087
Welinski Andrew,CGY,Player,13:24,0,2,0,0,0,0,1,2,1632,1616
Zadorov Nikita,CGY,Player,23:58,0,1,0,-1,0,0,0,1,1178,2230
Coleman Blake,CGY,Player,15:37,0,0,0,-2,0,0,2,0,824,2283
Toffoli Tyler,CGY,Player,12:25,0,0,0,0,0,0,1,0,3234,2434
Backlund Mikael,CGY,Player,11:45,0,0,0,-1,0,0,1,0,5650,3411
Lindholm Elias,CGY,Player,15:17,0,0,0,-2,0,0,2,0,2436,3465
Tanev Chris,CGY,Player,17:57,0,0,0,-1,0,0,0,1,2864,3673
Andersson Rasmus,CGY,Player,17:47,0,0,0,-1,0,0,0,1,6193,4543
Markstrom Jacob,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,5793,1394
Vladar Daniel,CGY,Goalie,60:00,-,1,0,-,7,0,27,-,1773,2606
Iafallo Alex,LA,Player,14:54,1,0,0,2,0,0,3,2,6121,58
Durzi Sean,LA,Player,24:56,0,2,0,2,0,0,0,9,6611,82
Doughty Drew,LA,Player,19:23,0,0,0,1,0,0,0,6,216,294
Kopitar Anze,LA,Player,18:35,1,1,0,0,0,0,5,2,2287,298
Lemieux Brendan,LA,Player,10:34,0,1,0,0,0,0,1,1,1391,443
Edler Alexander,LA,Player,20:00,0,2,0,0,0,0,0,5,3842,611
Roy Matt,LA,Player,15:41,0,0,0,0,0,0,0,2,4118,728
Moore Trevor,LA,Player,13:55,1,0,0,1,0,0,2,1,3034,732
Fiala Kevin,LA,Player,18:58,2,1,0,1,0,0,4,2,2511,803
Walker Sean,LA,Player,22:19,0,0,0,2,0,0,0,8,1697,1140
Lizotte Blake,LA,Player,10:25,0,0,0,0,0,0,3,1,1333,1149
Anderson Mikey,LA,Player,17:41,0,1,0,1,0,0,0,6,6513,1866
Kempe Adrian,LA,Player,18:22,0,1,0,0,0,0,1,2,6129,2020
Kaliyev Arthur,LA,Player,18:01,0,1,0,1,0,0,1,5,6567,2354
Kupari Rasmus,LA,Player,12:38,0,2,0,2,0,0,1,2,6581,2405
Byfield Quinton,LA,Player,09:06,1,0,0,0,0,0,3,2,6582,2406
Arvidsson Viktor,LA,Player,16:10,1,0,0,1,0,0,1,2,4310,4040
Danault Phillip,LA,Player,18:24,0,0,0,1,0,0,2,4,5218,4101
Petersen Cal,LA,Goalie,59:58,-,0,0,-,4,0,30,-,2411,621
Copley Pheonix,LA,Goalie,00:00,-,0,0,-,0,0,0,-,5616,2479
