Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Lucic Milan,CGY,Player,18:04,1,0,0,2,0,0,2,0,5171,65
Dube Dillon,CGY,Player,06:51,1,0,0,1,0,0,1,0,3116,98
Huberdeau Jonathan,CGY,Player,13:55,0,0,0,-1,0,0,2,0,4399,164
Ruzicka Adam,CGY,Player,07:25,0,0,0,1,0,0,0,0,6380,539
Mangiapane Andrew,CGY,Player,15:01,0,2,0,0,0,0,0,0,1301,560
Kadri Nazem,CGY,Player,16:22,1,0,0,-1,0,0,3,0,3056,593
Gilbert Dennis,CGY,Player,17:41,0,0,0,2,0,0,0,2,3353,680
Rooney Kevin,CGY,Player,07:30,1,0,0,1,0,0,2,0,1910,799
Lewis Trevor,CGY,Player,16:46,0,0,0,0,0,0,0,1,3831,1004
Hanifin Noah,CGY,Player,17:38,0,0,0,-1,0,0,1,2,5071,1066
Weegar MacKenzie,CGY,Player,25:34,1,1,0,2,0,0,1,3,2107,1087
Zadorov Nikita,CGY,Player,21:30,0,2,0,0,0,0,0,0,1178,2230
Coleman Blake,CGY,Player,16:41,0,1,0,0,0,0,4,0,824,2283
Toffoli Tyler,CGY,Player,22:25,1,1,0,2,1,0,3,2,3234,2434
Backlund Mikael,CGY,Player,20:51,0,0,0,1,0,0,0,0,5650,3411
Lindholm Elias,CGY,Player,17:55,1,0,2,-1,0,0,2,0,2436,3465
Tanev Chris,CGY,Player,18:13,0,1,0,0,0,0,0,1,2864,3673
Andersson Rasmus,CGY,Player,19:24,0,0,0,-1,0,0,0,1,6193,4543
Markstrom Jacob,CGY,Goalie,60:00,-,1,0,-,3,0,24,-,5793,1394
Vladar Daniel,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,1773,2606
Boyd Travis,PHX,Player,18:40,0,1,0,0,0,0,0,2,2792,141
Ladd Andrew,PHX,Player,07:42,0,0,0,-1,0,0,2,0,3368,146
Chychrun Jakob,PHX,Player,20:59,0,0,0,1,0,0,0,2,6064,187
Maccelli Matias,PHX,Player,12:40,0,0,0,-1,0,0,1,0,6622,202
Valimaki Juuso,PHX,Player,24:58,0,1,0,1,0,0,0,6,6503,395
Moser JJ,PHX,Player,20:21,0,0,0,-1,0,0,0,3,6620,561
Crouse Lawson,PHX,Player,18:20,1,0,2,0,0,0,9,1,6038,587
Kassian Zack,PHX,Player,12:04,0,0,0,-1,0,0,1,0,1010,609
Nemeth Patrik,PHX,Player,16:18,0,0,0,-2,0,0,0,5,2481,612
Guenther Dylan,PHX,Player,14:04,1,0,0,1,0,0,3,2,6621,615
Ritchie Nick,PHX,Player,15:23,0,1,0,-1,0,0,4,1,4909,1013
Schmaltz Nick,PHX,Player,14:51,0,1,0,1,0,0,1,3,6036,2292
Mayo Dysin,PHX,Player,13:00,0,0,0,-1,0,0,0,6,6588,2426
Bjugstad Nick,PHX,Player,17:34,0,0,0,-2,0,0,0,3,1864,2696
Fischer Christian ,PHX,Player,18:39,0,1,2,-1,0,0,0,0,6133,3226
Keller Clayton,PHX,Player,14:54,0,1,0,1,0,0,1,1,6134,3264
Gostisbehere Shayne,PHX,Player,24:24,0,0,0,0,0,0,0,3,659,4010
Dauphin Laurent,PHX,Player,08:57,1,0,0,0,0,1,2,1,5741,4116
Ingram Connor,PHX,Goalie,00:00,-,0,0,-,0,0,0,-,6619,491
Vejmelka Karel,PHX,Goalie,59:58,-,0,0,-,7,0,21,-,6571,507
