Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Lucic Milan,CGY,Player,12:42,0,0,0,0,0,0,2,1,5171,65
Dube Dillon,CGY,Player,06:34,0,1,0,1,0,0,2,0,3116,98
Huberdeau Jonathan,CGY,Player,15:02,0,0,0,-1,0,0,2,1,4399,164
Ruzicka Adam,CGY,Player,07:29,0,1,0,1,0,0,0,1,6380,539
Mangiapane Andrew,CGY,Player,17:33,0,0,0,0,0,0,2,0,1301,560
Kadri Nazem,CGY,Player,24:51,0,1,0,0,0,0,4,0,3056,593
Gilbert Dennis,CGY,Player,22:33,0,0,0,2,0,0,0,2,3353,680
Rooney Kevin,CGY,Player,10:48,1,0,2,1,0,0,4,0,1910,799
Lewis Trevor,CGY,Player,12:50,0,1,0,1,0,0,3,0,3831,1004
Hanifin Noah,CGY,Player,14:20,0,0,0,-1,0,0,0,2,5071,1066
Weegar MacKenzie,CGY,Player,32:05,1,0,0,2,0,1,1,2,2107,1087
Zadorov Nikita,CGY,Player,15:25,0,0,0,0,0,0,0,0,1178,2230
Coleman Blake,CGY,Player,20:40,0,2,0,1,0,0,7,0,824,2283
Toffoli Tyler,CGY,Player,16:41,0,0,0,1,0,0,1,1,3234,2434
Backlund Mikael,CGY,Player,15:53,1,0,0,1,0,0,5,1,5650,3411
Lindholm Elias,CGY,Player,13:56,1,0,0,-1,0,0,5,1,2436,3465
Tanev Chris,CGY,Player,19:53,0,1,0,1,0,0,1,0,2864,3673
Andersson Rasmus,CGY,Player,15:44,0,0,0,0,0,0,0,2,6193,4543
Markstrom Jacob,CGY,Goalie,60:00,-,0,0,-,2,0,14,-,5793,1394
Vladar Daniel,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,1773,2606
Iafallo Alex,PIT,Player,13:39,0,1,0,0,0,0,1,1,6121,58
Tkachuk Brady,PIT,Player,16:39,0,0,0,0,0,0,0,0,4369,96
Ellis Ryan,PIT,Player,20:15,0,1,0,-1,0,0,1,1,3247,350
Necas Martin,PIT,Player,12:00,0,0,0,0,0,0,0,0,751,377
Letang Kris,PIT,Player,23:50,0,0,0,0,0,0,0,2,1716,501
Rakell Rickard,PIT,Player,14:13,0,0,0,-1,0,0,2,0,1276,526
Backstrom Nicklas,PIT,Player,19:02,1,0,0,1,0,1,1,0,3066,654
Joseph Pierre-Olivier,PIT,Player,15:17,0,0,2,-1,0,0,0,1,6623,678
Caggiula Drake,PIT,Player,13:02,0,0,0,-2,0,0,2,0,6074,704
Dumoulin Brian,PIT,Player,17:50,0,0,0,-2,0,0,0,4,2750,749
Heinen Danton,PIT,Player,16:43,0,0,0,-3,0,0,0,0,6080,1100
Hughes Quinton,PIT,Player,17:28,1,0,0,0,0,0,2,0,1188,1210
Pettersson Marcus,PIT,Player,20:29,0,0,0,0,0,0,0,0,3150,1594
Werenski Zach,PIT,Player,19:44,0,0,0,1,0,0,0,0,6037,2322
Boyle Brian,PIT,Player,21:05,0,0,0,-1,0,0,3,1,3830,4222
Brassard Derrick,PIT,Player,11:14,0,1,0,0,0,0,1,0,5278,4283
Kapanen Kasperi,PIT,Player,11:25,0,0,0,-1,0,0,1,2,991,4360
Blugers Teodors,PIT,Player,11:06,0,0,0,-1,0,0,0,0,341,4454
Halak Jaroslav,PIT,Goalie,60:00,-,1,0,-,4,0,39,-,1277,326
DeSmith Casey,PIT,Goalie,00:00,-,0,0,-,0,0,0,-,1524,2144
