Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Lucic Milan,CGY,Player,24:06,0,1,0,-1,0,0,3,1,5171,65
Dube Dillon,CGY,Player,14:50,0,0,0,-1,0,0,1,0,3116,98
Huberdeau Jonathan,CGY,Player,14:48,0,0,0,-2,0,0,2,1,4399,164
Ruzicka Adam,CGY,Player,13:06,0,0,0,0,0,0,0,0,6380,539
Mangiapane Andrew,CGY,Player,17:34,0,1,0,-2,0,0,0,0,1301,560
Kadri Nazem,CGY,Player,15:52,0,0,0,-1,0,0,3,1,3056,593
Gilbert Dennis,CGY,Player,17:15,0,0,0,0,0,0,0,1,3353,680
Rooney Kevin,CGY,Player,14:20,0,0,0,0,0,0,0,0,1910,799
Lewis Trevor,CGY,Player,04:51,0,0,0,0,0,0,0,0,3831,1004
Hanifin Noah,CGY,Player,16:28,0,0,0,-1,0,0,0,2,5071,1066
Weegar MacKenzie,CGY,Player,27:14,1,1,0,-1,0,0,2,1,2107,1087
Zadorov Nikita,CGY,Player,16:11,0,0,0,-2,0,0,0,0,1178,2230
Coleman Blake,CGY,Player,19:06,0,0,0,0,0,0,1,1,824,2283
Toffoli Tyler,CGY,Player,09:49,1,0,0,0,1,0,1,1,3234,2434
Backlund Mikael,CGY,Player,09:41,0,0,0,0,0,0,1,0,5650,3411
Lindholm Elias,CGY,Player,22:30,0,0,0,-2,0,0,1,2,2436,3465
Tanev Chris,CGY,Player,25:58,0,0,0,-1,0,0,0,3,2864,3673
Andersson Rasmus,CGY,Player,16:54,0,0,0,-1,0,0,0,0,6193,4543
Markstrom Jacob,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,5793,1394
Vladar Daniel,CGY,Goalie,59:27,-,1,0,-,3,1,14,-,1773,2606
Marner Mitchell,TOR,Player,20:50,0,0,0,0,0,0,1,1,6033,348
Nylander William,TOR,Player,14:34,0,1,0,0,0,0,0,2,1498,646
Engvall Pierre,TOR,Player,07:49,0,0,0,1,0,0,0,1,3511,947
Liljegren Timothy,TOR,Player,20:20,0,0,0,0,0,0,1,3,5449,953
Kampf David,TOR,Player,08:22,1,0,0,1,0,0,1,0,6153,1102
Muzzin Jake,TOR,Player,16:15,0,0,0,0,0,0,0,4,2862,1186
Simmonds Wayne,TOR,Player,15:07,0,1,0,2,0,0,0,3,3263,1200
Benn Jordie,TOR,Player,15:57,0,0,0,1,0,0,0,4,4012,2021
Rielly Morgan,TOR,Player,21:37,0,0,2,1,0,0,1,5,5557,2086
Aston-Reese Zach,TOR,Player,12:34,0,0,2,1,0,0,0,3,4927,2274
Gaudette Adam,TOR,Player,12:14,1,0,0,1,0,0,1,1,1194,2383
Jarnkrok Calle,TOR,Player,08:53,0,1,0,1,0,0,0,2,459,2396
Bunting Michael,TOR,Player,20:16,0,0,0,0,0,0,2,0,6597,2463
Brodie T.J.,TOR,Player,23:07,0,1,0,2,0,0,0,4,1063,2864
Giordano Mark,TOR,Player,22:44,0,2,0,2,0,0,2,3,3327,2964
Tavares John,TOR,Player,17:56,1,0,0,0,0,0,4,1,719,3008
Matthews Auston,TOR,Player,19:48,0,0,0,0,0,0,1,0,3082,3250
Kerfoot Alex,TOR,Player,18:51,1,1,0,1,0,1,1,4,6186,4530
Samsonov Ilya,TOR,Goalie,60:00,-,0,0,-,2,0,15,-,2218,1291
Murray Matt,TOR,Goalie,00:00,-,0,0,-,0,0,0,-,5043,4111
