Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,17:36,1,0,0,0,0,0,1,4,5160,151
Toews Jonathan,CHI,Player,18:09,0,0,0,0,0,0,0,0,5161,152
Johnson Jack,CHI,Player,23:14,0,0,0,1,0,0,0,4,1232,285
Jones Seth,CHI,Player,16:28,0,0,5,1,0,0,2,1,4044,424
Kurashev Philipp,CHI,Player,14:29,0,0,0,0,0,0,2,1,1698,542
Connolly Brett,CHI,Player,09:43,1,0,0,-1,0,0,2,0,2688,584
Jones Caleb,CHI,Player,18:40,0,1,5,-2,0,0,0,1,2949,712
Murphy Connor,CHI,Player,21:49,0,2,0,1,0,0,0,4,289,1842
Johnson Tyler,CHI,Player,17:52,2,1,0,1,1,0,6,0,892,2411
Tinordi Jarred,CHI,Player,16:02,0,1,0,0,0,0,0,4,2087,2435
Katchouk Boris,CHI,Player,14:05,0,0,0,0,0,0,0,1,6594,2457
Raddysh Taylor,CHI,Player,18:12,0,2,0,1,0,0,3,0,6595,2458
Blackwell Colin,CHI,Player,14:27,0,0,0,0,0,0,1,1,3751,2663
McCabe Jake,CHI,Player,23:47,0,1,0,-1,0,0,0,3,5306,3478
Domi Max,CHI,Player,17:00,1,1,0,0,1,0,1,1,2552,4013
Khaira Jujhar,CHI,Player,09:32,0,1,0,-1,0,0,0,0,4766,4033
Athanasiou Andreas,CHI,Player,19:34,2,2,0,1,0,0,5,1,5664,4103
Dickinson Jason,CHI,Player,09:21,0,1,0,-1,0,0,0,2,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,5,0,25,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Zegras Trevor,ANA,Player,18:21,0,0,0,-2,0,0,0,1,6553,22
Shattenkirk Kevin,ANA,Player,16:17,0,0,0,0,0,0,1,5,4438,172
Kulikov Dmitry,ANA,Player,14:51,1,0,7,-2,0,0,1,3,4685,272
Groulx Benoit-Olivier,ANA,Player,09:38,1,0,0,2,0,0,2,0,1457,295
Comtois Maxime,ANA,Player,17:02,0,0,0,0,0,0,1,0,4341,303
Henrique Adam,ANA,Player,14:25,0,0,0,0,0,0,4,0,837,320
Drysdale Jamie,ANA,Player,21:32,0,0,0,2,0,0,0,9,6570,406
Moore John,ANA,Player,14:48,0,0,5,0,0,0,0,4,4267,617
Terry Troy,ANA,Player,18:03,0,1,0,-2,0,0,3,2,1967,2146
Fowler Cam,ANA,Player,30:21,0,0,0,2,0,0,0,7,4436,2371
Grant Derek,ANA,Player,11:11,1,1,0,2,0,0,3,1,5353,2392
Leason Brett,ANA,Player,16:12,0,0,0,0,0,0,0,2,6600,2466
De Leo Chase,ANA,Player,16:07,0,0,0,0,0,0,3,1,545,2482
McTavish Mason,ANA,Player,16:22,0,0,2,-2,0,0,1,2,6601,2491
Klingberg John,ANA,Player,22:11,0,0,0,-2,0,0,0,2,2537,2843
Silfverberg Jakob,ANA,Player,09:55,0,0,0,2,0,0,1,1,1362,3143
Strome Ryan,ANA,Player,16:04,0,2,0,0,0,0,1,0,396,3219
Vatrano Frank,ANA,Player,14:51,2,0,0,0,0,0,4,1,4973,4028
Stolarz Anthony,ANA,Goalie,00:00,-,0,0,-,0,0,0,-,2790,2358
Gibson John,ANA,Goalie,59:59,-,1,0,-,7,0,23,-,2104,2896
