Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,17:08,0,1,0,-1,0,0,1,0,5160,151
Toews Jonathan,CHI,Player,22:08,1,1,0,0,0,0,4,3,5161,152
Johnson Jack,CHI,Player,13:28,0,0,0,1,0,0,0,2,1232,285
Jones Seth,CHI,Player,21:24,0,0,0,-1,0,0,0,7,4044,424
Kurashev Philipp,CHI,Player,11:12,0,0,0,0,0,0,4,0,1698,542
Connolly Brett,CHI,Player,14:35,0,0,0,0,0,0,2,2,2688,584
Jones Caleb,CHI,Player,20:28,0,1,0,3,0,0,2,4,2949,712
Murphy Connor,CHI,Player,28:17,0,1,0,0,0,0,0,7,289,1842
Johnson Tyler,CHI,Player,13:35,1,2,0,3,0,0,1,0,892,2411
Tinordi Jarred,CHI,Player,18:54,0,0,0,0,0,0,1,4,2087,2435
Katchouk Boris,CHI,Player,07:58,0,0,0,0,0,0,0,0,6594,2457
Raddysh Taylor,CHI,Player,12:04,0,2,0,4,0,0,3,0,6595,2458
Blackwell Colin,CHI,Player,16:02,0,0,0,0,0,0,2,4,3751,2663
McCabe Jake,CHI,Player,17:05,1,1,0,3,0,0,1,4,5306,3478
Domi Max,CHI,Player,18:13,2,0,0,-1,2,0,2,1,2552,4013
Khaira Jujhar,CHI,Player,15:56,0,0,2,0,0,0,5,1,4766,4033
Athanasiou Andreas,CHI,Player,13:35,1,0,0,4,0,0,1,2,5664,4103
Dickinson Jason,CHI,Player,12:00,0,0,0,0,0,0,0,1,6177,4437
Mrazek Petr,CHI,Goalie,59:48,-,1,0,-,1,0,31,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Ehlers Nikolaj,ATL,Player,16:48,0,0,0,-3,0,0,3,0,4141,257
Wheeler Blake,ATL,Player,16:45,0,0,0,0,0,0,4,3,206,404
Harkins Jansen,ATL,Player,07:43,0,1,0,0,0,0,1,0,2944,569
Scheifele Mark,ATL,Player,23:42,0,0,0,-2,0,0,4,1,5341,581
Lowry Adam,ATL,Player,08:46,0,0,0,1,0,0,4,0,2504,624
Stenlund Kevin,ATL,Player,11:23,0,0,0,0,0,0,2,4,6164,660
Barron Morgan,ATL,Player,10:40,0,0,0,0,0,0,0,0,6631,708
Morrissey Josh,ATL,Player,22:41,0,0,0,-1,0,0,0,5,6077,878
Schmidt Nate,ATL,Player,20:18,0,0,0,-2,0,0,0,2,4431,2129
Pionk Neal,ATL,Player,23:47,0,0,2,-1,0,0,1,6,2102,2267
Veleno Joe,ATL,Player,12:16,0,0,0,1,0,0,0,0,"",2363
Raymond Lucas,ATL,Player,16:14,0,0,0,-3,0,0,4,1,"",2364
Pysyk Mark,ATL,Player,17:06,0,1,0,0,0,0,0,1,"",2433
Perfetti Cole,ATL,Player,16:40,0,0,0,-2,0,0,1,1,6602,2495
Pettersson Elias,ATL,Player,18:07,0,0,0,-1,0,0,4,0,"",2525
Capobianco Kyle,ATL,Player,17:36,0,0,0,-3,0,0,0,3,3470,2708
Beaulieu Nathan,ATL,Player,18:08,1,0,0,1,0,0,1,7,4220,3179
Appleton Mason,ATL,Player,14:06,0,0,2,0,0,0,2,1,6204,4560
Hellebuyck Connor,ATL,Goalie,59:48,-,0,0,-,6,0,29,-,1150,3648
Rittich David,ATL,Goalie,00:00,-,0,0,-,0,0,0,-,5958,4249
