Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID,Player INDX
Kane Patrick,CHI,Player,17:40,0,3,0,4,0,0,4,2,5160,151
Toews Jonathan,CHI,Player,17:26,3,1,0,3,0,0,4,2,5161,152
Johnson Jack,CHI,Player,17:23,0,1,0,0,0,0,0,6,1232,285
Jones Seth,CHI,Player,26:41,0,2,0,4,0,0,1,3,4044,424
Kurashev Philipp,CHI,Player,15:18,2,0,0,1,0,0,4,3,1698,542
Connolly Brett,CHI,Player,13:29,0,0,0,-1,0,0,0,0,2688,584
Jones Caleb,CHI,Player,15:56,0,0,0,-2,0,0,1,1,2949,712
Murphy Connor,CHI,Player,22:31,0,3,0,4,0,0,0,4,289,1842
Johnson Tyler,CHI,Player,16:36,0,1,0,-2,0,0,0,0,892,2411
Tinordi Jarred,CHI,Player,17:30,0,0,0,0,0,0,0,4,2087,2435
Katchouk Boris,CHI,Player,10:37,0,1,0,-1,0,0,3,0,6594,2457
Raddysh Taylor,CHI,Player,13:33,0,0,0,-2,0,0,1,1,6595,2458
Blackwell Colin,CHI,Player,10:27,1,0,0,-1,0,0,2,1,3751,2663
McCabe Jake,CHI,Player,19:59,0,0,0,-2,0,0,0,3,5306,3478
Domi Max,CHI,Player,17:21,2,1,0,4,1,0,4,2,2552,4013
Khaira Jujhar,CHI,Player,15:31,0,2,0,2,0,0,3,0,4766,4033
Athanasiou Andreas,CHI,Player,16:03,0,0,0,-2,0,0,2,2,5664,4103
Dickinson Jason,CHI,Player,15:59,0,0,0,1,0,0,4,3,6177,4437
Mrazek Petr,CHI,Goalie,60:00,-,0,0,-,6,0,17,-,4271,171
Stalock Alex,CHI,Goalie,00:00,-,0,0,-,0,0,0,-,2993,2401
Lucic Milan,CGY,Player,16:55,0,0,0,-2,0,0,0,2,5171,65
Dube Dillon,CGY,Player,07:42,0,0,0,-2,0,0,1,0,3116,98
Huberdeau Jonathan,CGY,Player,19:43,1,0,0,0,0,0,2,0,4399,164
Ruzicka Adam,CGY,Player,06:35,0,0,0,-3,0,0,0,1,6380,539
Mangiapane Andrew,CGY,Player,17:25,0,1,0,0,0,0,1,0,1301,560
Kadri Nazem,CGY,Player,19:43,0,1,0,0,0,0,1,0,3056,593
Gilbert Dennis,CGY,Player,17:22,0,3,0,2,0,0,0,1,3353,680
Rooney Kevin,CGY,Player,07:53,0,0,0,-2,0,0,1,0,1910,799
Lewis Trevor,CGY,Player,15:29,0,1,0,2,0,0,1,0,3831,1004
Hanifin Noah,CGY,Player,20:35,0,0,0,-2,0,0,0,1,5071,1066
Weegar MacKenzie,CGY,Player,17:37,0,1,2,-2,0,0,0,4,2107,1087
Zadorov Nikita,CGY,Player,27:20,0,0,0,-2,0,0,0,3,1178,2230
Coleman Blake,CGY,Player,15:19,1,0,0,-2,0,0,2,1,824,2283
Toffoli Tyler,CGY,Player,15:17,3,0,0,2,0,0,6,0,3234,2434
Backlund Mikael,CGY,Player,16:57,1,2,0,3,0,0,1,0,5650,3411
Lindholm Elias,CGY,Player,16:54,0,1,0,-2,0,0,1,0,2436,3465
Tanev Chris,CGY,Player,15:18,0,0,0,-2,0,0,0,1,2864,3673
Andersson Rasmus,CGY,Player,21:48,0,1,0,2,0,0,0,4,6193,4543
Markstrom Jacob,CGY,Goalie,59:51,-,0,0,-,8,1,33,-,5793,1394
Vladar Daniel,CGY,Goalie,00:00,-,0,0,-,0,0,0,-,1773,2606
